Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,LWID,Comments
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,9,02/10/2025,476,1,0.027,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,10,02/10/2025,477,1,0.03,11,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Old Spring Bottom,1,02/04/2025,478,1,0.034,13,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Old Spring 10 m,1,02/05/2025,479,1,0.034,13,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Old Spring 50 m,1,02/05/2025,480,1,0.035,13,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Crack Bottom,1,02/04/2025,481,1,0.032,12,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Crack 10 m,1,02/04/2025,482,1,0.032,12,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Crack 50m,1,02/04/2025,483,1,0.033,12,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Old Greg Bottom,1,02/04/2025,484,1,0.309,113,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Old Greg 10m,1,02/04/2025,485,1,0.085,31,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,Old Greg 50m,1,02/04/2025,486,1,0.067,25,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,MS2,02/04/2025,487,1,0.201,73,,,,,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,DUP2,02/04/2025,488,1,0.197,72,,,,,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,LFB2,,489,1,0.138,50,,,Q,Q,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,CCV2,,490,1,0.13,48,,,Q,Q,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,MLBK3,,491,1,0.011,4,,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Holmes,CBA Pea River-1,1,11/15/2024,492,1,0.164,60,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Holmes,CBA Pea River-1,1,12/02/2024,493,1,0.149,54,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Holmes,CBA River-7,1,12/02/2024,494,1,0.108,40,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Holmes,CBA River-8,1,12/02/2024,495,1,0.136,50,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Holmes,CBA River-9,1,12/02/2024,496,1,0.074,27,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Destin-1,1,11/18/2024,497,1,0.034,13,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Destin-2,1,11/18/2024,498,1,0.052,19,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Destin-3,1,11/18/2024,499,1,0.038,14,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Destin-4,1,11/18/2024,500,1,0.03,11,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Destin-1,1,12/05/2024,501,1,0.025,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Destin-2,1,12/05/2024,502,1,0.041,15,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Destin-3,1,12/05/2024,503,1,0.024,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Destin-4,1,12/05/2024,504,1,0.027,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-1,1,01/30/2025,505,1,0.035,13,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-2,1,01/30/2025,506,1,0.028,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-3,1,01/30/2025,507,1,0.028,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-4,1,01/28/2025,508,1,0.023,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-5,1,01/28/2025,509,1,0.022,8,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-6,1,01/28/2025,510,1,0.028,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-7,1,01/30/2025,511,1,0.02,8,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-7,MS3,01/30/2025,512,1,0.158,58,,,,,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Okaloosa,CBA Ft. Walton Beach-7,DUP3,01/30/2025,513,1,0.16,58,,,,,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,LFB3,,514,1,0.136,50,,,Q,Q,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,CCV3,,515,1,0.129,47,,,Q,Q,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,MLBK4,,,,,0,,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Dr. Ruth Francis-Floyd,Red water sample,1,,69,500,0.567,103370,,JJ,Q,Q,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,1,0.135,49,,JJ,Q,Q,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,1,0.132,48,,JJ,Q,Q,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,1,0.01,4,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,1,0.012,5,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,JJ,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,MS4,,,,,0,,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,DUP4,,,,,0,,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,LFB4,,,,,0,,J,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,CCV4,,,,,0,,J,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,MLBK5,,,,,0,,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,,,,,,0,,,QTI,Q,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,MS5,,,,,0,MS5,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,DUP5,,,,,0,DUP5,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,LFB5,,,,,0,LFB5,J,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,CCV5,,,,,0,CCV5,J,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,MBLK1,,81,1,0.012,4,,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-WIT,5,02/06/2025,82,1,0.057,20,,,,,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-WIT,6,02/06/2025,83,1,0.095,34,,,,,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-WIT,7,02/06/2025,84,1,0.036,13,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-WIT,8,02/06/2025,85,1,0.048,17,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-WIT,9,02/06/2025,86,1,0.079,28,,,,,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-WIT,10,02/06/2025,87,1,0.053,19,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,B,02/04/2025,88,1,0.013,4,,,TI,,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,1,02/04/2025,89,1,0.05,18,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,2,02/04/2025,90,1,0.049,17,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,3,02/04/2025,91,1,0.038,13,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,4,02/04/2025,92,1,0.078,28,,,,,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,5,02/04/2025,93,1,0.025,9,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,6,02/04/2025,94,1,0.039,14,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,7,02/04/2025,95,1,0.052,19,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,8,02/04/2025,96,1,0.031,11,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,9,02/04/2025,97,1,0.05,18,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-CRY,10,02/04/2025,98,1,0.061,22,,,,,,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,B,02/05/2025,99,1,0.012,4,,,TI,,TI,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,1,02/05/2025,100,1,0.034,12,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,2,02/05/2025,101,1,0.024,8,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,MS1,02/05/2025,102,1,0.155,56,,,,,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,DUP1,02/05/2025,103,1,0.155,56,,,,,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,LFB1,,104,1,0.14,50,,,Q,Q,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,CCV1,,105,1,0.13,47,,,Q,Q,,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,,,MLBK2,,106,1,0.013,4,,,QTI,Q,TI,QAQC,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,3,02/05/2025,107,1,0.045,16,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,4,02/05/2025,108,1,0.052,19,,,I,,I,Sample,TP03042025B03062025,,
03/04/2025,10:59:59 AM,EST,03/06/2025,10:17:00 AM,EST,Citrus,CIT-HOM,5,02/05/2025,109,1,0.077,28,,,,,,Sample,TP03042025B03062025,,
