Total_Depth,Total_Depth_Unit,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity_Time_Zone,Org_Result_Value,Org_Result_Unit,Result_Comments,WIN_Value_Qualifier,Data_Category,Run_ID,Study,Comments
1.4,m,Pasco,PAS-ARI,4,12/11/2025,11:44:00 AM,EST,1.4,m,,S,Sample,SECCHI01052026,,
0.6,m,Pasco,PAS-ARI,5,12/11/2025,09:55:00 AM,EST,0.6,m,,S,Sample,SECCHI01052026,,
1.6,m,Pasco,PAS-ARI,6,12/11/2025,11:53:00 AM,EST,1.6,m,,S,Sample,SECCHI01052026,,
0.9,m,Pasco,PAS-ARI,7,12/11/2025,09:39:59 AM,EST,0.9,m,,S,Sample,SECCHI01052026,,
0.8,m,Pasco,PAS-ARI,8,12/11/2025,11:01:00 AM,EST,0.8,m,,S,Sample,SECCHI01052026,,
1.5,m,Pasco,PAS-ARI,9,12/11/2025,11:13:00 AM,EST,1.5,m,,S,Sample,SECCHI01052026,,
2.1,m,Pasco,PAS-ARI,10,12/11/2025,11:23:00 AM,EST,2.1,m,,S,Sample,SECCHI01052026,,
2.1,m,Pasco,PAS-HUD,1,12/11/2025,12:02:00 PM,EST,2.1,m,,S,Sample,SECCHI01052026,,
1.2,m,Pasco,PAS-HUD,2,12/11/2025,09:25:00 AM,EST,1.2,m,,S,Sample,SECCHI01052026,,
2.7,m,Pasco,PAS-HUD,3,12/11/2025,12:12:00 PM,EST,2.7,m,,S,Sample,SECCHI01052026,,
2.1,m,Pasco,PAS-HUD,4,12/11/2025,09:11:00 AM,EST,2.1,m,,S,Sample,SECCHI01052026,,
1.2,m,Pasco,PAS-HUD,5,12/11/2025,08:56:59 AM,EST,1.2,m,,S,Sample,SECCHI01052026,,
2.1,m,Pasco,PAS-HUD,6,12/11/2025,12:30:00 PM,EST,2.1,m,,S,Sample,SECCHI01052026,,
0.9,m,Pasco,PAS-HUD,7,12/11/2025,01:16:00 PM,EST,0.9,m,,S,Sample,SECCHI01052026,,
2.4,m,Pasco,PAS-HUD,8,12/11/2025,12:40:00 PM,EST,2.4,m,,S,Sample,SECCHI01052026,,
1.1000000000000001,m,Pasco,PAS-HUD,9,12/11/2025,01:03:59 PM,EST,1.1,m,,S,Sample,SECCHI01052026,,
1.7,m,Pasco,PAS-HUD,10,12/11/2025,12:51:00 PM,EST,1.7,m,,S,Sample,SECCHI01052026,,
,m,,,CCV1,01/06/2026,,,,m,,,QAQC,SECCHI01052026,,
,m,,,MBLK2,01/05/2026,,,,m,,,QAQC,SECCHI01052026,,
0.4,m,Pasco,PAS-PIT,1,12/16/2025,08:36:00 AM,EST,0.4,m,,S,Sample,SECCHI01052026,,
1.4,m,Pasco,PAS-PIT,2,12/16/2025,09:10:00 AM,EST,1.4,m,,S,Sample,SECCHI01052026,,
1,m,Pasco,PAS-PIT,3,12/16/2025,12:40:00 PM,EST,1,m,,S,Sample,SECCHI01052026,,
1.6,m,Pasco,PAS-PIT,4,12/16/2025,09:45:00 AM,EST,1.6,m,,S,Sample,SECCHI01052026,,
1.7,m,Pasco,PAS-PIT,5,12/16/2025,09:58:00 AM,EST,1.7,m,,S,Sample,SECCHI01052026,,
1.6,m,Pasco,PAS-PIT,6,12/16/2025,09:35:00 AM,EST,1.6,m,,S,Sample,SECCHI01052026,,
1,m,Pasco,PAS-PIT,7,12/16/2025,12:51:00 PM,EST,1,m,,S,Sample,SECCHI01052026,,
1.4,m,Pasco,PAS-PIT,8,12/16/2025,10:10:00 AM,EST,1.4,m,,S,Sample,SECCHI01052026,,
0.7,m,Pasco,PAS-PIT,9,12/16/2025,12:26:00 PM,EST,0.7,m,,S,Sample,SECCHI01052026,,
2.4,m,Pasco,PAS-PIT,10,12/16/2025,10:19:00 AM,EST,2.4,m,,S,Sample,SECCHI01052026,,
8,ft,Lake,Bear,1,08/04/2025,08:00:00 AM,EST,1.8,ft,,,Sample,SECCHI01052026,,
9,ft,Lake,Bear,2,08/04/2025,08:10:00 AM,EST,1.8,ft,,,Sample,SECCHI01052026,,
8.5,ft,Lake,Bear,3,08/04/2025,08:30:00 AM,EST,1.8,ft,,,Sample,SECCHI01052026,,
,ft,,,CCV2,,,,,ft,,,Sample,SECCHI01052026,,
,ft,,,CCV2,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,MBLK3,01/05/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,CCV3,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,MBLK4,01/05/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,CCV4,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,MBLK5,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,CCV5,01/06/2026,,,,ft,,,Sample,SECCHI01052026,,
