ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total_Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation_Date,Preparation_Time,Preparation Time Zone,Analysis_Date,Analysis_Time,Analysis Time Zone,County,Site,Station,Activity_Start_Date,Activity_Start_Time,Activity Time Zone,Org_Result_Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value_Qualifier,Result Comments,Result Value Type Name,Dilution
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,11:09:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,2,9/18/24,11:07:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,9:28:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,3,9/18/24,9:26:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,9:06:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,4,9/18/24,9:04:00 AM,EDT,5,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,8:15:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,5,9/18/24,8:13:00 AM,EDT,4,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,11:52:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,6,9/18/24,11:50:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,12:06:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,7,9/18/24,12:04:00 PM,EDT,4,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,3:08:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,8,9/18/24,3:06:00 PM,EDT,5,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,12:22:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,9,9/18/24,12:20:00 PM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,2:54:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,10,9/18/24,2:52:00 PM,EDT,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,10:28:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,1,9/10/24,10:26:00 AM,EDT,12,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,9:08:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,2,9/10/24,9:06:00 AM,EDT,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,8:17:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,3,9/10/24,8:15:00 AM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,10:46:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,4,9/10/24,10:44:00 AM,EDT,7,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,10:07:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,5,9/10/24,10:05:00 AM,EDT,10,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,9:43:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,6,9/10/24,9:41:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,11:03:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,7,9/10/24,11:01:00 AM,EDT,8,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,12:08:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,8,9/10/24,12:06:00 PM,EDT,9,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,11:56:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,9,9/10/24,11:54:00 AM,EDT,7,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/10/24,11:27:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-WIT,10,9/10/24,11:25:00 AM,EDT,7,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,2:04:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,1,9/18/24,2:03:00 PM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,1:53:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,2,9/18/24,1:51:00 PM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,1:37:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,3,9/18/24,1:35:00 PM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,1:25:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,4,9/18/24,1:23:00 PM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,1:15:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,5,9/18/24,1:13:00 PM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,2:20:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,6,9/18/24,2:26:00 PM,EDT,4,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,2:39:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,7,9/18/24,2:37:00 PM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,1:05:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,8,9/18/24,1:03:00 PM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,12:54:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,9,9/18/24,12:52:00 PM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,12:36:00 PM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-CHA,10,9/18/24,12:34:00 PM,EDT,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,8:24:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,1,9/17/24,8:21:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,9:41:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,2,9/17/24,9:39:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,9:07:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,3,9/17/24,9:05:00 AM,EDT,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,11:50:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,4,9/17/24,11:48:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,11:21:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,5,9/17/24,11:19:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,11:37:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,6,9/17/24,11:35:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,10:23:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,7,9/17/24,10:21:00 AM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,10:37:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,8,9/17/24,10:35:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,10:52:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,9,9/17/24,10:50:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/17/24,11:07:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Hernando,HER-WEE,10,9/17/24,11:05:00 AM,EDT,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,10:34:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,1,9/12/24,10:32:00 AM,EDT,4,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,10:24:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,2,9/12/24,10:22:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,11:31:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,3,9/12/24,11:29:00 AM,EDT,4,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,10:43:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,4,9/12/24,10:41:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,11:11:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,5,9/12/24,11:09:00 AM,EDT,4,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,11:02:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,6,9/12/24,11:00:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,10:54:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,7,9/12/24,10:52:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,11:20:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,8,9/12/24,11:18:00 AM,EDT,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,11:40:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,9,9/12/24,11:38:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,10:11:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ANC,10,9/12/24,10:09:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,8:56:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,1,9/13/24,8:54:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,8:48:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,2,9/13/24,8:46:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,8:30:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,3,9/13/24,8:28:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,9:33:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,4,9/13/24,9:31:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,8:21:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,5,9/13/24,8:19:00 AM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,9:47:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,6,9/13/24,9:45:00 AM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,8:08:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,7,9/13/24,8:06:00 AM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,9:05:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,8,9/13/24,9:03:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,9:14:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,9,9/13/24,9:12:00 AM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/13/24,9:22:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Pasco,PAS-ARI,10,9/13/24,9:20:00 AM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,1:43:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,1,9/12/24,1:11:00 PM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,1:32:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,2,9/12/24,1:30:00 PM,EDT,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,2:02:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,3,9/12/24,2:00:00 PM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,1:52:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,4,9/12/24,1:50:00 PM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,1:23:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,5,9/12/24,1:21:00 PM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,2:12:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,6,9/12/24,2:10:00 PM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,1:09:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,7,9/12/24,1:07:00 PM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,2:23:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,8,9/12/24,2:21:00 PM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,12:56:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,9,9/12/24,12:54:00 PM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,12:44:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-HUD,10,9/12/24,12:42:00 PM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,8:58:00 AM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-PIT,1,9/12/24,8:56:00 AM,EDT,2,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,9:26:00 AM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-PIT,2,9/12/24,9:24:00 AM,EDT,15,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,9:43:00 AM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-PIT,3,9/12/24,9:41:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,12:11:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-PIT,4,9/12/24,12:09:00 PM,EDT,8,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/12/24,12:01:00 PM,EDT,10/22/24,9:50:00 AM,EDT,Pasco,PAS-PIT,5,9/12/24,11:59:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
