Org Analyte Name|Activity Type|Sample Collection Type|Sample Collection Equipment|Activity Depth|Activity Depth Unit|Total Depth|Total Depth Unit|Analysis Method|Sample Fraction|Preparation Date|Preparation Time|Preparation Time Zone|Analysis Date|Analysis Time|Analysis Time Zone|County.x|Lake.x|Station.x|Activity Start Date|Activity Start Time|Activity Time Zone|Org Result Value|Org Result Unit|Org MDL|Org PQL|Org Detection Unit|Value Qualifier|Result Comments|Result Value Type Name|Dilution|Lake_County_Sta|Study|County.y|Lake.y|Station.y|Monitoring Location ID|Project_ID|Sampling_Agency_Name
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-1|1|2024-01-26|3:04:00 PM|EST||ft||||||Actual||Blues Creek-1 Alachua 1|LW|Alachua|Blues Creek-1|1|Ala-BluesC-1-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-2|1|2023-11-08|1:01:00 PM|EST|Not Reported|||||||Actual||Blues Creek-2 Alachua 1|LW|Alachua|Blues Creek-2|1|Ala-BluesC-2-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-2|1|2023-12-06|1:29:00 PM|EST||ft||||||Actual||Blues Creek-2 Alachua 1|LW|Alachua|Blues Creek-2|1|Ala-BluesC-2-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-2|1|2024-01-26|3:17:00 PM|EST||ft||||||Actual||Blues Creek-2 Alachua 1|LW|Alachua|Blues Creek-2|1|Ala-BluesC-2-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-3|1|2023-11-08|12:50:00 PM|EST|Not Reported|||||||Actual||Blues Creek-3 Alachua 1|LW|Alachua|Blues Creek-3|1|Ala-BluesC-3-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-3|1|2023-12-06|1:16:00 PM|EST||ft||||||Actual||Blues Creek-3 Alachua 1|LW|Alachua|Blues Creek-3|1|Ala-BluesC-3-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-3|1|2024-01-26|2:44:00 PM|EST||ft||||||Actual||Blues Creek-3 Alachua 1|LW|Alachua|Blues Creek-3|1|Ala-BluesC-3-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-1|1|2024-01-24|11:30:00 AM|EST||ft||||||Actual||Cellon Creek-1 Alachua 1|LW|Alachua|Cellon Creek-1|1|Ala-CellonC-1-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-2|1|2023-12-06|11:17:00 AM|EST||ft||||||Actual||Cellon Creek-2 Alachua 1|LW|Alachua|Cellon Creek-2|1|Ala-CellonC-2-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-2|1|2024-01-24|12:08:00 PM|EST||ft||||||Actual||Cellon Creek-2 Alachua 1|LW|Alachua|Cellon Creek-2|1|Ala-CellonC-2-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-3|1|2023-11-08|10:04:00 AM|EST|Not Reported|||||||Actual||Cellon Creek-3 Alachua 1|LW|Alachua|Cellon Creek-3|1|Ala-CellonC-3-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-3|1|2023-12-06|11:27:00 AM|EST||ft||||||Actual||Cellon Creek-3 Alachua 1|LW|Alachua|Cellon Creek-3|1|Ala-CellonC-3-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-3|1|2024-01-24|12:27:00 PM|EST||ft||||||Actual||Cellon Creek-3 Alachua 1|LW|Alachua|Cellon Creek-3|1|Ala-CellonC-3-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-4|1|2023-11-08|12:29:00 PM|EST|Not Reported|||||||Actual||Cellon Creek-4 Alachua 1|LW|Alachua|Cellon Creek-4|1|Ala-CellonC-4-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-4|1|2023-12-06|12:53:00 PM|EST||ft||||||Actual||Cellon Creek-4 Alachua 1|LW|Alachua|Cellon Creek-4|1|Ala-CellonC-4-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Cellon Creek-4|1|2024-01-24|2:29:00 PM|EST||ft||||||Actual||Cellon Creek-4 Alachua 1|LW|Alachua|Cellon Creek-4|1|Ala-CellonC-4-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Elizabeth|1|2023-09-30|9:30:00 AM|EDT|2.5|ft||||||Actual||Elizabeth Alachua 1|LW|Alachua|Elizabeth|1|Ala-Elizabeth-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Elizabeth|2|2023-09-30|10:00:00 AM|EDT|2.5|ft||||||Actual||Elizabeth Alachua 2|LW|Alachua|Elizabeth|2|Ala-Elizabeth-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Elizabeth|3|2023-09-30|10:12:00 AM|EDT|2.5|ft||||||Actual||Elizabeth Alachua 3|LW|Alachua|Elizabeth|3|Ala-Elizabeth-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Elizabeth|1|2023-10-30|8:55:00 AM|EDT|3|ft||||||Actual||Elizabeth Alachua 1|LW|Alachua|Elizabeth|1|Ala-Elizabeth-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Elizabeth|2|2023-10-30|9:13:00 AM|EDT|3|ft||||||Actual||Elizabeth Alachua 2|LW|Alachua|Elizabeth|2|Ala-Elizabeth-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Elizabeth|3|2023-10-30|9:20:00 AM|EDT|3|ft||||||Actual||Elizabeth Alachua 3|LW|Alachua|Elizabeth|3|Ala-Elizabeth-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||1.3|ft|FDEP FT1700||||||||Alachua|Elizabeth|1|2023-11-30|9:17:00 AM|EST|4|ft||||||Actual||Elizabeth Alachua 1|LW|Alachua|Elizabeth|1|Ala-Elizabeth-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||5|ft|FDEP FT1700||||||||Alachua|Elizabeth|2|2023-11-30|9:30:00 AM|EST|4|ft||||||Actual||Elizabeth Alachua 2|LW|Alachua|Elizabeth|2|Ala-Elizabeth-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||5.8|ft|FDEP FT1700||||||||Alachua|Elizabeth|3|2023-11-30|9:39:00 AM|EST|4|ft||||||Actual||Elizabeth Alachua 3|LW|Alachua|Elizabeth|3|Ala-Elizabeth-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||4|ft|FDEP FT1700||||||||Alachua|Elizabeth|1|2023-12-30|3:25:00 PM|EST|3|ft||||||Actual||Elizabeth Alachua 1|LW|Alachua|Elizabeth|1|Ala-Elizabeth-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||5|ft|FDEP FT1700||||||||Alachua|Elizabeth|2|2023-12-30|3:35:00 PM|EST|3|ft||||||Actual||Elizabeth Alachua 2|LW|Alachua|Elizabeth|2|Ala-Elizabeth-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||6|ft|FDEP FT1700||||||||Alachua|Elizabeth|3|2023-12-30|3:45:00 PM|EST|3|ft||||||Actual||Elizabeth Alachua 3|LW|Alachua|Elizabeth|3|Ala-Elizabeth-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Hogtown Creek-1|1|2023-09-04|9:23:00 AM|EDT|Not Reported|||||||Actual||Hogtown Creek-1 Alachua 1|LW|Alachua|Hogtown Creek-1|1|Ala-HogtownCr-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Hogtown Creek-1|1|2023-10-01|10:48:00 AM|EDT|Not Reported|||||||Actual||Hogtown Creek-1 Alachua 1|LW|Alachua|Hogtown Creek-1|1|Ala-HogtownCr-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Hogtown Creek-1|1|2023-11-04|10:32:00 AM|EDT|Not Reported|||||||Actual||Hogtown Creek-1 Alachua 1|LW|Alachua|Hogtown Creek-1|1|Ala-HogtownCr-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Hogtown Creek-2|1|2023-09-04|9:14:00 AM|EDT|Not Reported|||||||Actual||Hogtown Creek-2 Alachua 1|LW|Alachua|Hogtown Creek-2|1|Ala-HogtownCr-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Hogtown Creek-2|1|2023-10-01|10:36:00 AM|EDT|Not Reported|||||||Actual||Hogtown Creek-2 Alachua 1|LW|Alachua|Hogtown Creek-2|1|Ala-HogtownCr-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Hogtown Creek-2|1|2023-11-04|10:28:00 AM|EST|Not Reported|||||||Actual||Hogtown Creek-2 Alachua 1|LW|Alachua|Hogtown Creek-2|1|Ala-HogtownCr-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||7.8|ft|FDEP FT1700||||||||Alachua|Jeffords|1|2023-11-21|9:00:00 AM|EST|3|ft||||||Actual||Jeffords Alachua 1|LW|Alachua|Jeffords|1|Ala-Jeffords-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||8.8|ft|FDEP FT1700||||||||Alachua|Jeffords|2|2023-11-21|9:10:00 AM|EST|3|ft||||||Actual||Jeffords Alachua 2|LW|Alachua|Jeffords|2|Ala-Jeffords-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||5.8|ft|FDEP FT1700||||||||Alachua|Jeffords|3|2023-11-21|9:20:00 AM|EST|3|ft||||||Actual||Jeffords Alachua 3|LW|Alachua|Jeffords|3|Ala-Jeffords-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Kingswood|1|2023-11-26|12:15:00 PM|EST|2.5|ft||||||Actual||Kingswood Alachua 1|LW|Alachua|Kingswood|1|Ala-Kingswood-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Kingswood|2|2023-11-26|12:15:00 PM|EST|2.3|ft||||||Actual||Kingswood Alachua 2|LW|Alachua|Kingswood|2|Ala-Kingswood-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Kingswood|3|2023-11-26|12:15:00 PM|EST|2|ft||||||Actual||Kingswood Alachua 3|LW|Alachua|Kingswood|3|Ala-Kingswood-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Kingswood|1|2023-12-19|1:00:00 PM|EST|2.8|ft||||||Actual||Kingswood Alachua 1|LW|Alachua|Kingswood|1|Ala-Kingswood-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Kingswood|2|2023-12-19|1:00:00 PM|EST|2.8|ft||||||Actual||Kingswood Alachua 2|LW|Alachua|Kingswood|2|Ala-Kingswood-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Kingswood|3|2023-12-19|1:00:00 PM|EST|2.8|ft||||||Actual||Kingswood Alachua 3|LW|Alachua|Kingswood|3|Ala-Kingswood-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||14|ft|FDEP FT1700||||||||Alachua|Kingswood|1|2024-01-25||EST|3|ft||||||Actual||Kingswood Alachua 1|LW|Alachua|Kingswood|1|Ala-Kingswood-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||10|ft|FDEP FT1700||||||||Alachua|Kingswood|2|2024-01-25||EST|2.5|ft||||||Actual||Kingswood Alachua 2|LW|Alachua|Kingswood|2|Ala-Kingswood-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||8|ft|FDEP FT1700||||||||Alachua|Kingswood|3|2024-01-25||EST|3|ft||||||Actual||Kingswood Alachua 3|LW|Alachua|Kingswood|3|Ala-Kingswood-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Little Santa Fe|1|2023-11-28|3:10:00 PM|EST|6.5|ft||||||Actual||Little Santa Fe Alachua 1|LW|Alachua|Little Santa Fe|1|Ala-LittleSa-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Little Santa Fe|2|2023-11-28|3:17:00 PM|EST|6.5|ft||||||Actual||Little Santa Fe Alachua 2|LW|Alachua|Little Santa Fe|2|Ala-LittleSa-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Little Santa Fe|3|2023-11-28|3:24:00 PM|EST|6.3|ft||||||Actual||Little Santa Fe Alachua 3|LW|Alachua|Little Santa Fe|3|Ala-LittleSa-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Little Santa Fe|1|2023-12-12|2:14:00 PM|EST|6|ft||||||Actual||Little Santa Fe Alachua 1|LW|Alachua|Little Santa Fe|1|Ala-LittleSa-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Little Santa Fe|2|2023-12-12|2:20:00 PM|EST|6|ft||||||Actual||Little Santa Fe Alachua 2|LW|Alachua|Little Santa Fe|2|Ala-LittleSa-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Little Santa Fe|3|2023-12-12|2:26:00 PM|EST|6|ft||||||Actual||Little Santa Fe Alachua 3|LW|Alachua|Little Santa Fe|3|Ala-LittleSa-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||20.3|ft|FDEP FT1700||||||||Alachua|Little Santa Fe|1|2024-01-31|4:14:00 PM|EST|5.5|ft||||||Actual||Little Santa Fe Alachua 1|LW|Alachua|Little Santa Fe|1|Ala-LittleSa-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||21.3|ft|FDEP FT1700||||||||Alachua|Little Santa Fe|2|2024-01-31|4:22:00 PM|EST|5.5|ft||||||Actual||Little Santa Fe Alachua 2|LW|Alachua|Little Santa Fe|2|Ala-LittleSa-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||17.5|ft|FDEP FT1700||||||||Alachua|Little Santa Fe|3|2024-01-31|4:30:00 PM|EST|5.5|ft||||||Actual||Little Santa Fe Alachua 3|LW|Alachua|Little Santa Fe|3|Ala-LittleSa-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||20.3|ft|FDEP FT1700||||||||Alachua|Little Santa Fe|1|2024-02-27|1:54:00 PM|EST|6|ft||||||Actual||Little Santa Fe Alachua 1|LW|Alachua|Little Santa Fe|1|Ala-LittleSa-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||21|ft|FDEP FT1700||||||||Alachua|Little Santa Fe|2|2024-02-27|2:00:00 PM|EST|6|ft||||||Actual||Little Santa Fe Alachua 2|LW|Alachua|Little Santa Fe|2|Ala-LittleSa-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||17.8|ft|FDEP FT1700||||||||Alachua|Little Santa Fe|3|2024-02-27|2:05:00 PM|EST|6|ft||||||Actual||Little Santa Fe Alachua 3|LW|Alachua|Little Santa Fe|3|Ala-LittleSa-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Lochloosa|1|2023-10-17|3:44:00 PM|EDT|1.5|ft||||||Actual||Lochloosa Alachua 1|LW|Alachua|Lochloosa|1|Ala-Lochloosa-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Lochloosa|2|2023-10-17|3:59:00 PM|EDT|1.8|ft||||||Actual||Lochloosa Alachua 2|LW|Alachua|Lochloosa|2|Ala-Lochloosa-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Lochloosa|3|2023-10-17|4:04:00 PM|EDT|1.5|ft||||||Actual||Lochloosa Alachua 3|LW|Alachua|Lochloosa|3|Ala-Lochloosa-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Lochloosa|4|2023-10-17|12:21:00 PM|EDT|1.5|ft||||||Actual||Lochloosa Alachua 4|LW|Alachua|Lochloosa|4|Ala-Lochloosa-4|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Melrose Bay|1|2023-11-28|2:08:00 PM|EST|8|ft||||||Actual||Melrose Bay Alachua 1|LW|Alachua|Melrose Bay|1|Ala-MelroseB-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Melrose Bay|2|2023-11-28|1:51:00 PM|EST|8.5|ft||||||Actual||Melrose Bay Alachua 2|LW|Alachua|Melrose Bay|2|Ala-MelroseB-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Melrose Bay|3|2023-11-28|1:58:00 PM|EST|8.5|ft||||||Actual||Melrose Bay Alachua 3|LW|Alachua|Melrose Bay|3|Ala-MelroseB-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Melrose Bay|1|2023-12-12|1:12:00 PM|EST|7.8|ft||||||Actual||Melrose Bay Alachua 1|LW|Alachua|Melrose Bay|1|Ala-MelroseB-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Melrose Bay|2|2023-12-12|12:59:00 PM|EST|8|ft||||||Actual||Melrose Bay Alachua 2|LW|Alachua|Melrose Bay|2|Ala-MelroseB-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Melrose Bay|3|2023-12-12|1:04:00 PM|EST|8|ft||||||Actual||Melrose Bay Alachua 3|LW|Alachua|Melrose Bay|3|Ala-MelroseB-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||8|ft|FDEP FT1700||||||||Alachua|Melrose Bay|1|2024-01-31|5:30:00 PM|EST|7|ft||||||Actual||Melrose Bay Alachua 1|LW|Alachua|Melrose Bay|1|Ala-MelroseB-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||18.5|ft|FDEP FT1700||||||||Alachua|Melrose Bay|2|2024-01-31|12:56:00 PM|EST|9|ft||||||Actual||Melrose Bay Alachua 2|LW|Alachua|Melrose Bay|2|Ala-MelroseB-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||22.8|ft|FDEP FT1700||||||||Alachua|Melrose Bay|3|2024-01-31|1:05:00 PM|EST|9|ft||||||Actual||Melrose Bay Alachua 3|LW|Alachua|Melrose Bay|3|Ala-MelroseB-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||9|ft|FDEP FT1700||||||||Alachua|Melrose Bay|1|2024-02-27|12:59:00 PM|EST|9|ft||||S||Actual||Melrose Bay Alachua 1|LW|Alachua|Melrose Bay|1|Ala-MelroseB-1|21FLKWAT|Florida Lakewatch
