"County","Lake","StartDate","Activity_Start_Time","Station","Activity_Time_Zone","Monitoring_Location_ID"
"Palm Beach","Green Cay",2025-08-21,09:50:00,"2","EST","Pal-GreenCay-2"
"Palm Beach","Green Cay",2025-08-21,09:58:00,"3","EST","Pal-GreenCay-3"
"Palm Beach","Loxahatchee River-10",2025-08-12,09:52:00,"1","EST","Pal-Lo-River-10"
"Palm Beach","Loxahatchee River-62",2025-08-12,10:57:00,"1","EST","Pal-Lo-River-62"
"Palm Beach","Loxahatchee River-69",2025-08-12,10:14:00,"1","EST","Pal-Lo-River-69"
"Palm Beach","Loxahatchee River-72",2025-08-12,10:16:00,"1","EST","Pal-Lo-River-72"
"Palm Beach","Westwood",2025-06-30,10:00:00,"1","EST","Pal-Westwood-1"
"Palm Beach","Westwood",2025-06-30,10:30:00,"2","EST","Pal-Westwood-2"
"Palm Beach","Westwood",2025-06-30,10:59:59,"3","EST","Pal-Westwood-3"
"Palm Beach","Westwood",2025-07-30,09:29:59,"2","EST","Pal-Westwood-2"
"Palm Beach","Westwood",2025-07-30,10:00:00,"3","EST","Pal-Westwood-3"
"Palm Beach","Westwood",2025-08-31,10:30:00,"1","EST","Pal-Westwood-1"
"Palm Beach","Westwood",2025-08-31,10:59:59,"2","EST","Pal-Westwood-2"
"Palm Beach","Westwood",2025-08-31,11:30:00,"3","EST","Pal-Westwood-3"
"St Lucie","Phillip",2025-08-12,08:13:00,"1","EST","St-Phillip-1"
"St Lucie","Phillip",2025-08-12,08:17:00,"2","EST","St-Phillip-2"
"St Lucie","Phillip",2025-08-12,08:20:00,"3","EST","St-Phillip-3"
"St Lucie","Phillip",2025-09-06,08:12:00,"1","EST","St-Phillip-1"
"St Lucie","Phillip",2025-09-06,08:15:00,"2","EST","St-Phillip-2"
"St Lucie","Phillip",2025-09-06,08:18:00,"3","EST","St-Phillip-3"
"Clay","Fox Valley",2025-04-11,14:40:00,"2","EST","Cla-FoxValley-2"
"Clay","Fox Valley",2025-05-17,09:07:00,"1","EST","Cla-FoxValley-1"
"Clay","Fox Valley",2025-05-17,09:18:00,"2","EST","Cla-FoxValley-2"
"Flagler","Cheyenne Cove",2025-05-23,09:36:00,"1","EST","Fla-CheyC-1"
"Flagler","Cheyenne Cove",2025-05-23,09:49:00,"2","EST","Fla-CheyC-2"
"Flagler","Cheyenne Cove",2025-05-23,09:54:00,"3","EST","Fla-CheyC-3"
"Flagler","Cheyenne Cove",2025-06-26,13:41:00,"1","EST","Fla-CheyC-1"
"Flagler","Cheyenne Cove",2025-06-26,13:49:59,"2","EST","Fla-CheyC-2"
"Flagler","Cheyenne Cove",2025-06-26,13:54:00,"3","EST","Fla-CheyC-3"
"Flagler","Cheyenne Cove",2025-07-21,10:17:00,"2","EST","Fla-CheyC-2"
"Flagler","Cheyenne Cove",2025-07-21,10:22:00,"3","EST","Fla-CheyC-3"
"Flagler","Disston",2025-07-04,12:50:00,"2","EST",
"Flagler","Disston",2025-07-04,12:50:00,"2","EST",
"Flagler","Disston",2025-07-04,12:50:00,"2","EST","Fla-Disston-2"
"Flagler","Disston",2025-07-04,12:59:59,"3","EST",
"Flagler","Disston",2025-07-04,12:59:59,"3","EST",
"Flagler","Disston",2025-07-04,12:59:59,"3","EST","Fla-Disston-3"
"Seminole","Cub",2025-05-27,14:10:00,"1","EST","Sem-Cub-1"
"Seminole","Cub",2025-05-27,14:17:00,"2","EST","Sem-Cub-2"
"Seminole","Cub",2025-05-27,14:22:00,"3","EST","Sem-Cub-3"
"Seminole","Cub",2025-06-30,16:01:00,"1","EST","Sem-Cub-1"
"Seminole","Cub",2025-06-30,16:10:00,"2","EST","Sem-Cub-2"
"Seminole","Cub",2025-06-30,16:22:00,"3","EST","Sem-Cub-3"
"Seminole","Little Bear",2025-06-30,10:00:00,"1","EST","Sem-LittleBe-1"
"Seminole","Little Bear",2025-06-30,10:14:59,"2","EST","Sem-LittleBe-2"
"Seminole","Little Bear",2025-06-30,10:30:00,"3","EST","Sem-LittleBe-3"
"Seminole","Wekiva",2025-06-24,10:45:00,"1","EST","Sem-Wekiva-1"
"Seminole","Wekiva",2025-06-24,10:40:00,"2","EST","Sem-Wekiva-2"
"Seminole","Wekiva",2025-06-24,10:35:00,"3","EST","Sem-Wekiva-3"
"Seminole","Crescent",2025-06-14,13:05:59,"1","EST","Sem-Crescent-1"
"Seminole","Crescent",2025-06-14,13:08:00,"2","EST","Sem-Crescent-2"
"Seminole","Crescent",2025-06-14,13:12:00,"3","EST","Sem-Crescent-3"
"Alachua","Jeffords",2025-06-23,08:30:00,"1","EST","Ala-Jeffords-1"
"Alachua","Jeffords",2025-06-23,08:40:00,"2","EST","Ala-Jeffords-2"
"Alachua","Jeffords",2025-06-23,08:50:00,"3","EST","Ala-Jeffords-3"
"Alachua","Wauberg",2025-07-20,09:53:00,"2","EST","Ala-Wauberg-2"
"Alachua","Wauberg",2025-07-20,09:53:00,"2","EST",
"Alachua","Wauberg",2025-07-20,09:53:00,"2","EST",
"Alachua","Wauberg",2025-07-20,09:59:00,"3","EST","Ala-Wauberg-3"
"Alachua","Wauberg",2025-07-20,09:59:00,"3","EST",
"Alachua","Wauberg",2025-07-20,09:59:00,"3","EST",
"Seminole","Brantley",2025-06-20,10:00:00,"1","EST",
"Seminole","Brantley",2025-06-20,10:00:00,"1","EST","Sem-Brantley-1"
"Seminole","Brantley",2025-06-20,10:10:00,"2","EST",
"Seminole","Brantley",2025-06-20,10:10:00,"2","EST","Sem-Brantley-2"
"Seminole","Brantley",2025-06-20,10:20:00,"3","EST",
"Seminole","Brantley",2025-06-20,10:20:00,"3","EST","Sem-Brantley-3"
"Seminole","Brantley",2025-07-20,09:00:00,"2","EST",
"Seminole","Brantley",2025-07-20,09:00:00,"2","EST","Sem-Brantley-2"
"Seminole","Brantley",2025-07-20,09:00:00,"3","EST",
"Seminole","Brantley",2025-07-20,09:00:00,"3","EST","Sem-Brantley-3"
"Seminole","Clear",2025-07-24,08:09:59,"2","EST","Sem-Clear-2"
"Seminole","Clear",2025-07-24,08:21:00,"3","EST","Sem-Clear-3"
"Seminole","Clear",2025-08-19,09:01:00,"1","EST","Sem-Clear-1"
"Seminole","Clear",2025-08-19,09:15:00,"2","EST","Sem-Clear-2"
"Seminole","Clear",2025-08-19,09:37:00,"3","EST","Sem-Clear-3"
"Seminole","Crescent",2025-04-26,11:19:00,"2","EST","Sem-Crescent-2"
"Seminole","Crescent",2025-04-26,11:23:00,"3","EST","Sem-Crescent-3"
"Seminole","Crystal Bowl",2025-07-30,15:14:59,"2","EST","Sem-CrystalB-2"
"Seminole","Cub",2025-04-30,06:09:59,"2","EST","Sem-Cub-2"
"Seminole","Cub",2025-04-30,06:16:00,"3","EST","Sem-Cub-3"
"Seminole","East",2025-08-13,10:45:00,"1","EST","Sem-East-1"
"Seminole","East",2025-08-13,10:54:00,"2","EST","Sem-East-2"
"Seminole","East",2025-08-13,10:59:59,"3","EST","Sem-East-3"
"Seminole","Horseshoe North",2025-05-24,,"1","EST","Sem-HorseshoN-1"
"Seminole","Horseshoe North",2025-05-24,,"2","EST","Sem-HorseshoN-2"
"Seminole","Horseshoe North",2025-05-24,,"3","EST","Sem-HorseshoN-3"
"Seminole","Horseshoe North",2025-07-26,,"2","EST","Sem-HorseshoN-2"
"Seminole","Horseshoe North",2025-07-26,,"3","EST","Sem-HorseshoN-3"
"Seminole","Little Bear",2025-08-09,09:29:59,"1","EST","Sem-LittleBe-1"
"Seminole","Little Bear",2025-08-09,09:45:00,"2","EST","Sem-LittleBe-2"
"Seminole","Little Bear",2025-08-09,10:00:00,"3","EST","Sem-LittleBe-3"
"Seminole","Little Howell",2025-08-14,10:30:00,"1","EST","Sem-LittleHo-1"
"Seminole","Little Howell",2025-08-14,10:40:00,"2","EST","Sem-LittleHo-2"
"Seminole","Little Howell",2025-08-14,10:50:00,"3","EST","Sem-LittleHo-3"
"Seminole","Mary",2025-07-25,18:14:00,"2","EST","Sem-Mary-2"
"Seminole","Mary",2025-07-25,18:24:00,"3","EST","Sem-Mary-3"
"Seminole","Monroe West",2025-07-20,16:05:59,"2","EST","Sem-MonroeWe-2"
"Seminole","Monroe West",2025-07-20,16:12:00,"3","EST","Sem-MonroeWe-3"
"Seminole","Rock",2025-07-31,08:17:00,"2","EST","Sem-Rock-2"
"Seminole","Rock",2025-07-31,08:23:59,"3","EST","Sem-Rock-3"
"Seminole","Silver",2025-06-25,08:44:59,"1","EST","Sem-Silver-1"
"Seminole","Silver",2025-06-25,08:50:00,"2","EST","Sem-Silver-2"
"Seminole","Silver",2025-06-25,08:54:59,"3","EST","Sem-Silver-3"
"Seminole","Silver",2025-07-28,08:09:59,"2","EST","Sem-Silver-2"
"Seminole","Silver",2025-07-28,08:15:00,"3","EST","Sem-Silver-3"
"Seminole","Wekiva",2025-08-12,09:00:00,"1","EST","Sem-Wekiva-1"
"Seminole","Wekiva",2025-08-12,08:54:59,"2","EST","Sem-Wekiva-2"
"Seminole","Wekiva",2025-08-12,08:50:00,"3","EST","Sem-Wekiva-3"
"Charlotte","L-4",2025-06-30,12:00:00,"1","EST","Cha-L-4-1"
"Charlotte","L-4",2025-06-30,12:10:00,"2","EST","Cha-L-4-2"
"Charlotte","L-4",2025-06-30,12:19:59,"3","EST","Cha-L-4-3"
"Charlotte","L-4",2025-07-29,10:59:59,"2","EST","Cha-L-4-2"
"Charlotte","L-4",2025-07-29,10:59:59,"3","EST","Cha-L-4-3"
"Charlotte","L-4",2025-08-27,11:30:00,"1","EST","Cha-L-4-1"
"Charlotte","L-4",2025-08-27,11:30:00,"2","EST","Cha-L-4-2"
"Charlotte","L-4",2025-08-27,11:30:00,"3","EST","Cha-L-4-3"
"Charlotte","L-6",2025-08-19,10:38:00,"1","EST","Cha-L-6-1"
"Charlotte","L-6",2025-08-19,10:38:00,"2","EST","Cha-L-6-2"
"Charlotte","L-6",2025-08-19,10:38:00,"3","EST","Cha-L-6-3"
"Charlotte","LC-1",2025-06-12,09:10:00,"1","EST","Cha-LC-1-1"
"Charlotte","LC-2",2025-06-12,09:22:00,"1","EST","Cha-LC-2-1"
"Charlotte","LC-3",2025-06-12,09:32:00,"1","EST","Cha-LC-3-1"
"Charlotte","LC-3",2025-07-22,09:35:00,"1","EST","Cha-LC-3-1"
"Charlotte","Oakland Hills End",2025-07-09,14:00:00,"2","EST","Cha-OaklH-Ed-2"
"Charlotte","Oakland Hills End",2025-07-09,14:05:00,"3","EST","Cha-OaklH-Ed-3"
"Charlotte","Oakland Hills End",2025-08-25,09:32:00,"1","EST","Cha-OaklH-Ed-1"
"Charlotte","Oakland Hills End",2025-08-25,09:38:00,"2","EST","Cha-OaklH-Ed-2"
"Charlotte","Oakland Hills End",2025-08-25,09:41:59,"3","EST","Cha-OaklH-Ed-3"
"Charlotte","WF-1",2025-06-10,09:34:00,"1","EST","Cha-WF-1-1"
"Charlotte","WF-1",2025-06-10,09:39:00,"2","EST","Cha-WF-1-2"
"Charlotte","WF-2",2025-06-10,09:50:00,"1","EST","Cha-WF-2-1"
"Charlotte","WF-2",2025-06-10,09:54:00,"2","EST","Cha-WF-2-2"
"Charlotte","WF-2",2025-06-10,09:58:00,"3","EST","Cha-WF-2-3"
"Charlotte","WF-3",2025-06-10,10:24:59,"1","EST","Cha-WF-3-1"
"Charlotte","WF-3",2025-06-10,10:32:00,"2","EST","Cha-WF-3-2"
"Charlotte","WF-3",2025-06-10,10:35:00,"3","EST","Cha-WF-3-3"
"Charlotte","WF-4",2025-06-10,10:11:00,"1","EST","Cha-WF-4-1"
"Charlotte","WF-4",2025-06-10,10:14:00,"2","EST","Cha-WF-4-2"
"Charlotte","WF-5",2025-06-10,09:00:00,"1","EST","Cha-WF-5-1"
"Charlotte","WF-5",2025-06-10,09:05:00,"2","EST","Cha-WF-5-2"
"Charlotte","WF-6",2025-06-10,09:20:00,"1","EST","Cha-WF-6-1"
"Charlotte","WF-6",2025-06-10,09:23:00,"2","EST","Cha-WF-6-2"
"Charlotte","WF-1",2025-08-19,10:30:00,"1","EST","Cha-WF-1-1"
"Charlotte","WF-1",2025-08-19,10:35:00,"2","EST","Cha-WF-1-2"
"Charlotte","WF-2",2025-08-19,10:08:00,"1","EST","Cha-WF-2-1"
"Charlotte","WF-2",2025-08-19,10:14:00,"2","EST","Cha-WF-2-2"
"Charlotte","WF-2",2025-08-19,10:17:00,"3","EST","Cha-WF-2-3"
"Charlotte","WF-3",2025-08-19,09:44:00,"1","EST","Cha-WF-3-1"
"Charlotte","WF-3",2025-08-19,09:49:00,"2","EST","Cha-WF-3-2"
"Charlotte","WF-3",2025-08-19,09:54:00,"3","EST","Cha-WF-3-3"
"Charlotte","WF-4",2025-08-19,09:27:59,"1","EST","Cha-WF-4-1"
"Charlotte","WF-4",2025-08-19,09:34:00,"2","EST","Cha-WF-4-2"
"Charlotte","WF-6",2025-08-19,10:47:00,"1","EST","Cha-WF-6-1"
"Charlotte","WF-6",2025-08-19,10:54:00,"2","EST","Cha-WF-6-2"
"Charlotte","WF-5",2025-08-19,09:11:00,"1","EST","Cha-WF-5-1"
"Charlotte","WF-5",2025-08-19,09:16:00,"2","EST","Cha-WF-5-2"
"Lee","Harborage East",2025-07-28,10:59:59,"2","EST","Lee-HarboragE-2"
"Lee","Harborage East",2025-07-28,11:09:59,"3","EST","Lee-HarboragE-3"
"Lee","Harborage East",2025-08-31,12:00:00,"1","EST","Lee-HarboragE-1"
"Lee","Harborage East",2025-08-31,12:10:00,"2","EST","Lee-HarboragE-2"
"Lee","Harborage East",2025-08-31,12:19:59,"3","EST","Lee-HarboragE-3"
"Lee","Harborage West",2025-07-28,11:30:00,"2","EST","Lee-HarboragW-2"
"Lee","Harborage West",2025-07-28,10:40:00,"3","EST","Lee-HarboragW-3"
"Lee","Harborage West",2025-08-31,12:30:00,"1","EST","Lee-HarboragW-1"
"Lee","Harborage West",2025-08-31,12:40:00,"2","EST","Lee-HarboragW-2"
"Lee","Harborage West",2025-08-31,11:50:00,"3","EST","Lee-HarboragW-3"
"Sarasota","HO6",2025-04-15,08:09:59,"2","EST","Sar-HO6-2"
"Sarasota","HO6",2025-04-15,08:20:00,"3","EST","Sar-HO6-3"
"Sarasota","HO6",2025-05-20,08:09:59,"1","EST","Sar-HO6-1"
"Sarasota","HO6",2025-05-20,08:21:00,"2","EST","Sar-HO6-2"
"Sarasota","HO6",2025-05-20,08:30:00,"3","EST","Sar-HO6-3"
"Sarasota","HO6",2025-06-17,08:09:59,"1","EST","Sar-HO6-1"
"Sarasota","HO6",2025-06-17,08:20:00,"2","EST","Sar-HO6-2"
"Sarasota","HO6",2025-06-17,08:24:59,"3","EST","Sar-HO6-3"
"Sarasota","HO6",2025-07-15,08:15:00,"2","EST","Sar-HO6-2"
"Sarasota","HO6",2025-07-15,08:20:00,"3","EST","Sar-HO6-3"
"Sarasota","Lake 37",2025-04-04,11:05:00,"2","EST","Sar-Lake-37-2"
"Sarasota","Lake 37",2025-04-04,11:15:00,"3","EST","Sar-Lake-37-3"
"Sarasota","Lake 37",2025-05-02,11:30:00,"1","EST","Sar-Lake-37-1"
"Sarasota","Lake 37",2025-05-02,11:35:00,"2","EST","Sar-Lake-37-2"
"Sarasota","Lake 37",2025-05-02,11:40:00,"3","EST","Sar-Lake-37-3"
"Sarasota","Lake 37",2025-06-06,11:30:00,"1","EST","Sar-Lake-37-1"
"Sarasota","Lake 37",2025-06-06,11:35:00,"2","EST","Sar-Lake-37-2"
"Sarasota","Lake 37",2025-06-06,11:40:00,"3","EST","Sar-Lake-37-3"
"Sarasota","Lake 37",2025-07-17,14:15:00,"2","EST","Sar-Lake-37-2"
"Sarasota","Lake 37",2025-07-17,14:20:00,"3","EST","Sar-Lake-37-3"
"Sarasota","Lake G-20",2025-04-04,10:14:59,"2","EST","Sar-Lake-G-20-2"
"Sarasota","Lake G-20",2025-04-04,10:20:00,"3","EST","Sar-Lake-G-20-3"
"Sarasota","Lake M-9",2025-04-04,11:50:00,"2","EST","Sar-Lake-M-9-2"
"Sarasota","Lake M-9",2025-04-04,11:54:59,"3","EST","Sar-Lake-M-9-3"
"Sarasota","Lake M-9",2025-07-17,15:10:00,"2","EST","Sar-Lake-M-9-2"
"Sarasota","Lake M-9",2025-07-17,15:14:59,"3","EST","Sar-Lake-M-9-3"
"Sarasota","Lower Myakka",2025-04-30,11:01:00,"2","EST","Sar-LowerMya-2"
"Sarasota","Lower Myakka",2025-04-30,11:15:00,"3","EST","Sar-LowerMya-3"
"Sarasota","Lower Myakka",2025-08-06,10:30:00,"1","EST","Sar-LowerMya-1"
"Sarasota","Lower Myakka",2025-08-06,11:09:59,"2","EST","Sar-LowerMya-2"
"Sarasota","Lower Myakka",2025-08-06,11:30:00,"3","EST","Sar-LowerMya-3"
"Sarasota","Pelican Cove-1",2025-08-27,16:10:00,"1","EST","Sar-Pelican-Cove-1-1"
"Sarasota","Pelican Cove-2",2025-08-27,16:20:00,"1","EST","Sar-Pelican-Cove-2-1"
"Sarasota","Pelican Cove-3",2025-08-27,16:30:00,"1","EST","Sar-Pelican-Cove-3-1"
"Sarasota","Pinebrook South",2025-08-20,09:10:00,"1","EST","Sar-PinebrookS-1"
"Sarasota","Pinebrook South",2025-08-20,10:30:00,"2","EST","Sar-PinebrookS-2"
"Sarasota","Pinebrook South",2025-08-20,10:45:00,"3","EST","Sar-PinebrookS-3"
"Sarasota","Upper Myakka",2025-07-01,09:58:00,"2","EST",
"Sarasota","Upper Myakka",2025-07-01,09:58:00,"2","EST","Sar-UpperMya-2"
"Sarasota","Upper Myakka",2025-07-01,10:14:00,"3","EST",
"Sarasota","Upper Myakka",2025-07-01,10:14:00,"3","EST","Sar-UpperMya-3"
"Sarasota","Upper Myakka",2025-07-28,09:20:00,"2","EST",
"Sarasota","Upper Myakka",2025-07-28,09:20:00,"2","EST","Sar-UpperMya-2"
"Sarasota","Upper Myakka",2025-07-28,09:41:59,"3","EST",
"Sarasota","Upper Myakka",2025-07-28,09:41:59,"3","EST","Sar-UpperMya-3"
"Alachua","Blues Creek-1",2025-07-17,,"1","EST","Ala-BluesC-1-1"
"Alachua","Turkey Creek-1",2025-07-15,,"1","EST","Ala-TurkeyC-1-1"
"Alachua","Alto",2025-06-19,10:20:00,"1","EST",
"Alachua","Alto",2025-06-19,10:20:00,"1","EST","Ala-Alto-1"
"Alachua","Alto",2025-06-19,10:20:00,"1","EST",
"Alachua","Alto",2025-06-19,10:35:00,"2","EST",
"Alachua","Alto",2025-06-19,10:35:00,"2","EST","Ala-Alto-2"
"Alachua","Alto",2025-06-19,10:35:00,"2","EST",
"Alachua","Alto",2025-06-19,10:55:00,"3","EST",
"Alachua","Alto",2025-06-19,10:55:00,"3","EST","Ala-Alto-3"
"Alachua","Alto",2025-06-19,10:55:00,"3","EST",
"Alachua","Alto",2025-08-21,10:05:00,"1","EST",
"Alachua","Alto",2025-08-21,10:05:00,"1","EST","Ala-Alto-1"
"Alachua","Alto",2025-08-21,10:05:00,"1","EST",
"Alachua","Alto",2025-08-21,10:24:59,"2","EST",
"Alachua","Alto",2025-08-21,10:24:59,"2","EST","Ala-Alto-2"
"Alachua","Alto",2025-08-21,10:24:59,"2","EST",
"Alachua","Alto",2025-08-21,10:35:00,"3","EST",
"Alachua","Alto",2025-08-21,10:35:00,"3","EST","Ala-Alto-3"
"Alachua","Alto",2025-08-21,10:35:00,"3","EST",
"Alachua","Elizabeth",2025-07-30,08:28:00,"2","EST","Ala-Elizabeth-2"
"Alachua","Elizabeth",2025-07-30,08:38:00,"3","EST","Ala-Elizabeth-3"
"Alachua","Elizabeth",2025-08-30,09:13:00,"1","EST","Ala-Elizabeth-1"
"Alachua","Elizabeth",2025-08-30,09:23:00,"2","EST","Ala-Elizabeth-2"
"Alachua","Elizabeth",2025-08-30,09:32:59,"3","EST","Ala-Elizabeth-3"
"Alachua","Jeffords",2025-08-25,10:00:00,"1","EST","Ala-Jeffords-1"
"Alachua","Jeffords",2025-08-25,10:00:00,"2","EST","Ala-Jeffords-2"
"Alachua","Jeffords",2025-08-25,10:00:00,"3","EST","Ala-Jeffords-3"
"Flagler","Cheyenne Cove",2025-08-22,11:42:00,"1","EST","Fla-CheyC-1"
"Flagler","Cheyenne Cove",2025-08-22,11:47:00,"2","EST","Fla-CheyC-2"
"Flagler","Cheyenne Cove",2025-08-22,11:52:00,"3","EST","Fla-CheyC-3"
"Putnam","Camp Branch-1",2025-05-21,14:15:00,"1","EST","Put-CampBR-1"
"Putnam","Camp Branch-2",2025-05-21,13:35:00,"1","EST","Put-CampBR-2"
"Putnam","Camp Branch-3",2025-05-21,11:44:59,"1","EST","Put-CampBR-3"
"Putnam","Camp Branch-4",2025-05-21,10:45:00,"1","EST","Put-CampBR-4"
"Putnam","Riley",2025-08-18,09:43:00,"1","EST",
"Putnam","Riley",2025-08-18,09:43:00,"1","EST","Put-Riley-1"
"Putnam","Riley",2025-08-18,09:36:00,"2","EST",
"Putnam","Riley",2025-08-18,09:36:00,"2","EST","Put-Riley-2"
"Putnam","Riley",2025-08-18,09:29:59,"3","EST",
"Putnam","Riley",2025-08-18,09:29:59,"3","EST","Put-Riley-3"
"Putnam","Star",2025-08-21,09:10:00,"1","EST",
"Putnam","Star",2025-08-21,09:10:00,"1","EST","Put-Star-1"
"Putnam","Star",2025-08-21,08:59:00,"2","EST","Put-Star-2"
"Putnam","Star",2025-08-21,09:02:59,"3","EST",
"Putnam","Star",2025-08-21,09:02:59,"3","EST","Put-Star-3"
"Volusia","North Talmadge",2025-08-10,09:27:59,"1","EST","Vol-NorthTal-1"
"Volusia","North Talmadge",2025-08-10,09:22:00,"2","EST","Vol-NorthTal-2"
"Volusia","North Talmadge",2025-08-10,09:15:00,"3","EST","Vol-NorthTal-3"
"Citrus","Henderson",2025-09-13,11:56:59,"1","EST","Cit-Henderson-1"
"Citrus","Henderson",2025-09-13,12:07:00,"2","EST","Cit-Henderson-2"
"Citrus","Henderson",2025-09-13,,"3","EST","Cit-Henderson-3"
"Citrus","Tsala Apopka",2025-08-30,18:04:00,"1","EST","Cit-TsalaApo-1"
"Citrus","Tsala Apopka",2025-08-30,18:20:00,"2","EST","Cit-TsalaApo-2"
"Citrus","Tsala Apopka",2025-08-30,18:37:00,"3","EST","Cit-TsalaApo-3"
"Clay","Lily",2025-06-26,11:50:00,"1","EST","Cla-Lily-1"
"Clay","Lily",2025-06-26,11:50:00,"1","EST",
"Clay","Lily",2025-06-26,11:09:59,"2","EST","Cla-Lily-2"
"Clay","Lily",2025-06-26,11:09:59,"2","EST",
"Clay","Lily",2025-06-26,11:05:00,"3","EST","Cla-Lily-3"
"Clay","Lily",2025-06-26,11:05:00,"3","EST",
"Clay","Lily",2025-07-30,17:44:59,"2","EST","Cla-Lily-2"
"Clay","Lily",2025-07-30,17:44:59,"2","EST",
"Clay","Lily",2025-07-30,17:34:59,"3","EST","Cla-Lily-3"
"Clay","Lily",2025-07-30,17:34:59,"3","EST",
"Sarasota","Cormorant",2024-12-16,14:55:00,"2","EST","Sar-Cormorant-2"
"Sarasota","Cormorant",2025-05-06,13:50:59,"2","EST","Sar-Cormorant-2"
"Sarasota","Cormorant",2025-07-14,10:59:59,"2","EST","Sar-Cormorant-2"
"Sarasota","Cormorant",2025-08-20,10:14:59,"2","EST","Sar-Cormorant-2"
"Sarasota","Egret",2024-12-16,14:39:00,"2","EST","Sar-Egret-2"
"Sarasota","Egret",2025-05-06,13:38:00,"2","EST","Sar-Egret-2"
"Sarasota","Egret",2025-07-14,10:14:59,"2","EST","Sar-Egret-2"
"Sarasota","Egret",2025-08-20,10:00:00,"2","EST","Sar-Egret-2"
"Sarasota","Heron",2024-12-16,14:26:00,"2","EST","Sar-Heron-2"
"Sarasota","Heron",2025-05-06,13:23:00,"2","EST","Sar-Heron-2"
"Sarasota","Heron",2025-07-14,10:00:00,"2","EST","Sar-Heron-2"
"Sarasota","Heron",2025-08-20,09:45:00,"2","EST","Sar-Heron-2"
"Sarasota","HO6",2025-08-28,08:09:59,"1","EST","Sar-HO6-1"
"Sarasota","HO6",2025-08-28,08:20:00,"2","EST","Sar-HO6-2"
"Sarasota","HO6",2025-08-28,08:27:00,"3","EST","Sar-HO6-3"
