"Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Tube_Number","Dilution","Abs","Result_Value(PCU)","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","Study","Comments","StartDate","PrepDate","AnDate","Org_Result_Value","Sampling_Agency_Name","Project_ID"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Upstream Fall_Belchior_Student","2","8/13/25",,1,0.036,26,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"26","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Upstream Fall_Belchior_Student","3","8/13/25",,1,0.035,26,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"26","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Upstream Fall_Belchior_Student","4","8/13/25",,1,0.047,34,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"34","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Upstream Spring_Belchior_Student","1","4/29/25",,1,0.069,51,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"51","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Upstream Spring_Belchior_Student","2","4/29/25",,1,0.008,6,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"6","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Upstream Spring_Belchior_Student","3","4/29/25",,1,0.007,5,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"5","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Upstream Spring_Belchior_Student","4","4/29/25",,1,0.007,5,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"5","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Ponar Fall_Belchior_Student","1","8/13/25",,1,0.086,63,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"63","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Ponar Fall_Belchior_Student","2","8/13/25",,1,0.096,70,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"70","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Ponar Fall_Belchior_Student","3","8/13/25",,1,0.077,56,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"56","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Ponar Fall_Belchior_Student","DUP1","8/13/25",,1,0.077,56,,,"",,,"QAQC","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"56","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"ALTQC1",,,1,0.024,17,,,"Q","Q",,"QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"17","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"CCV1",,,1,0.034,25,,,"Q","Q",,"QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"25","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"MBLK2",,,1,0,0,,,"QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Ponar Spring_Belchior_Student","1","4/29/25",,1,0.026,19,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"19","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Ponar Spring_Belchior_Student","2","4/29/25",,1,0.023,17,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"17","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Ponar Spring_Belchior_Student","3","4/29/25",,1,0.02,14,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"14","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Canal Fall_Belchior_Student","1","8/12/25",,1,0.106,78,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-12,2025-10-14,2025-10-15,"78","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Canal Fall_Belchior_Student","2","8/12/25",,1,0.109,80,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-12,2025-10-14,2025-10-15,"80","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Canal Fall_Belchior_Student","3","8/12/25",,1,0.071,52,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-12,2025-10-14,2025-10-15,"52","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Canal Spring_Belchior_Student","1","4/30/25",,1,0.032,23,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-30,2025-10-14,2025-10-15,"23","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Canal Spring_Belchior_Student","2","4/30/25",,1,0.027,20,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-30,2025-10-14,2025-10-15,"20","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Canal Spring_Belchior_Student","3","4/30/25",,1,0.061,45,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-30,2025-10-14,2025-10-15,"45","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Reservoir Fall_Belchior_Student","1","8/13/25",,1,0.082,60,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"60","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Reservoir Fall_Belchior_Student","2","8/13/25",,1,0.132,97,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"97","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Reservoir Fall_Belchior_Student","3","8/13/25",,1,0.081,59,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"59","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Reservoir Fall_Belchior_Student","3DUP","8/13/25",,1,0.082,60,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"60","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Reservoir Spring_Belchior_Student","1","4/29/25",,1,0.025,18,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"18","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Reservoir Spring_Belchior_Student","2","4/29/25",,1,0.025,18,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"18","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Reservoir Spring_Belchior_Student","3","4/29/25",,1,0.02,14,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"14","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Saint Johns Fall_Belchior_Student","1","8/12/25",,1,0.078,57,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-12,2025-10-14,2025-10-15,"57","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Saint Johns Fall_Belchior_Student","2","8/12/25",,1,0.083,61,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-12,2025-10-14,2025-10-15,"61","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Saint Johns Fall_Belchior_Student","3","8/12/25",,1,0.078,57,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-12,2025-10-14,2025-10-15,"57","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Saint Johns Fall_Belchior_Student","DUP2","8/12/25",,1,0.077,56,,,"",,,"QAQC","COL1014202510152025","Student Project",,2025-08-12,2025-10-14,2025-10-15,"56","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"ALTQC2",,,1,0.025,18,,,"Q","Q",,"QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"18","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"CCV2",,,1,0.034,25,,,"Q","Q",,"QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"25","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"MBLK3",,,1,0,0,,,"QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Saint Johns Fall_Belchior_Student","4","8/12/25",,1,0.088,65,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-12,2025-10-14,2025-10-15,"65","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","L5","8/20/25",,1,0.045,33,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-20,2025-10-14,2025-10-15,"33","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","L2","8/20/25",,1,0.042,31,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-20,2025-10-14,2025-10-15,"31","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","L4","8/20/25",,1,0.048,35,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-20,2025-10-14,2025-10-15,"35","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","OP2","8/20/25",,1,0.044,32,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-20,2025-10-14,2025-10-15,"32","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","OP1","8/20/25",,1,0.046,34,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-20,2025-10-14,2025-10-15,"34","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","OP3","8/20/25",,1,0.047,34,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-20,2025-10-14,2025-10-15,"34","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","LC","8/20/25",,1,0.088,65,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-20,2025-10-14,2025-10-15,"65","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","L5","9/23/25",,1,0.046,34,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-09-23,2025-10-14,2025-10-15,"34","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","L2","9/23/25",,1,0.049,36,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-09-23,2025-10-14,2025-10-15,"36","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","L4","9/23/25",,1,0.047,34,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-09-23,2025-10-14,2025-10-15,"34","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","OP2","9/23/25",,1,0.042,31,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-09-23,2025-10-14,2025-10-15,"31","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","OP1","9/23/25",,1,0.044,32,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-09-23,2025-10-14,2025-10-15,"32","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","OP3","9/23/25",,1,0.049,36,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-09-23,2025-10-14,2025-10-15,"36","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","LC","9/23/25",,1,0.073,54,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-09-23,2025-10-14,2025-10-15,"54","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Alachua","Lochloosa_Lajoie_Post-Doc","DUP3","9/23/25",,1,0.073,54,,,"",,,"QAQC","COL1014202510152025","Student Project",,2025-09-23,2025-10-14,2025-10-15,"54","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"ALTQC3",,,1,0.025,18,,,"Q","Q",,"QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"18","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"CCV3",,,1,0.034,25,,,"Q","Q",,"QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"25","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"MBLK4",,,,,0,,,"QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"DUP4",,,,,0,,,"QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"ALTQC4",,,,,0,,"J","QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"CCV4",,,,,0,,"J","QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"MBLK5",,,,,0,,,"QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"DUP5",,,,,0,,,"QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"ALTQC5",,,,,0,,"J","QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"CCV5",,,,,0,,"J","QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST",,,"MBLK1",,,1,-0.001,0,,,"QU","Q","TI","QAQC","COL0919202510242025",,,,2025-09-19,2025-10-24,"1","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Gadsden","Talquin","1","7/5/25",,1,0.042,32,,,"",,,"Sample","COL0919202510242025",,,2025-07-05,2025-09-19,2025-10-24,"32","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Gulf","Air Strip-1","1","7/11/25",,1,0.085,64,,,"",,,"Sample","COL0919202510242025",,,2025-07-11,2025-09-19,2025-10-24,"64","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Gulf","Cattle Dip-1","1","7/11/25",,10,0.113,843,,,"",,,"Sample","COL0919202510242025",,,2025-07-11,2025-09-19,2025-10-24,"843","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Gulf","Depot Creek-1","1","7/11/25",,4,0.163,485,,,"",,,"Sample","COL0919202510242025",,,2025-07-11,2025-09-19,2025-10-24,"485","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Gulf","Dove Field-1","1","7/11/25",,4,0.085,254,,,"",,,"Sample","COL0919202510242025",,,2025-07-11,2025-09-19,2025-10-24,"254","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Gulf","Money Bayou-1","1","7/11/25",,4,0.176,524,,,"",,,"Sample","COL0919202510242025",,,2025-07-11,2025-09-19,2025-10-24,"524","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Gulf","Pond Road-1","1","7/11/25",,4,0.194,577,,,"",,,"Sample","COL0919202510242025",,,2025-07-11,2025-09-19,2025-10-24,"577","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Gulf","Simmons Bayou-1","1","7/11/25",,1,0.017,13,,,"",,,"Sample","COL0919202510242025",,,2025-07-11,2025-09-19,2025-10-24,"13","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Hernando","Hernando Beach-2","1","7/23/25",,1,0.009,7,,,"",,,"Sample","COL0919202510242025",,,2025-07-23,2025-09-19,2025-10-24,"7","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Hernando","Hernando Beach-2","DUP1","7/23/25",,1,0.008,6,,,"",,,"QAQC","COL0919202510242025",,,2025-07-23,2025-09-19,2025-10-24,"6","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST",,,"ALTQC1",,,1,0.023,18,,,"Q","Q",,"QAQC","COL0919202510242025",,,,2025-09-19,2025-10-24,"18","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST",,,"CCV1",,,1,0.034,26,,,"Q","Q",,"QAQC","COL0919202510242025",,,,2025-09-19,2025-10-24,"26","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST",,,"MLBK2",,,1,-0.001,0,,,"QU","Q","TI","QAQC","COL0919202510242025",,,,2025-09-19,2025-10-24,"1","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Jackson","Silver","1","7/20/25",,1,0.011,9,,,"",,,"Sample","COL0919202510242025",,,2025-07-20,2025-09-19,2025-10-24,"9","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Lake","Griffin West","1","7/30/25",,1,0.117,87,,,"",,,"Sample","COL0919202510242025",,,2025-07-30,2025-09-19,2025-10-24,"87","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Leon","Carr","1","7/10/25",,1,0.019,15,,,"",,,"Sample","COL0919202510242025",,,2025-07-10,2025-09-19,2025-10-24,"15","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Leon","Jackson","1","7/30/25",,1,0.033,25,,,"",,,"Sample","COL0919202510242025",,,2025-07-30,2025-09-19,2025-10-24,"25","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Liberty","Mystic","1","7/18/25",,1,0.01,8,,,"",,,"Sample","COL0919202510242025",,,2025-07-18,2025-09-19,2025-10-24,"8","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Marion","Deerback","1","7/23/25",,1,0.022,17,,,"",,,"Sample","COL0919202510242025",,,2025-07-23,2025-09-19,2025-10-24,"17","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Marion","Little Weir","1","7/5/25",,1,0.024,18,,,"",,,"Sample","COL0919202510242025",,,2025-07-05,2025-09-19,2025-10-24,"18","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Marion","Weir","1","7/21/25",,1,0.015,12,,,"",,,"Sample","COL0919202510242025",,,2025-07-21,2025-09-19,2025-10-24,"12","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Marion","Weir","DUP2","7/21/25",,1,0.015,12,,,"",,,"QAQC","COL0919202510242025",,,2025-07-21,2025-09-19,2025-10-24,"12","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST",,,"ALTQC2",,,1,0.025,19,,,"Q","Q",,"QAQC","COL0919202510242025",,,,2025-09-19,2025-10-24,"19","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST",,,"CCV2",,,1,0.034,26,,,"Q","Q",,"QAQC","COL0919202510242025",,,,2025-09-19,2025-10-24,"26","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST",,,"MLBK3",,,1,0,1,,,"QU","Q","TI","QAQC","COL0919202510242025",,,,2025-09-19,2025-10-24,"1","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Pinellas","Crescent","1","7/9/25",,1,0.041,31,,,"",,,"Sample","COL0919202510242025",,,2025-07-09,2025-09-19,2025-10-24,"31","Florida Lakewatch","21FLKWAT"
"9/19/25",13:29:00,"EST","10/24/25",12:33:00,"EST","Seminole","Cub","DUP3","7/31/25",,1,0.031,23,,,"",,,"QAQC","COL0919202510242025",,,2025-07-31,2025-09-19,2025-10-24,"23","Florida Lakewatch","21FLKWAT"
