"Org_Analyte_Name","Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Tube_Number","Dilution","Abs","Result_Value(ug/L)","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","Comments","Sampling_Agency_Name","Project_ID"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Buck Creek Weir","2","04/05/2024",1083,1,0.06,"Result_Value(ug/L)",,,"Q","Q",,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Buck Creek Weir","3","04/05/2024",1084,1,0.055,"Result_Value(ug/L)",,,"Q","Q",,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/31/2024","9:00:00 AM","EDT","11/04/2024","11:36:00 AM","EST","Charlotte","Buck Creek Weir","1","07/22/2024",393,1,0.193,"Result_Value(ug/L)",,,,,,"Sample","TP10312024ATP11042024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/31/2024","9:00:00 AM","EDT","11/04/2024","11:36:00 AM","EST","Charlotte","Buck Creek Weir","2","07/22/2024",394,1,0.189,"Result_Value(ug/L)",,,,,,"Sample","TP10312024ATP11042024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/31/2024","9:00:00 AM","EDT","11/04/2024","11:36:00 AM","EST","Charlotte","Buck Creek Weir","3","07/22/2024",395,1,0.189,"Result_Value(ug/L)",,,,,,"Sample","TP10312024ATP11042024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Buck Creek Weir","1","08/22/2024",1088,1,0.339,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Buck Creek Weir","2","08/22/2024",1089,1,0.291,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Buck Creek Weir","3","08/22/2024",1090,1,0.32,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-4","1","06/30/2024",1085,1,0.053,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-4","2","06/30/2024",1086,1,0.074,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-4","3","06/30/2024",1087,1,0.065,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-4","1","07/30/2024",1088,1,0.057,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-4","2","07/30/2024",1089,1,0.041,"Result_Value(ug/L)",,,"I",,"I","Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-4","3","07/30/2024",1090,1,0.047,"Result_Value(ug/L)",,,"I",,"I","Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","L-4","1","08/29/2024",1091,1,0.038,"Result_Value(ug/L)",,,"I",,"I","Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","L-4","2","08/29/2024",1092,1,0.035,"Result_Value(ug/L)",,,"I",,"I","Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","L-4","3","08/29/2024",1093,1,0.036,"Result_Value(ug/L)",,,"I",,"I","Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-6","1","07/16/2024",1091,1,0.029,"Result_Value(ug/L)",,,"I",,"I","Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-6","2","07/16/2024",1092,1,0.029,"Result_Value(ug/L)",,,"I",,"I","Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","L-6","3","07/16/2024",1093,1,0.029,"Result_Value(ug/L)",,,"I",,"I","Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","L-6","1","08/20/2024",1094,1,0.022,"Result_Value(ug/L)",,,"I",,"I","Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","L-6","2","08/20/2024",1095,1,0.023,"Result_Value(ug/L)",,,"I",,"I","Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","L-6","3","08/20/2024",1096,1,0.025,"Result_Value(ug/L)",,,"I",,"I","Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","LC-1","1","06/20/2024",1094,1,0.82,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/31/2024","9:00:00 AM","EDT","11/04/2024","11:36:00 AM","EST","Charlotte","LC-1","1","07/16/2024",396,1,0.476,"Result_Value(ug/L)",,,,,,"Sample","TP10312024ATP11042024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","LC-1","1","08/20/2024",1097,1,0.619,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","LC-2","1","06/20/2024",1095,1,0.54,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/31/2024","9:00:00 AM","EDT","11/04/2024","11:36:00 AM","EST","Charlotte","LC-2","1","07/16/2024",397,1,0.407,"Result_Value(ug/L)",,,,,,"Sample","TP10312024ATP11042024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","LC-2","1","08/20/2024",1098,1,0.435,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","LC-3","1","06/20/2024",1096,1,1.069,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/31/2024","9:00:00 AM","EDT","11/04/2024","11:36:00 AM","EST","Charlotte","LC-3","1","07/16/2024",398,1,0.664,"Result_Value(ug/L)",,,,,,"Sample","TP10312024ATP11042024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","LC-3","1","08/20/2024",1099,1,1.159,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","07/23/2024","9:00:00 AM","EDT","07/25/2024","8:55:00 AM","EDT","Charlotte","Oakland Hills End","1","04/23/2024",1190,1,0.21,"Result_Value(ug/L)",,,,,,"Sample","TP07242424A07242024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","07/23/2024","9:00:00 AM","EDT","07/25/2024","8:55:00 AM","EDT","Charlotte","Oakland Hills End","2","04/23/2024",1191,1,0.206,"Result_Value(ug/L)",,,,,,"Sample","TP07242424A07242024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","07/23/2024","9:00:00 AM","EDT","07/25/2024","8:55:00 AM","EDT","Charlotte","Oakland Hills End","3","04/23/2024",1192,1,0.181,"Result_Value(ug/L)",,,,,,"Sample","TP07242424A07242024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Oakland Hills End","1","07/19/2024",1097,1,0.178,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Oakland Hills End","2","07/19/2024",1098,1,0.203,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Oakland Hills End","3","07/19/2024",1099,1,0.176,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Oakland Hills End","1","08/19/2024",1100,1,0.281,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Oakland Hills End","2","08/19/2024",1101,1,0.247,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Oakland Hills End","3","08/19/2024",1107,1,0.256,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Pine Valley End","1","07/21/2024",1100,1,0.088,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/07/2024","2:50:00 PM","EST","11/13/2024","8:57:00 AM","EST","Charlotte","Pine Valley End","2","07/21/2024",70,1,0.153,"Result_Value(ug/L)",,,,,,"Sample","TP11072024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Pine Valley End","3","07/21/2024",1107,1,0.093,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Pine Valley End","1","08/26/2024",1108,1,0.124,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Pine Valley End","2","08/26/2024",1109,1,0.145,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Pine Valley End","3","08/26/2024",1110,1,0.127,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Redfish","1","07/09/2024",1108,1,0.287,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Redfish","2","07/09/2024",1109,1,0.232,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Redfish","1","08/09/2024",1111,1,0.261,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Redfish","2","08/09/2024",1112,1,0.182,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Sturgeon","1","07/05/2024",1110,1,0.159,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Sturgeon","2","07/05/2024",1111,1,0.163,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Sturgeon","1","08/07/2024",1113,1,0.394,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Sturgeon","2","08/07/2024",1114,1,0.256,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Sunapee","1","07/05/2024",1112,1,0.346,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Sunapee","2","07/05/2024",1113,1,0.277,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Sunapee","1","08/07/2024",1115,1,0.374,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","Sunapee","2","08/07/2024",1116,1,0.204,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-1","1","06/20/2024",1114,1,0.226,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-1","2","06/20/2024",1115,1,0.167,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-1","1","07/16/2024",1116,1,0.2,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-1","2","07/16/2024",1117,1,0.21,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-1","1","08/20/2024",1117,1,0.287,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-1","2","08/20/2024",1118,1,0.256,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-2","1","06/20/2024",1118,1,0.362,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-2","2","06/20/2024",1119,1,0.257,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-2","3","06/20/2024",1120,1,0.321,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-2","1","07/16/2024",1121,1,0.162,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-2","2","07/16/2024",1122,1,0.17,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-2","3","07/16/2024",1123,1,0.185,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-2","1","08/20/2024",1119,1,0.258,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-2","2","08/20/2024",1120,1,0.282,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-2","3","08/20/2024",1121,1,0.33,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-3","1","06/20/2024",1124,1,0.263,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-3","2","06/20/2024",1125,1,0.348,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-3","3","06/20/2024",1126,1,0.292,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-3","1","07/16/2024",1132,1,0.199,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-3","2","07/16/2024",1133,1,0.223,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-3","3","07/16/2024",1134,1,0.172,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-3","1","08/20/2024",1122,1,0.247,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-3","2","08/20/2024",1123,1,0.244,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-3","3","08/20/2024",1124,1,0.285,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-4","1","06/20/2024",1135,1,0.225,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-4","2","06/20/2024",1136,1,0.247,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-4","1","07/16/2024",1137,1,0.2,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","WF-4","2","07/16/2024",1138,1,0.192,"Result_Value(ug/L)",,,,,,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-4","1","08/20/2024",1125,1,0.202,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/08/2024","9:00:00 AM","EST","11/13/2024","10:34:00 AM","EST","Charlotte","WF-4","2","08/20/2024",1126,1,0.186,"Result_Value(ug/L)",,,,,,"Sample","TP11082024TP11132024",,"Florida Lakewatch","21FLKWAT"
