Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation Date,Preparation Time,Preparation Time Zone,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity Start Date,Activity Start Time,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value Qualifier,Result Comments,Result Value Type Name,Dilution
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/18/23,3:24:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-4,1,8/18/23,9:57:00 AM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,11/1/23,3:43:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-4,1,10/31/23,9:10:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/30/23,2:39:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-5,1,6/30/23,8:13:00 AM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/18/23,3:29:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-5,1,8/18/23,10:16:00 AM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,11/1/23,3:47:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-5,1,10/31/23,8:48:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/30/23,2:53:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-1,1,6/30/23,10:31:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/18/23,2:39:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-1,1,8/18/23,8:30:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,11/1/23,4:06:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-1,1,10/31/23,10:35:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/30/23,2:59:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-2,1,6/30/23,10:39:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/18/23,2:43:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-2,1,8/18/23,8:39:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,11/1/23,4:15:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-2,1,10/31/23,10:46:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/30/23,3:05:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-3,1,6/30/23,10:50:00 AM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/18/23,2:47:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-3,1,8/18/23,8:55:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,11/1/23,4:20:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Laird Bayou-3,1,10/31/23,11:04:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/16/23,8:11:00 AM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,1,5/15/23,8:25:00 AM,CDT,12,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/16/23,8:17:00 AM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,2,5/15/23,8:49:00 AM,CDT,15,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/16/23,8:22:00 AM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,3,5/15/23,8:06:00 AM,CDT,16,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/26/23,5:17:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,1,6/26/23,9:08:00 AM,CDT,4,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/26/23,5:21:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,2,6/26/23,9:26:00 AM,CDT,3,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/26/23,5:29:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,3,6/26/23,8:51:00 AM,CDT,3,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,7/17/23,1:00:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,1,7/17/23,7:01:00 AM,CDT,6,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,7/17/23,1:08:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,2,7/17/23,7:15:00 AM,CDT,6,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,7/17/23,1:15:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,3,7/17/23,6:46:00 AM,CDT,5,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/11/23,12:12:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,1,8/11/23,8:12:00 AM,CDT,7,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/11/23,12:17:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,2,8/11/23,8:35:00 AM,CDT,7,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/11/23,12:22:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,3,8/11/23,7:52:00 AM,CDT,5,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/21/23,12:31:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,1,9/21/23,7:23:00 AM,CDT,4,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/21/23,12:35:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,2,9/21/23,7:40:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/21/23,12:39:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,3,9/21/23,7:05:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/30/23,1:38:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,1,10/30/23,8:26:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/30/23,1:44:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,2,10/30/23,8:53:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/30/23,1:48:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Lullwater,3,10/30/23,8:06:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/5/23,3:26:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Martin-1,1,5/4/23,7:45:00 AM,CDT,3,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/8/23,10:35:00 AM,CDT,11/29/23,9:30:00 AM,EST,Bay,Martin-1,1,6/8/23,8:15:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,7/6/23,10:05:00 AM,CDT,11/29/23,9:30:00 AM,EST,Bay,Martin-1,1,7/6/23,7:50:00 AM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/2/23,11:33:00 AM,CDT,11/29/23,9:30:00 AM,EST,Bay,Martin-1,1,8/2/23,8:09:00 AM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/15/23,1:18:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,Martin-1,1,9/14/23,10:25:00 AM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/4/23,11:07:00 AM,CDT,11/29/23,9:30:00 AM,EST,Bay,Martin-1,1,10/4/23,7:50:00 AM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/26/23,3:20:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,North Bay-1,1,6/26/23,8:35:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/26/23,3:28:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,North Bay-2,1,6/26/23,9:24:00 AM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/26/23,3:48:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,North Bay-3,1,6/26/23,9:56:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/26/23,3:54:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,North Bay-4,1,6/26/23,10:10:00 AM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/29/23,4:39:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-1,1,6/29/23,10:58:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/23/23,1:56:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-1,1,8/23/23,10:47:00 AM,CDT,5,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/27/23,1:39:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-1,1,10/27/23,9:28:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/29/23,4:47:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-2,1,6/29/23,11:50:00 AM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/23/23,2:02:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-2,1,8/23/23,10:33:00 AM,CDT,4,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/27/23,1:43:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-2,1,10/27/23,9:47:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/29/23,4:52:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-3,1,6/29/23,12:09:00 PM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/23/23,2:07:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-3,1,8/23/23,10:08:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/27/23,1:46:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-3,1,10/27/23,10:03:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/29/23,5:03:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-4,1,6/29/23,12:43:00 PM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/23/23,2:11:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-4,1,8/23/23,9:26:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/27/23,1:50:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-4,1,10/27/23,10:46:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/29/23,5:08:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-5,1,6/29/23,12:57:00 PM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/23/23,2:20:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-5,1,8/23/23,9:07:00 AM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/27/23,1:58:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-5,1,10/27/23,11:02:00 AM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/29/23,5:15:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-12,1,6/29/23,11:18:00 AM,CDT,4,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/23/23,2:25:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-12,1,8/23/23,11:06:00 AM,CDT,4,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/27/23,2:03:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,West Bay-12,1,10/27/23,8:52:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/9/23,1:35:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,1,5/9/23,10:26:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/9/23,1:38:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,2,5/9/23,10:18:00 AM,CDT,5,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/9/23,1:41:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,3,5/9/23,10:10:00 AM,CDT,4,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/20/23,1:49:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,1,6/20/23,11:50:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/20/23,1:54:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,2,6/20/23,11:34:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/20/23,2:03:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,3,6/20/23,11:17:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,7/18/23,1:56:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,1,7/18/23,8:46:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,7/18/23,2:00:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,2,7/18/23,8:37:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,7/18/23,2:07:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,3,7/18/23,8:25:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/14/23,1:30:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,1,8/13/23,10:44:00 AM,CDT,4,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/14/23,1:36:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,2,8/13/23,10:34:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/14/23,1:46:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,3,8/13/23,10:25:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/15/23,1:27:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,1,9/14/23,10:12:00 AM,CDT,4,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/15/23,1:35:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,2,9/14/23,10:03:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/15/23,1:40:00 PM,CDT,11/30/23,9:30:00 AM,EST,Bay,Deer Point,3,9/14/23,9:50:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/18/23,2:52:00 PM,CDT,11/30/23,12:00:00 PM,EST,Bay,Deer Point,1,10/18/23,1:30:00 PM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/18/23,2:56:00 PM,CDT,11/30/23,12:00:00 PM,EST,Bay,Deer Point,2,10/18/23,1:20:00 PM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,10/18/23,3:00:00 PM,CDT,11/30/23,12:00:00 PM,EST,Bay,Deer Point,3,10/18/23,1:10:00 PM,CDT,1,ug/L,1,1,ug/L,U,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/24/23,11:51:00 AM,CDT,11/30/23,9:30:00 AM,EST,Bay,Marin,1,5/24/23,9:05:00 AM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/24/23,11:54:00 AM,CDT,11/30/23,9:30:00 AM,EST,Bay,Marin,2,5/24/23,9:14:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,5/24/23,11:56:00 AM,CDT,11/30/23,9:30:00 AM,EST,Bay,Marin,3,5/24/23,9:26:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
