Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Org_Result_Value,Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,LWID,Comments
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Goose,1,10/25/22,,,,295,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Goose,2,10/25/22,,,,292,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Goose,3,10/25/22,,,,288,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Ross,1,10/25/22,,,,473,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Ross,2,10/25/22,,,,464,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Ross,3,10/25/22,,,,473,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Rowan,1,10/25/22,,,,183,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Rowan,2,10/25/22,,,,183,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Rowan,3,10/25/22,,,,184,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Suggs,1,10/25/22,,,,255,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Suggs,2,10/25/22,,,,264,,,Q,,,,,,
11/14/22,9:34:00 AM,EST,11/14/22,10:50:00 AM,EST,Putnam,Suggs,3,10/25/22,,,,273,,,Q,,,,,,
10/4/22,9:30:00 AM,EDT,10/4/22,11:07:00 AM,EDT,Seminole,Horseshoe North,1,4/18/22,,,,87,,,Q,,,,,,
10/4/22,9:30:00 AM,EDT,10/4/22,11:07:00 AM,EDT,Seminole,Orienta 1,1,7/17/22,,,,18,,,Q,,,,,,
10/4/22,9:30:00 AM,EDT,10/4/22,11:07:00 AM,EDT,Seminole,Orienta 2,1,7/17/22,,,,17,,,Q,,,,,,
10/4/22,9:30:00 AM,EDT,10/4/22,11:07:00 AM,EDT,Seminole,Orienta East,1,7/17/22,,,,20,,,Q,,,,,,
10/4/22,9:30:00 AM,EDT,10/4/22,11:07:00 AM,EDT,Seminole,Orienta North,1,7/17/22,,,,16,,,Q,,,,,,
8/22/22,10:44:00 AM,EDT,8/22/22,1:16:00 PM,EDT,Volusia,Green Springs,1,7/8/22,,,,17,,,Q,,,,,,
8/22/22,10:44:00 AM,EDT,8/22/22,1:16:00 PM,EDT,Volusia,Green Springs,3,7/8/22,,,,8,,,Q,,,,,,
9/14/22,10:30:00 AM,EDT,9/14/22,12:34:00 PM,EDT,Walton,Deer,1,7/20/22,,,,114,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Alachua,Blues Creek-1,1,4/14/22,,,,26,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Alachua,Blues Creek-2,1,4/14/22,,,,293,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Alachua,Blues Creek-3,1,4/14/22,,,,308,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Alachua,Cellon Creek-1,1,4/13/22,,,,145,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Alachua,Cellon Creek-2,1,4/13/22,,,,98,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Alachua,Cellon Creek-3,1,4/13/22,,,,46,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Alachua,Cellon Creek-4,1,4/13/22,,,,77,,,Q,,,,,,
8/1/22,10:41:00 AM,EDT,8/1/22,1:00:00 PM,EDT,Alachua,Watermelon Pond,1,4/22/22,,,,21,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Alachua,Wauberg,1,4/2/22,,,,43,,,Q,,,,,,
7/1/22,3:00:00 PM,EDT,7/8/22,9:30:00 AM,EDT,Bay,Burnt Mill Upper-2,1,4/22/22,,,,69,,,Q,,,,,,
5/23/22,12:00:00 PM,EDT,5/23/22,1:15:00 PM,EDT,Charlotte,L-4,2,2/17/22,,,,95,,,Q,,,,,,
7/27/22,7:50:00 AM,EDT,7/27/22,10:06:00 AM,EDT,Charlotte,White Marsh Inflow,1,4/24/22,,,,44,,,Q,,,,,,
6/3/22,10:01:00 AM,EDT,6/3/22,11:14:00 AM,EDT,Columbia,Rum Island Spring-1,1,10/21/21,,,,3,,,Q,,,,,,
6/3/22,10:01:00 AM,EDT,6/3/22,11:14:00 AM,EDT,Gilchrist,Ginnie Spring Run-1,1,10/21/21,,,,1,,,QU,,,,,,
7/28/22,9:12:00 AM,EDT,7/28/22,10:45:00 AM,EDT,Gulf,Cattledip,1,1/10/22,,,,23,,,Q,,,,,,
7/28/22,9:12:00 AM,EDT,7/28/22,10:45:00 AM,EDT,Gulf,Pond Road,1,1/10/22,,,,39,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Highlands,Annie,1,4/13/22,,,,41,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Highlands,Apthorpe,1,4/15/22,,,,22,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Highlands,Arbuckle Creek-1,1,4/15/22,,,,76,,,Q,,,,,,
5/25/22,9:38:00 AM,EDT,5/25/22,12:05:00 PM,EDT,Highlands,Arbuckle Creek-2,1,1/25/22,,,,135,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Highlands,Arbuckle Creek-2,1,4/15/22,,,,85,,,Q,,,,,,
5/25/22,9:38:00 AM,EDT,5/25/22,12:05:00 PM,EDT,Highlands,Arbuckle Creek-3,1,1/26/22,,,,130,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Highlands,Arbuckle Creek-3,1,4/15/22,,,,77,,,Q,,,,,,
5/23/22,12:00:00 PM,EDT,5/23/22,1:15:00 PM,EDT,Hillsborough,Cypress Creek-122,1,1/26/22,,,,95,,,Q,,,,,,
5/23/22,12:00:00 PM,EDT,5/23/22,1:15:00 PM,EDT,Hillsborough,Cypress Creek-122,2,1/26/22,,,,101,,,Q,,,,,,
7/8/22,10:36:00 AM,EDT,7/8/22,12:22:00 PM,EDT,Hillsborough,Cypress Creek-122,1,4/19/22,,,,183,,,Q,,,,,,
7/8/22,10:36:00 AM,EDT,7/8/22,12:22:00 PM,EDT,Hillsborough,Cypress Creek-122,2,4/19/22,,,,173,,,Q,,,,,,
7/28/22,9:12:00 AM,EDT,7/28/22,10:45:00 AM,EDT,Hillsborough,Hog Island,1,4/23/22,,,,61,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Hillsborough,Michaela,1,4/14/22,,,,58,,,Q,,,,,,
5/23/22,12:00:00 PM,EDT,5/23/22,1:15:00 PM,EDT,Hillsborough,Rainbow,1,10/21/21,,,,35,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Hillsborough,Stearns,1,4/14/02,,,,64,,,Q,,,,,,
7/6/22,9:43:00 AM,EDT,7/6/22,12:12:00 PM,EDT,Lake,Woodward,1,4/15/22,,,,19,,,Q,,,,,,
7/1/22,3:00:00 PM,EDT,7/8/22,9:30:00 AM,EDT,Okaloosa,CBA Santa Rosa Sound-1,1,4/24/22,,,,9,,,Q,,,,,,
7/1/22,3:00:00 PM,EDT,7/8/22,9:30:00 AM,EDT,Okaloosa,CBA Santa Rosa Sound-2,1,4/24/22,,,,4,,,Q,,,,,,
7/1/22,3:00:00 PM,EDT,7/8/22,9:30:00 AM,EDT,Okaloosa,CBA Santa Rosa Sound-3,1,4/24/22,,,,5,,,Q,,,,,,
7/12/22,2:00:00 PM,EDT,7/12/22,3:00:00 PM,EDT,Orange,Hickorynut,1,4/26/22,,,,25,,,Q,,,,,,
7/12/22,2:00:00 PM,EDT,7/12/22,3:00:00 PM,EDT,Orange,Hickorynut South,1,4/26/22,,,,24,,,Q,,,,,,
7/12/22,2:00:00 PM,EDT,7/12/22,3:00:00 PM,EDT,Orange,Little Hickorynut,1,4/26/22,,,,27,,,Q,,,,,,
6/6/22,10:55:00 AM,EDT,6/6/22,1:15:00 PM,EDT,Orange,Lockhart,1,1/31/22,,,,15,,,Q,,,,,,
7/7/22,9:33:00 AM,EDT,7/7/22,12:07:00 PM,EDT,Polk,Fauna,1,4/13/22,,,,22,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Putnam,Rowan,1,5/26/22,,,,214,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Putnam,Rowan,2,5/26/22,,,,212,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Putnam,Rowan,3,5/26/22,,,,215,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Putnam,Suggs,1,5/26/22,,,,337,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Putnam,Suggs,2,5/26/22,,,,337,,,Q,,,,,,
7/5/22,9:28:00 AM,EDT,7/5/22,12:12:00 PM,EDT,Putnam,Suggs,3,5/26/22,,,,340,,,Q,,,,,,
7/27/22,7:50:00 AM,EDT,7/27/22,10:06:00 AM,EDT,Putnam,Suggs,3,6/29/22,,,,295,,,Q,,,,,,
5/25/22,9:38:00 AM,EDT,5/25/22,12:05:00 PM,EDT,Sarasota,Upper Myakka,1,1/24/22,,,,65,,,Q,,,,,,
5/9/22,12:00:00 PM,EDT,5/9/22,1:30:00 PM,EDT,Seminole,Pearl 2,1,1/28/22,,,,15,,,Q,,,,,,
5/9/22,12:00:00 PM,EDT,5/9/22,1:30:00 PM,EDT,Seminole,Rock,1,1/3/22,,,,27,,,Q,,,,,,
5/25/22,9:38:00 AM,EDT,5/25/22,12:05:00 PM,EDT,Walton,Allen,1,1/17/22,,,,198,,,Q,,,,,,
5/25/22,9:38:00 AM,EDT,5/25/22,12:05:00 PM,EDT,Walton,Big Red Fish,1,1/24/22,,,,58,,,Q,,,,,,
2/21/22,10:47:00 AM,EST,2/21/22,12:49:00 PM,EST,Bay,St. Andrew Bay-1,1,10/26/21,,,,67,,,Q,,,,,,
2/21/22,10:47:00 AM,EST,2/21/22,12:49:00 PM,EST,Bay,St. Andrew Bay-2,1,10/26/21,,,,59,,,Q,,,,,,
2/21/22,10:47:00 AM,EST,2/21/22,12:49:00 PM,EST,Bay,St. Andrew Bay-3,1,10/26/21,,,,74,,,Q,,,,,,
2/21/22,10:47:00 AM,EST,2/21/22,12:49:00 PM,EST,Bay,St. Andrew Bay-6,1,10/26/21,,,,45,,,Q,,,,,,
2/21/22,10:47:00 AM,EST,2/21/22,12:49:00 PM,EST,Bay,St. Andrew Bay-7,1,10/26/21,,,,44,,,Q,,,,,,
2/21/22,10:47:00 AM,EST,2/21/22,12:49:00 PM,EST,Bay,St. Andrew Bay-12,1,10/26/21,,,,52,,,Q,,,,,,
2/21/22,10:47:00 AM,EST,2/21/22,12:49:00 PM,EST,Bay,West Bay-12,1,10/8/21,,,,74,,,Q,,,,,,
2/22/22,11:38:00 AM,EST,2/22/22,1:27:00 PM,EST,Collier,Harveys,1,10/24/21,,,,56,,,Q,,,,,,
2/22/22,11:38:00 AM,EST,2/22/22,1:27:00 PM,EST,Volusia,North Talmadge,1,10/19/21,,,,143,,,Q,,,,,,
2/23/22,1:00:00 PM,EST,2/23/22,2:45:00 PM,EST,Monroe,Stock Island-1,1,10/13/21,,,,9,,,Q,,,,,,
2/23/22,1:00:00 PM,EST,2/23/22,2:45:00 PM,EST,Monroe,Stock Island-2,1,10/13/21,,,,4,,,Q,,,,,,
2/23/22,1:00:00 PM,EST,2/23/22,2:45:00 PM,EST,Monroe,Stock Island-3,1,10/13/21,,,,3,,,Q,,,,,,
2/23/22,1:00:00 PM,EST,2/23/22,2:45:00 PM,EST,Monroe,Stock Island-4,1,10/13/21,,,,3,,,Q,,,,,,
2/23/22,1:00:00 PM,EST,2/23/22,2:45:00 PM,EST,Osceola,Alligator,1,10/14/21,,,,59,,,Q,,,,,,
3/2/22,1:30:00 PM,EST,3/2/22,2:45:00 PM,EST,Hillsborough,Cypress Creek-122,1,10/28/21,,,,172,,,Q,,,,,,
3/2/22,1:30:00 PM,EST,3/2/22,2:45:00 PM,EST,Hillsborough,Cypress Creek-122,2,10/28/21,,,,164,,,Q,,,,,,
3/2/22,1:30:00 PM,EST,3/2/22,2:45:00 PM,EST,Lake,Fish,1,10/8/21,,,,38,,,Q,,,,,,
3/21/22,11:34:00 AM,EDT,3/21/22,1:51:00 PM,EDT,Okaloosa,CBA Ft. Walton Beach-4,1,10/21/21,,,,18,,,Q,,,,,,
3/21/22,11:34:00 AM,EDT,3/21/22,1:51:00 PM,EDT,Okaloosa,CBA Ft. Walton Beach-5,1,10/21/21,,,,18,,,Q,,,,,,
3/21/22,11:34:00 AM,EDT,3/21/22,1:51:00 PM,EDT,Okaloosa,CBA Ft. Walton Beach-6,1,10/21/21,,,,21,,,Q,,,,,,
3/22/22,11:32:00 AM,EDT,3/22/22,2:06:00 PM,EDT,Bradford,Rowell,3,1/15/22,,,,60,,,Q,,,,,,
4/12/22,9:44:00 AM,EDT,4/12/22,11:36:00 AM,EDT,Orange,Hickorynut,1,1/25/22,,,,29,,,Q,,,,,,
4/12/22,9:44:00 AM,EDT,4/12/22,11:36:00 AM,EDT,Orange,Hickorynut South,1,1/25/22,,,,23,,,Q,,,,,,
4/12/22,9:44:00 AM,EDT,4/12/22,11:36:00 AM,EDT,Orange,Little Hickorynut,1,1/25/22,,,,34,,,Q,,,,,,
8/16/23,1:30:00 PM,EDT,8/17/23,10:00:00 AM,EDT,Charlotte,White Marsh Inflow,1,4/21/23,,,,42,,,Q,,,,,,
8/16/23,1:30:00 PM,EDT,8/17/23,10:00:00 AM,EDT,Collier,Islandwalk,1,4/7/23,,,,21,,,Q,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,10/19/22,,,,0,,,QTI,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,4/12/23,,,,0,,,QTI,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,7/6/23,,,,1,,,QU,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-2,1,10/19/22,,,,0,,,QTI,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-2,1,4/12/23,,,,5,,,Q,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-2,1,7/6/23,,,,2,,,Q,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,10/19/22,,,,0,,,QTI,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,4/12/23,,,,2,,,Q,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,7/6/23,,,,5,,,Q,,,,,,
9/20/23,10:09:00 AM,EDT,9/20/23,11:24:00 AM,EDT,Hillsborough,Cypress Creek-122,1,7/24/23,,,,116,,,Q,,,,,,
9/20/23,10:09:00 AM,EDT,9/20/23,11:24:00 AM,EDT,Hillsborough,Cypress Creek-122,2,7/24/23,,,,111,,,Q,,,,,,
8/31/23,9:45:00 AM,EDT,8/31/23,12:00:00 PM,EDT,Pinellas,Crescent,1,7/29/23,,,,18,,,Q,,,,,,
10/25/23,10:00:00 AM,EDT,10/25/23,12:21:00 PM,EDT,Putnam,Annie,1,7/16/23,,,,11,,,Q,,,,,,
10/24/23,9:31:00 AM,EDT,10/24/23,9:31:00 AM,EDT,Sarasota,Uplands,1,7/30/23,,,,144,,,Q,,,,,,
8/1/23,2:30:00 PM,EDT,8/2/23,9:45:00 AM,EDT,Seminole,Horseshoe North,1,4/5/23,,,,167,,,Q,,,,,,
10/31/23,9:26:00 AM,EDT,10/31/23,10:59:00 AM,EDT,Seminole,Mary,1,7/15/23,,,,32,,,Q,,,,,,
6/12/24,12:00:00 AM,EDT,6/12/24,12:00:00 AM,EDT,Alachua,Blues Creek-1,1,4/15/24,EST,,,22,,,Q,,,,,,
6/12/24,12:00:00 AM,EDT,6/12/24,12:00:00 AM,EDT,Alachua,Blues Creek-2,1,4/15/24,EST,,,320,,,Q,,,,,,
6/12/24,12:00:00 AM,EDT,6/12/24,12:00:00 AM,EDT,Alachua,Blues Creek-3,1,4/15/24,EST,,,352,,,Q,,,,,,
6/12/24,12:00:00 AM,EDT,6/12/24,12:00:00 AM,EDT,Alachua,Cellon Creek-1,1,4/15/24,EST,,,103,,,Q,,,,,,
6/12/24,12:00:00 AM,EDT,6/12/24,12:00:00 AM,EDT,Alachua,Cellon Creek-2,1,4/15/24,EST,,,75,,,Q,,,,,,
6/12/24,12:00:00 AM,EDT,6/12/24,12:00:00 AM,EDT,Alachua,Cellon Creek-3,1,4/15/24,EST,,,47,,,Q,,,,,,
6/12/24,12:00:00 AM,EDT,6/12/24,12:00:00 AM,EDT,Alachua,Cellon Creek-4,1,4/15/24,EST,,,44,,,Q,,,,,,
4/4/24,10:18:00 AM,EDT,4/4/24,12:42:00 PM,EDT,Alachua,Elizabeth,1,1/28/24,EST,,,121,,,Q,,,,,,
7/18/24,10:17:00 AM,EDT,7/18/24,12:34:00 PM,EDT,Alachua,Elizabeth,1,4/30/24,EST,,,113,,,Q,,,,,,
7/12/24,8:56:00 AM,EDT,7/12/24,7:51:00 AM,EDT,Alachua,Hogtown Creek-1,1,4/1/24,EST,,,40,,,Q,,,,,,
7/12/24,8:56:00 AM,EDT,7/12/24,7:51:00 AM,EDT,Alachua,Hogtown Creek-2,1,4/1/24,EST,,,42,,,Q,,,,,,
7/18/24,10:17:00 AM,EDT,7/18/24,12:34:00 PM,EDT,Alachua,Jeffords,1,4/20/24,EST,,,89,,,Q,,,,,,
6/12/24,12:00:00 AM,EDT,6/12/24,12:00:00 AM,EDT,Alachua,Kingswood,1,4/26/24,EST,,,150,,,Q,,,,,,
7/10/24,10:33:00 AM,EDT,7/10/24,12:46:00 PM,EDT,Bay,East Bay-4,1,4/25/24,CST,,,50,,,Q,,,,,,
7/10/24,10:33:00 AM,EDT,7/10/24,12:46:00 PM,EDT,Bay,East Bay-5,1,4/25/24,CST,,,44,,,Q,,,,,,
7/12/24,8:56:00 AM,EDT,7/12/24,7:51:00 AM,EDT,Brevard,Washington,1,4/24/24,EST,,,132,,,Q,,,,,,
4/19/24,9:46:00 AM,EDT,4/19/24,11:46:00 AM,EDT,Charlotte,White Marsh Inflow,1,1/30/24,EST,,,42,,,Q,,,,,,
7/11/24,9:46:00 AM,EDT,7/11/24,11:39:00 AM,EDT,Citrus,Crystal River-1,1,4/30/24,EST,,,14,,,Q,,,,,,
7/11/24,9:46:00 AM,EDT,7/11/24,11:39:00 AM,EDT,Citrus,Crystal River-3,1,4/24/24,EST,,,11,,,Q,,,,,,
7/11/24,9:46:00 AM,EDT,7/11/24,11:39:00 AM,EDT,Citrus,Crystal River-6,1,4/23/24,EST,,,10,,,Q,,,,,,
7/11/24,9:46:00 AM,EDT,7/11/24,11:39:00 AM,EDT,Citrus,Crystal River-7,1,4/30/24,EST,,,10,,,Q,,,,,,
4/5/24,12:30:00 AM,EDT,4/8/24,11:50:00 AM,EDT,Clay,Johnson,1,1/19/24,EST,,,12,,,Q,,,,,,
4/19/24,9:46:00 AM,EDT,4/19/24,11:46:00 AM,EDT,Collier,Seacrest 1,1,1/15/24,EST,,,8,,,Q,,,,,,
3/19/24,9:30:00 AM,EDT,3/19/24,10:44:00 AM,EDT,Columbia,Jeffery,1,10/27/23,EST,,,52,,,Q,,,,,,
5/22/24,9:06:00 AM,EDT,5/22/24,10:53:00 AM,EDT,Gulf,Cattledip,1,7/7/22,EST,,,169,,,Q,,,,,,
5/22/24,9:06:00 AM,EDT,5/22/24,10:53:00 AM,EDT,Gulf,Cattledip,1,1/11/23,EST,,,79,,,Q,,,,,,
