Total_Depth,Total_Depth_Unit,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity_Time_Zone,Org_Result_Value,Org_Result_Unit,Result_Comments,WIN_Value_Qualifier,Data_Category,Run_ID,Study,Comments
13.8,ft,Collier,Saddlebrook,1,07/30/2025,10:40:00 AM,EST,8.5,ft,,,Sample,SECCHI10142025,,
9.8,ft,Collier,Saddlebrook,2,07/30/2025,10:50:00 AM,EST,7,ft,,,Sample,SECCHI10142025,,
15.3,ft,Collier,Saddlebrook,3,07/30/2025,10:57:00 AM,EST,8.5,ft,,,Sample,SECCHI10142025,,
14,ft,Collier,SB-61,1,08/25/2025,08:09:59 AM,EST,4,ft,,,Sample,SECCHI10142025,,
14,ft,Collier,SB-61,2,08/25/2025,08:15:00 AM,EST,4,ft,,,Sample,SECCHI10142025,,
23,ft,Miami-Dade,E,1,08/17/2025,08:44:59 AM,EST,15,ft,,,Sample,SECCHI10142025,,
27.5,ft,Miami-Dade,E,2,08/17/2025,08:40:00 AM,EST,15,ft,,,Sample,SECCHI10142025,,
,ft,,,CCV1,,,,,ft,,,QAQC,SECCHI10142025,,
,ft,,,MLBK2,,,,,ft,,,QAQC,SECCHI10142025,,
33,ft,Miami-Dade,E,3,08/17/2025,08:32:00 AM,EST,14,ft,,,Sample,SECCHI10142025,,
12,ft,Miami-Dade,Lakeridge,1,04/08/2025,09:20:00 AM,EST,12,ft,,S,Sample,SECCHI10142025,,
12,ft,Miami-Dade,Lakeridge,2,04/08/2025,09:15:00 AM,EST,12,ft,,S,Sample,SECCHI10142025,,
14.3,ft,Miami-Dade,Lakeridge,3,04/08/2025,09:10:00 AM,EST,12,ft,,,Sample,SECCHI10142025,,
12.3,ft,Miami-Dade,Lakeridge,1,08/26/2025,09:10:00 AM,EST,8.8,ft,,,Sample,SECCHI10142025,,
14.5,ft,Miami-Dade,Lakeridge,2,08/26/2025,09:05:00 AM,EST,8.5,ft,,,Sample,SECCHI10142025,,
15.8,ft,Miami-Dade,Lakeridge,3,08/26/2025,09:00:00 AM,EST,7.8,ft,,,Sample,SECCHI10142025,,
15,ft,Miami-Dade,Oakland,1,07/14/2025,12:28:00 PM,EST,12.8,ft,,,Sample,SECCHI10142025,,
16,ft,Miami-Dade,Oakland,2,07/14/2025,12:34:00 PM,EST,13,ft,,,Sample,SECCHI10142025,,
12,ft,Miami-Dade,Oakland,3,07/14/2025,12:42:00 PM,EST,12,ft,,S,Sample,SECCHI10142025,,
15,ft,Miami-Dade,Oakland,1,08/10/2025,12:29:00 PM,EST,14,ft,,,Sample,SECCHI10142025,,
15,ft,Miami-Dade,Oakland,2,08/10/2025,12:38:00 PM,EST,13.3,ft,,,Sample,SECCHI10142025,,
12,ft,Miami-Dade,Oakland,3,08/10/2025,12:45:00 PM,EST,12,ft,,S,Sample,SECCHI10142025,,
14.5,ft,Miami-Dade,Oakland,1,09/03/2025,11:20:00 AM,EST,13,ft,,,Sample,SECCHI10142025,,
14.5,ft,Miami-Dade,Oakland,2,09/03/2025,11:28:00 AM,EST,12,ft,,,Sample,SECCHI10142025,,
12.5,ft,Miami-Dade,Oakland,3,09/03/2025,11:35:59 AM,EST,11.5,ft,,,Sample,SECCHI10142025,,
5.5,ft,Palm Beach,Green Cay,1,06/27/2025,09:50:00 AM,EST,2.3,ft,,,Sample,SECCHI10142025,,
5.8,ft,Palm Beach,Green Cay,2,06/27/2025,09:58:00 AM,EST,2.8,ft,,,Sample,SECCHI10142025,,
5.5,ft,Palm Beach,Green Cay,3,06/27/2025,10:04:00 AM,EST,2.8,ft,,,Sample,SECCHI10142025,,
5.3,ft,Palm Beach,Green Cay,1,07/23/2025,09:45:00 AM,EST,1.8,ft,,,Sample,SECCHI10142025,,
,ft,,,CCV2,,,,,ft,,,QAQC,SECCHI10142025,,
,ft,,,MLBK3,,,,,ft,,,QAQC,SECCHI10142025,,
5,ft,Palm Beach,Green Cay,2,07/23/2025,09:51:00 AM,EST,2,ft,,,Sample,SECCHI10142025,,
5.8,ft,Palm Beach,Green Cay,3,07/23/2025,09:58:00 AM,EST,2,ft,,,Sample,SECCHI10142025,,
5.3,ft,Palm Beach,Green Cay,1,08/21/2025,09:39:59 AM,EST,2.3,ft,,,Sample,SECCHI10142025,,
5.3,ft,Palm Beach,Green Cay,2,08/21/2025,09:50:00 AM,EST,2.5,ft,,,Sample,SECCHI10142025,,
5.3,ft,Palm Beach,Green Cay,3,08/21/2025,09:58:00 AM,EST,2.3,ft,,,Sample,SECCHI10142025,,
5.5,m,Palm Beach,Loxahatchee River-10,1,08/12/2025,09:52:00 AM,EST,5.5,m,,S,Sample,SECCHI10142025,,
3,m,Palm Beach,Loxahatchee River-62,1,08/12/2025,10:57:00 AM,EST,1.6,m,,,Sample,SECCHI10142025,,
0.3,m,Palm Beach,Loxahatchee River-69,1,08/12/2025,10:14:00 AM,EST,0.3,m,,S,Sample,SECCHI10142025,,
1.6,m,Palm Beach,Loxahatchee River-72,1,08/12/2025,10:16:00 AM,EST,1.4,m,,,Sample,SECCHI10142025,,
11,ft,Palm Beach,Westwood,1,06/30/2025,10:00:00 AM,EST,4,ft,,,Sample,SECCHI10142025,,
12,ft,Palm Beach,Westwood,2,06/30/2025,10:30:00 AM,EST,4,ft,,,Sample,SECCHI10142025,,
11.5,ft,Palm Beach,Westwood,3,06/30/2025,10:59:59 AM,EST,4,ft,,,Sample,SECCHI10142025,,
12.5,ft,Palm Beach,Westwood,1,07/30/2025,09:00:00 AM,EST,5.5,ft,,,Sample,SECCHI10142025,,
13.5,ft,Palm Beach,Westwood,2,07/30/2025,09:29:59 AM,EST,5.5,ft,,,Sample,SECCHI10142025,,
12.5,ft,Palm Beach,Westwood,3,07/30/2025,10:00:00 AM,EST,5.5,ft,,,Sample,SECCHI10142025,,
11.5,ft,Palm Beach,Westwood,1,08/31/2025,10:30:00 AM,EST,5,ft,,,Sample,SECCHI10142025,,
12.5,ft,Palm Beach,Westwood,2,08/31/2025,10:59:59 AM,EST,5,ft,,,Sample,SECCHI10142025,,
12,ft,Palm Beach,Westwood,3,08/31/2025,11:30:00 AM,EST,5,ft,,,Sample,SECCHI10142025,,
4,ft,St Lucie,Phillip,1,08/12/2025,08:13:00 AM,EST,3.3,ft,,,Sample,SECCHI10142025,,
3.5,ft,St Lucie,Phillip,2,08/12/2025,08:17:00 AM,EST,3.5,ft,,S,Sample,SECCHI10142025,,
,ft,,,CCV3,,,,,ft,,,QAQC,SECCHI10142025,,
,ft,,,MLBK4,,,,,ft,,,QAQC,SECCHI10142025,,
3.5,ft,St Lucie,Phillip,3,08/12/2025,08:20:00 AM,EST,3.5,ft,,S,Sample,SECCHI10142025,,
3.8,ft,St Lucie,Phillip,1,09/06/2025,08:12:00 AM,EST,3.8,ft,,S,Sample,SECCHI10142025,,
3.3,ft,St Lucie,Phillip,2,09/06/2025,08:15:00 AM,EST,3.3,ft,,S,Sample,SECCHI10142025,,
3.3,ft,St Lucie,Phillip,3,09/06/2025,08:18:00 AM,EST,3.3,ft,,S,Sample,SECCHI10142025,,
,ft,,,CCV4,,,,,ft,,,Sample,SECCHI10142025,,
,ft,,,CCV4,,,,,ft,,,QAQC,SECCHI10142025,,
,ft,,,MLBK5,,,,,ft,,,QAQC,SECCHI10142025,,
,ft,,,CCV5,,,,,ft,,,Sample,SECCHI10142025,,
,ft,,,MBLK1,,,,,ft,,,QAQC,SECCHI09302025,,
13,ft,Hillsborough,Carroll,1,07/02/2025,10:12:59 AM,EST,10,ft,,,Sample,SECCHI09302025,,
15,ft,Hillsborough,Carroll,2,07/02/2025,10:23:00 AM,EST,10.5,ft,,,Sample,SECCHI09302025,,
18,ft,Hillsborough,Carroll,3,07/02/2025,10:34:00 AM,EST,10.5,ft,,,Sample,SECCHI09302025,,
13.5,ft,Hillsborough,Carroll,1,07/02/2025,10:12:59 AM,EST,11,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
16,ft,Hillsborough,Carroll,2,07/02/2025,10:23:00 AM,EST,10,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
18,ft,Hillsborough,Carroll,3,07/02/2025,10:34:00 AM,EST,10,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
13.3,ft,Hillsborough,Cooper,1,08/08/2025,09:49:00 AM,EST,5,ft,,,Sample,SECCHI09302025,,
18,ft,Hillsborough,Cooper,2,08/08/2025,09:56:00 AM,EST,5,ft,,,Sample,SECCHI09302025,,
16,ft,Hillsborough,Cooper,3,08/08/2025,10:14:00 AM,EST,5,ft,,,Sample,SECCHI09302025,,
14.5,ft,Hillsborough,Cooper,1,08/08/2025,09:50:00 AM,EST,4.5,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
19,ft,Hillsborough,Cooper,2,08/08/2025,09:57:00 AM,EST,4.5,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
17,ft,Hillsborough,Cooper,3,08/08/2025,10:05:00 AM,EST,4.5,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
9.5,ft,Hillsborough,Dead Lady,1,07/09/2025,09:05:00 AM,EST,5.5,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
9,ft,Hillsborough,Dead Lady,2,07/09/2025,09:13:00 AM,EST,6,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
9,ft,Hillsborough,Dead Lady,3,07/09/2025,09:24:00 AM,EST,6,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
18,ft,Hillsborough,Keystone,1,08/05/2025,11:37:00 AM,EST,4,ft,,,Sample,SECCHI09302025,,
13,ft,Hillsborough,Keystone,2,08/05/2025,11:44:00 AM,EST,5.5,ft,,,Sample,SECCHI09302025,,
15,ft,Hillsborough,Keystone,3,08/05/2025,11:51:00 AM,EST,5.5,ft,,,Sample,SECCHI09302025,,
18,ft,Hillsborough,Keystone,1,08/05/2025,11:37:00 AM,EST,4.5,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
13,ft,Hillsborough,Keystone,2,08/05/2025,11:44:00 AM,EST,6,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
,ft,,,CCV1,,,,,ft,,,QAQC,SECCHI09302025,,
,ft,,,MLBK2,,,,,ft,,,QAQC,SECCHI09302025,,
16,ft,Hillsborough,Keystone,3,08/05/2025,11:50:00 AM,EST,6,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
14,ft,Hillsborough,Twin,1,07/22/2025,10:02:00 AM,EST,6,ft,,,Sample,SECCHI09302025,,
14,ft,Hillsborough,Twin,2,07/22/2025,09:55:00 AM,EST,5.8,ft,,,Sample,SECCHI09302025,,
13,ft,Hillsborough,Twin,3,07/22/2025,09:47:00 AM,EST,5.8,ft,,,Sample,SECCHI09302025,,
13,ft,Hillsborough,Twin,1,07/22/2025,10:00:00 AM,EST,6.5,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
13,ft,Hillsborough,Twin,2,07/22/2025,09:54:00 AM,EST,6,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
12.8,ft,Hillsborough,Twin,3,07/22/2025,09:47:00 AM,EST,7,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
18,ft,Pasco,Jovita,1,07/18/2025,11:17:00 AM,EST,5,ft,,,Sample,SECCHI09302025,,
16,ft,Pasco,Jovita,2,07/18/2025,11:25:00 AM,EST,5,ft,,,Sample,SECCHI09302025,,
16,ft,Pasco,Jovita,3,07/18/2025,11:34:00 AM,EST,5,ft,,,Sample,SECCHI09302025,,
18.5,ft,Pasco,Jovita,1,07/18/2025,11:17:00 AM,EST,5.3,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
16,ft,Pasco,Jovita,2,07/18/2025,11:25:00 AM,EST,5.5,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
16,ft,Pasco,Jovita,3,07/18/2025,11:37:00 AM,EST,5.5,ft,,,Sample,SECCHI09302025,Hillsborough Comparison,Lakewatch coordinator
12.5,ft,Clay,Fox Valley,1,04/11/2025,02:52:00 PM,EST,9,ft,,,Sample,SECCHI09302025,,
10.8,ft,Clay,Fox Valley,2,04/11/2025,02:40:00 PM,EST,10.8,ft,,S,Sample,SECCHI09302025,,
13,ft,Clay,Fox Valley,1,05/17/2025,09:07:00 AM,EST,12,ft,,,Sample,SECCHI09302025,,
14,ft,Clay,Fox Valley,2,05/17/2025,09:18:00 AM,EST,10,ft,,,Sample,SECCHI09302025,,
6.5,ft,Flagler,Cheyenne Cove,1,05/23/2025,09:36:00 AM,EST,3.5,ft,,,Sample,SECCHI09302025,,
7.5,ft,Flagler,Cheyenne Cove,2,05/23/2025,09:49:00 AM,EST,3.5,ft,,,Sample,SECCHI09302025,,
6.5,ft,Flagler,Cheyenne Cove,3,05/23/2025,09:54:00 AM,EST,3.5,ft,,,Sample,SECCHI09302025,,
,ft,,,CCV2,,,,,ft,,,QAQC,SECCHI09302025,,
,ft,,,MLBK3,,,,,ft,,,QAQC,SECCHI09302025,,
6.5,ft,Flagler,Cheyenne Cove,1,06/26/2025,01:41:00 PM,EST,3.5,ft,,,Sample,SECCHI09302025,,
7.5,ft,Flagler,Cheyenne Cove,2,06/26/2025,01:49:59 PM,EST,3.5,ft,,,Sample,SECCHI09302025,,
6.5,ft,Flagler,Cheyenne Cove,3,06/26/2025,01:54:00 PM,EST,3.5,ft,,,Sample,SECCHI09302025,,
6.5,ft,Flagler,Cheyenne Cove,1,07/21/2025,10:10:00 AM,EST,2.8,ft,,,Sample,SECCHI09302025,,
6.8,ft,Flagler,Cheyenne Cove,2,07/21/2025,10:17:00 AM,EST,2.8,ft,,,Sample,SECCHI09302025,,
6.3,ft,Flagler,Cheyenne Cove,3,07/21/2025,10:22:00 AM,EST,2.8,ft,,,Sample,SECCHI09302025,,
14,ft,Flagler,Disston,1,07/04/2025,12:40:00 PM,EST,1.5,ft,,,Sample,SECCHI09302025,,
14.5,ft,Flagler,Disston,2,07/04/2025,12:50:00 PM,EST,1.5,ft,,,Sample,SECCHI09302025,,
11,ft,Flagler,Disston,3,07/04/2025,12:59:59 PM,EST,1.5,ft,,,Sample,SECCHI09302025,,
9,ft,Seminole,Cub,1,05/27/2025,02:10:00 PM,EST,8,ft,,,Sample,SECCHI09302025,,
11.3,ft,Seminole,Cub,2,05/27/2025,02:17:00 PM,EST,8,ft,,,Sample,SECCHI09302025,,
13.8,ft,Seminole,Cub,3,05/27/2025,02:22:00 PM,EST,7.5,ft,,,Sample,SECCHI09302025,,
11.5,ft,Seminole,Cub,1,06/30/2025,04:01:00 PM,EST,7.5,ft,,,Sample,SECCHI09302025,,
12.5,ft,Seminole,Cub,2,06/30/2025,04:10:00 PM,EST,8,ft,,,Sample,SECCHI09302025,,
11.3,ft,Seminole,Cub,3,06/30/2025,04:22:00 PM,EST,8.5,ft,,,Sample,SECCHI09302025,,
16,ft,Seminole,Little Bear,1,06/30/2025,10:00:00 AM,EST,11.5,ft,,,Sample,SECCHI09302025,,
13,ft,Seminole,Little Bear,2,06/30/2025,10:14:59 AM,EST,10.5,ft,,,Sample,SECCHI09302025,,
16,ft,Seminole,Little Bear,3,06/30/2025,10:30:00 AM,EST,10.5,ft,,,Sample,SECCHI09302025,,
4.5,ft,Seminole,Wekiva,1,06/24/2025,10:45:00 AM,EST,4.5,ft,,S,Sample,SECCHI09302025,,
9.5,ft,Seminole,Wekiva,2,06/24/2025,10:40:00 AM,EST,9.5,ft,,S,Sample,SECCHI09302025,,
,ft,,,CCV3,,,,,ft,,,QAQC,SECCHI09302025,,
,ft,,,MLBK4,,,,,ft,,,QAQC,SECCHI09302025,,
14.8,ft,Seminole,Wekiva,3,06/24/2025,10:35:00 AM,EST,12.5,ft,,,Sample,SECCHI09302025,,
11.3,ft,Seminole,Crescent,1,06/14/2025,01:05:59 PM,EST,5.5,ft,,,Sample,SECCHI09302025,,
12.3,ft,Seminole,Crescent,2,06/14/2025,01:08:00 PM,EST,6,ft,,,Sample,SECCHI09302025,,
13.3,ft,Seminole,Crescent,3,06/14/2025,01:12:00 PM,EST,6.3,ft,,,Sample,SECCHI09302025,,
,ft,,,CCV4,,,,,ft,,,Sample,SECCHI09302025,,
,ft,,,CCV4,,,,,ft,,,QAQC,SECCHI09302025,,
,ft,,,MLBK5,,,,,ft,,,QAQC,SECCHI09302025,,
,ft,,,CCV5,,,,,ft,,,Sample,SECCHI09302025,,
7,ft,Alachua,Jeffords,1,06/23/2025,08:30:00 AM,EST,2,ft,,,Sample,SECCHI09302025,,
8.3,ft,Alachua,Jeffords,2,06/23/2025,08:40:00 AM,EST,2,ft,,,Sample,SECCHI09302025,,
5.3,ft,Alachua,Jeffords,3,06/23/2025,08:50:00 AM,EST,2.3,ft,,,Sample,SECCHI09302025,,
12.5,ft,Alachua,Wauberg,1,07/20/2025,09:46:00 AM,EST,2.3,ft,,,Sample,SECCHI09302025,,
14,ft,Alachua,Wauberg,2,07/20/2025,09:53:00 AM,EST,3,ft,,,Sample,SECCHI09302025,,
14,ft,Alachua,Wauberg,3,07/20/2025,09:59:00 AM,EST,3,ft,,,Sample,SECCHI09302025,,
13,ft,Seminole,Brantley,1,06/20/2025,10:00:00 AM,EST,11,ft,,,Sample,SECCHI09302025,,
13,ft,Seminole,Brantley,2,06/20/2025,10:10:00 AM,EST,11,ft,,,Sample,SECCHI09302025,,
16,ft,Seminole,Brantley,3,06/20/2025,10:20:00 AM,EST,12,ft,,,Sample,SECCHI09302025,,
14,ft,Seminole,Brantley,1,07/20/2025,09:00:00 AM,EST,13,ft,,,Sample,SECCHI09302025,,
18,ft,Seminole,Brantley,2,07/20/2025,09:00:00 AM,EST,15,ft,,,Sample,SECCHI09302025,,
15,ft,Seminole,Brantley,3,07/20/2025,09:00:00 AM,EST,13,ft,,,Sample,SECCHI09302025,,
9,ft,Seminole,Clear,1,07/24/2025,07:48:00 AM,EST,3.5,ft,,,Sample,SECCHI09302025,,
14.3,ft,Seminole,Clear,2,07/24/2025,08:09:59 AM,EST,4,ft,,,Sample,SECCHI09302025,,
8.8,ft,Seminole,Clear,3,07/24/2025,08:21:00 AM,EST,3.3,ft,,,Sample,SECCHI09302025,,
9,ft,Seminole,Clear,1,08/19/2025,09:01:00 AM,EST,4,ft,,,Sample,SECCHI09302025,,
14.3,ft,Seminole,Clear,2,08/19/2025,09:15:00 AM,EST,3.8,ft,,,Sample,SECCHI09302025,,
9.5,ft,Seminole,Clear,3,08/19/2025,09:37:00 AM,EST,4,ft,,,Sample,SECCHI09302025,,
11.3,ft,Seminole,Crescent,1,04/26/2025,11:15:00 AM,EST,6.3,ft,,,Sample,SECCHI09302025,,
7.5,ft,Seminole,Crescent,2,04/26/2025,11:19:00 AM,EST,6,ft,,,Sample,SECCHI09302025,,
13.5,ft,Seminole,Crescent,3,04/26/2025,11:23:00 AM,EST,6.3,ft,,,Sample,SECCHI09302025,,
11.5,ft,Seminole,Crystal Bowl,1,07/30/2025,03:05:00 PM,EST,8.8,ft,,,Sample,SECCHI09302025,,
15.5,ft,Seminole,Crystal Bowl,2,07/30/2025,03:14:59 PM,EST,8.8,ft,,,Sample,SECCHI09302025,,
10,ft,Seminole,Cub,1,04/30/2025,06:02:00 AM,EST,8,ft,,,Sample,SECCHI09302025,,
12,ft,Seminole,Cub,2,04/30/2025,06:09:59 AM,EST,8.5,ft,,,Sample,SECCHI09302025,,
11.5,ft,Seminole,Cub,3,04/30/2025,06:16:00 AM,EST,7.5,ft,,,Sample,SECCHI09302025,,
15.5,ft,Seminole,East,1,08/13/2025,10:45:00 AM,EST,2.5,ft,,,Sample,SECCHI09302025,,
16,ft,Seminole,East,2,08/13/2025,10:54:00 AM,EST,3,ft,,,Sample,SECCHI09302025,,
15.5,ft,Seminole,East,3,08/13/2025,10:59:59 AM,EST,2.5,ft,,,Sample,SECCHI09302025,,
10,ft,Seminole,Horseshoe North,1,05/24/2025,,EST,4,ft,,,Sample,SECCHI09302025,,
12,ft,Seminole,Horseshoe North,2,05/24/2025,,EST,4,ft,,,Sample,SECCHI09302025,,
6.5,ft,Seminole,Horseshoe North,3,05/24/2025,,EST,4,ft,,,Sample,SECCHI09302025,,
10.3,ft,Seminole,Horseshoe North,1,07/26/2025,,EST,6.5,ft,,,Sample,SECCHI09302025,,
11.5,ft,Seminole,Horseshoe North,2,07/26/2025,,EST,6.5,ft,,,Sample,SECCHI09302025,,
10.5,ft,Seminole,Horseshoe North,3,07/26/2025,,EST,6.5,ft,,,Sample,SECCHI09302025,,
15,ft,Seminole,Little Bear,1,08/09/2025,09:29:59 AM,EST,12.5,ft,,,Sample,SECCHI09302025,,
17,ft,Seminole,Little Bear,2,08/09/2025,09:45:00 AM,EST,13,ft,,,Sample,SECCHI09302025,,
15.5,ft,Seminole,Little Bear,3,08/09/2025,10:00:00 AM,EST,12.5,ft,,,Sample,SECCHI09302025,,
15,ft,Seminole,Little Howell,1,08/14/2025,10:30:00 AM,EST,7,ft,,,Sample,SECCHI09302025,,
14,ft,Seminole,Little Howell,2,08/14/2025,10:40:00 AM,EST,7.3,ft,,,Sample,SECCHI09302025,,
15.5,ft,Seminole,Little Howell,3,08/14/2025,10:50:00 AM,EST,6.3,ft,,,Sample,SECCHI09302025,,
11.5,ft,Seminole,Mary,1,07/25/2025,06:03:00 PM,EST,5,ft,,,Sample,SECCHI09302025,,
10.5,ft,Seminole,Mary,2,07/25/2025,06:14:00 PM,EST,5,ft,,,Sample,SECCHI09302025,,
13,ft,Seminole,Mary,3,07/25/2025,06:24:00 PM,EST,4.5,ft,,,Sample,SECCHI09302025,,
,ft,Seminole,Miami Springs-1,1,07/21/2025,10:45:00 AM,EST,,ft,,,Sample,SECCHI09302025,,
,ft,Seminole,Miami Springs-2,1,07/21/2025,10:50:00 AM,EST,,ft,,,Sample,SECCHI09302025,,
,ft,Seminole,Miami Springs-3,1,07/21/2025,10:55:00 AM,EST,,ft,,,Sample,SECCHI09302025,,
6,ft,Seminole,Monroe West,1,07/20/2025,03:45:00 PM,EST,2.3,ft,,,Sample,SECCHI09302025,,
6.5,ft,Seminole,Monroe West,2,07/20/2025,04:05:59 PM,EST,2,ft,,,Sample,SECCHI09302025,,
6.8,ft,Seminole,Monroe West,3,07/20/2025,04:12:00 PM,EST,2,ft,,,Sample,SECCHI09302025,,
4.5,ft,Seminole,Rock,1,07/31/2025,08:08:00 AM,EST,4,ft,,,Sample,SECCHI09302025,,
4,ft,Seminole,Rock,2,07/31/2025,08:17:00 AM,EST,3.5,ft,,,Sample,SECCHI09302025,,
5.8,ft,Seminole,Rock,3,07/31/2025,08:23:59 AM,EST,4,ft,,,Sample,SECCHI09302025,,
15.5,ft,Seminole,Silver,1,06/25/2025,08:44:59 AM,EST,13,ft,,,Sample,SECCHI09302025,,
15.5,ft,Seminole,Silver,2,06/25/2025,08:50:00 AM,EST,13,ft,,,Sample,SECCHI09302025,,
12,ft,Seminole,Silver,3,06/25/2025,08:54:59 AM,EST,12,ft,,S,Sample,SECCHI09302025,,
17.5,ft,Seminole,Silver,1,07/28/2025,08:05:00 AM,EST,13,ft,,,Sample,SECCHI09302025,,
18,ft,Seminole,Silver,2,07/28/2025,08:09:59 AM,EST,13,ft,,,Sample,SECCHI09302025,,
13,ft,Seminole,Silver,3,07/28/2025,08:15:00 AM,EST,11,ft,Weeds,,Sample,SECCHI09302025,,
4,ft,Seminole,Wekiva,1,08/12/2025,09:00:00 AM,EST,4,ft,,S,Sample,SECCHI09302025,,
11,ft,Seminole,Wekiva,2,08/12/2025,08:54:59 AM,EST,9,ft,,,Sample,SECCHI09302025,,
15.5,ft,Seminole,Wekiva,3,08/12/2025,08:50:00 AM,EST,9,ft,,,Sample,SECCHI09302025,,
,ft,,,MBLK1,,,,,ft,,,QAQC,SECCHI10132025,,
,ft,Charlotte,L-4,1,06/30/2025,12:00:00 PM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-4,2,06/30/2025,12:10:00 PM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-4,3,06/30/2025,12:19:59 PM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-4,1,07/29/2025,10:59:59 AM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-4,2,07/29/2025,10:59:59 AM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-4,3,07/29/2025,10:59:59 AM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-4,1,08/27/2025,11:30:00 AM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-4,2,08/27/2025,11:30:00 AM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-4,3,08/27/2025,11:30:00 AM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-6,1,08/19/2025,10:38:00 AM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-6,2,08/19/2025,10:38:00 AM,EST,,ft,,,Sample,SECCHI10132025,,
,ft,Charlotte,L-6,3,08/19/2025,10:38:00 AM,EST,,ft,,,Sample,SECCHI10132025,,
3.3,ft,Charlotte,LC-1,1,06/12/2025,09:10:00 AM,EST,1.5,ft,,,Sample,SECCHI10132025,,
6.5,ft,Charlotte,LC-2,1,06/12/2025,09:22:00 AM,EST,2,ft,,,Sample,SECCHI10132025,,
7.8,ft,Charlotte,LC-3,1,06/12/2025,09:32:00 AM,EST,0.8,ft,,,Sample,SECCHI10132025,,
