Study,County,Lake,Station,Monitoring_Location_ID
LW,Bay,Grand Lagoon-1,1,Bay-Gr-Lagoon-1
LW,Bay,Grand Lagoon-2,1,Bay-Gr-Lagoon-2
LW,Bay,Grand Lagoon-3,1,Bay-Gr-Lagoon-3
LW,Bay,Grand Lagoon-4,1,Bay-Gr-Lagoon-4
LW,Bay,Grand Lagoon-5,1,Bay-Gr-Lagoon-5
LW,Bay,Johnson Bayou-1,1,Bay-Johnson-Bayou-1
LW,Bay,Laird Bayou-1,1,Bay-La-Bayou-1
LW,Bay,Laird Bayou-2,1,Bay-La-Bayou-2
LW,Bay,Laird Bayou-3,1,Bay-La-Bayou-3
LW,Bay,Lannie Rowe,1,Bay-LannieRo-1
LW,Bay,Lullwater,1,Bay-Lullwater-1
LW,Bay,Lullwater,2,Bay-Lullwater-2
LW,Bay,Lullwater,3,Bay-Lullwater-3
LW,Bay,Marin,1,Bay-Marin-1
LW,Bay,Marin,2,Bay-Marin-2
LW,Bay,Marin,3,Bay-Marin-3
LW,Bay,Martin-1,1,Bay-Martin-1
LW,Bay,Massalina Bayou-1,1,Bay-Massalina-Bayou-1
LW,Bay,Mill Bayou Upper,1,Bay-Mil-Bay-1U
LW,Bay,Mill Bayou-1,1,Bay-Mill-Bayou-1
LW,Bay,North Bay-1,1,Bay-No-thBay-1
LW,Bay,North Bay-2,1,Bay-No-thBay-2
LW,Bay,North Bay-3,1,Bay-No-thBay-3
LW,Bay,North Bay-4,1,Bay-No-thBay-4
LW,Bay,Parker Bayou-1,1,Bay-Parker-Bayou-1
LW,Bay,Pitts Bayou-1,1,Bay-Pitts-Bayou-1
LW,Bay,Posten Bayou-1,1,Bay-Posten-Bayou-1
LW,Bay,Powell,1,Bay-Powell-1
LW,Bay,Powell,2,Bay-Powell-2
LW,Bay,Powell,3,Bay-Powell-3
LW,Bay,Powell,4,Bay-Powell-4
LW,Bay,Powell,5,Bay-Powell-5
LW,Bay,Powell,6,Bay-Powell-6
LW,Bay,Powell Creek East-1,1,Bay-Po-kEast-1
LW,Bay,Powell Creek East-2,1,Bay-Po-kEast-2
LW,Bay,Powell Creek East-3,1,Bay-Po-kEast-3
LW,Bay,Powell South,1,Bay-PowellSo-1
LW,Bay,Powell South,2,Bay-PowellSo-2
LW,Bay,Powell South,3,Bay-PowellSo-3
LW,Bay,Powell-special sample,1,
LW,Bay,Pretty Bayou-1,1,Bay-Pretty-Bayou-1
LW,Bay,Robinson Bayou-1,1,Bay-Robinson-Bayou-1
LW,Bay,St. Andrew Bay-1,1,Bay-St-ewBay-1
LW,Bay,St. Andrew Bay-10,1,Bay-St-wBay-10
LW,Bay,St. Andrew Bay-11,1,Bay-St-wBay-11
LW,Bay,St. Andrew Bay-12,1,Bay-St. Andrew Bay-12
LW,Bay,St. Andrew Bay-2,1,Bay-St-ewBay-2
LW,Bay,St. Andrew Bay-3,1,Bay-St-ewBay-3
LW,Bay,St. Andrew Bay-6,1,Bay-St-ewBay-6
LW,Bay,St. Andrew Bay-7,1,Bay-St-ewBay-7
LW,Bay,St. Andrew Bay-8,1,Bay-St-ewBay-8
LW,Bay,Upper Goose Bayou-1,1,Bay-Upper-Goose-Bayou-1
LW,Bay,Warren Bayou-1,1,Bay-Warren-Bayou-1
LW,Bay,Watson Bayou-1,1,Bay-Watson-Bayou-1
LW,Bay,West Bay-1,1,Bay-We-stBay-1
LW,Bay,West Bay-10,1,Bay-We-stBay-10
LW,Bay,West Bay-11,1,Bay-We-stBay-11
LW,Bay,West Bay-12,1,Bay-West-Bay-12
LW,Bay,West Bay-2,1,Bay-We-stBay-2
LW,Bay,West Bay-3,1,Bay-We-stBay-3
LW,Bay,West Bay-4,1,Bay-We-stBay-4
LW,Bay,West Bay-5,1,Bay-We-stBay-5
LW,Bay,West Bay-6,1,Bay-We-stBay-6
LW,Bay,West Bay-7,1,Bay-We-stBay-7
LW,Bay,West Bay-8,1,Bay-We-stBay-8
LW,Bay,West Bay-9,1,Bay-We-stBay-9
LW,Bay,West Bay-Crooked Creek,1,
LW,Bradford,Bedford,1,Bra-Bedford-1
LW,Bradford,Bedford,2,Bra-Bedford-2
LW,Bradford,Bedford,3,Bra-Bedford-3
LW,Bradford,Bedford-pump,1,
LW,Bradford,Bolt,1,Bra-Bolt-1
LW,Bradford,Bolt,2,Bra-Bolt-2
LW,Bradford,Bolt,3,Bra-Bolt-3
LW,Bradford,Crosby,1,Bra-Crosby-1
LW,Bradford,Crosby,2,Bra-Crosby-2
LW,Bradford,Crosby,3,Bra-Crosby-3
LW,Bradford,DeValerio,1,Bra-DeValerio-1
LW,Bradford,DeValerio,2,Bra-DeValerio-2
LW,Bradford,DeValerio,3,Bra-DeValerio-3
LW,Bradford,Hampton,1,Bra-Hampton-1
LW,Bradford,Hampton,2,Bra-Hampton-2
LW,Bradford,Hampton,3,Bra-Hampton-3
LW,Bradford,Paradise,1,Bra-Paradise-1
LW,Bradford,Paradise,2,Bra-Paradise-2
LW,Bradford,Paradise,3,Bra-Paradise-3
LW,Bradford,Paradise West,1,Bra-ParadiseW-1
LW,Bradford,Paradise West,2,Bra-ParadiseW-2
LW,Bradford,Paradise West,3,Bra-ParadiseW-3
LW,Bradford,Rowell,1,Bra-Rowell-1
LW,Bradford,Rowell,2,Bra-Rowell-2
LW,Bradford,Rowell,3,Bra-Rowell-3
LW,Bradford,Rowell,4,Bra-Rowell-4
LW,Bradford,Rowell,5,Bra-Rowell-5
LW,Bradford,Sampson,1,Bra-Sampson-1
LW,Bradford,Sampson,2,Bra-Sampson-2
LW,Bradford,Sampson,3,Bra-Sampson-3
LW,Bradford,Silver,1,Bra-Silver-1
LW,Bradford,Silver,2,Bra-Silver-2
LW,Bradford,Silver,3,Bra-Silver-3
LW,Brevard,Blue Trail-1,1,Bre-BlueTrail-1
LW,Brevard,Clark,1,Bre-Clark-1
LW,Brevard,Clark,2,Bre-Clark-2
LW,Brevard,Clear,1,Bre-Clear-1
LW,Brevard,Clear,2,Bre-Clear-2
LW,Brevard,Clear,3,Bre-Clear-3
LW,Brevard,Forest,1,Bre-Forest-1
LW,Brevard,Forest,2,Bre-Forest-2
LW,Brevard,Forest,3,Bre-Forest-3
LW,Brevard,Fox,1,Bre-Fox-1
LW,Brevard,Fox,2,Bre-Fox-2
LW,Brevard,Fox,3,Bre-Fox-3
LW,Brevard,Holladay Pond,1,Bre-HolladayP-1
LW,Brevard,Holladay Pond,2,Bre-HolladayP-2
LW,Brevard,Holladay Pond,3,Bre-HolladayP-3
LW,Brevard,IRL Max Brewer Bridge-1,1,Bre-IRLMaxBreBrdg-1
LW,Brevard,IRL Max Brewer Bridge-2,1,Bre-IRLMaxBreBrdg-2
LW,Brevard,IRL Max Brewer Bridge-3,1,Bre-IRLMaxBreBrdg-3
LW,Brevard,IRL Max Brewer Bridge-4,1,Bre-IRLMaxBreBrdg-4
LW,Brevard,Palm,1,Bre-Palm-1
LW,Brevard,Palm,2,Bre-Palm-2
LW,Brevard,Palm,3,Bre-Palm-3
LW,Brevard,Park,1,Bre-Park-1
LW,Brevard,Park,2,Bre-Park-2
LW,Brevard,Park,3,Bre-Park-3
LW,Brevard,Parkway Meadows,1,Bre-ParkwayM-1
LW,Brevard,Parkway Meadows,2,Bre-ParkwayM-2
LW,Brevard,Parkway Meadows,3,Bre-ParkwayM-3
LW,Brevard,Poinsett,1,Bre-Poinsett-1
LW,Brevard,Poinsett,2,Bre-Poinsett-2
LW,Brevard,Poinsett,3,Bre-Poinsett-3
LW,Brevard,South Lake,1,Bre-SouthLak-1
LW,Brevard,South Lake,2,Bre-SouthLak-2
LW,Brevard,South Lake,3,Bre-SouthLak-3
LW,Brevard,South Lake-canal,1,Bre-SouthLKc-1
LW,Brevard,Sunbeam,1,Bre-Sunbeam-1
LW,Brevard,Sunbeam,2,Bre-Sunbeam-2
LW,Brevard,Sunbeam,3,Bre-Sunbeam-3
LW,Brevard,Timber,1,Bre-Timber-1
LW,Brevard,Timber,2,Bre-Timber-2
LW,Brevard,Timber,3,Bre-Timber-3
LW,Brevard,Valkaria,1,Bre-Valkaria-1
LW,Brevard,Valkaria,2,Bre-Valkaria-2
LW,Brevard,Valkaria,3,Bre-Valkaria-3
LW,Brevard,Washington,1,Bre-Washingt-1
LW,Brevard,Washington,2,Bre-Washingt-2
LW,Brevard,Washington,3,Bre-Washingt-3
LW,Brevard,Yancey,1,Bre-Yancey-1
LW,Brevard,Yancey,2,Bre-Yancey-2
LW,Brevard,Yancey,3,Bre-Yancey-3
LW,Broward,Alex,1,Bro-Alex-1
LW,Broward,Alex,2,Bro-Alex-2
LW,Broward,Alex,3,Bro-Alex-3
LW,Broward,Bonnet Slough,1,Bro-BonnetSl-1
LW,Broward,Bonnet Slough,2,Bro-BonnetSl-2
LW,Broward,Bonnet Slough,3,Bro-BonnetSl-3
LW,Broward,Cherry Creek-1,1,Bro-CherryCK-1
LW,Broward,Cherry Creek-2,1,Bro-CherryCK-2
LW,Broward,Cherry Creek-3,1,Bro-CherryCK-3
LW,Broward,Cliff,1,Bro-Cliff-1
LW,Broward,Cliff,2,Bro-Cliff-2
LW,Broward,Cliff,3,Bro-Cliff-3
LW,Broward,Crossbow,1,Bro-Crossbow-1
LW,Broward,Crossbow,2,Bro-Crossbow-2
LW,Broward,Crossbow,3,Bro-Crossbow-3
LW,Broward,Delevoe,1,Bro-Delevoe-1
LW,Broward,Delevoe,2,Bro-Delevoe-2
LW,Broward,Delevoe,3,Bro-Delevoe-3
LW,Broward,Desoto,1,Bro-Desoto-1
LW,Broward,Desoto,2,Bro-Desoto-2
LW,Broward,Desoto,3,Bro-Desoto-3
LW,Broward,E,1,Bro-E-1
LW,Broward,E,2,Bro-E-2
LW,Broward,E,3,Bro-E-3
LW,Broward,East,1,Bro-East-1
LW,Broward,East,2,Bro-East-2
LW,Broward,East,3,Bro-East-3
LW,Broward,Estancia,1,Bro-Estancia-1
LW,Broward,Estancia,2,Bro-Estancia-2
LW,Broward,Estancia,3,Bro-Estancia-3
LW,Broward,Estates of Ft. Lauderdale,1,Bro-Es-Ft-Lau-1
LW,Broward,Estates of Ft. Lauderdale,2,Bro-Es-Ft-Lau-2
LW,Broward,Estates of Ft. Lauderdale,3,Bro-Es-Ft-Lau-3
LW,Broward,Everglades,1,Bro-Everglad-1
LW,Broward,Everglades,2,Bro-Everglad-2
LW,Broward,Everglades,3,Bro-Everglad-3
LW,Broward,Flamingo,1,Bro-Flaming1-1
LW,Broward,Flamingo,2,Bro-Flaming1-2
LW,Broward,Flamingo,3,Bro-Flaming1-3
LW,Broward,Flamingo 2,1,Bro-Flaming2-1
LW,Broward,Flamingo 2,2,Bro-Flaming2-2
LW,Broward,Flamingo 2,3,Bro-Flaming2-3
LW,Broward,Helen,1,Bro-Helen-1
LW,Broward,Helen,2,Bro-Helen-2
LW,Broward,Heritage,1,Bro-Heritage-1
LW,Broward,Heritage,2,Bro-Heritage-2
LW,Broward,Heritage,3,Bro-Heritage-3
LW,Broward,Holiday Park,1,Bro-HolidayP-1
LW,Broward,Holiday Park,2,Bro-HolidayP-2
LW,Broward,Holiday Park,3,Bro-HolidayP-3
LW,Broward,Jacaranda 13,1,Bro-Jacar13-1
LW,Broward,Jacaranda 13,2,Bro-Jacar13-2
LW,Broward,Jacaranda 13,3,Bro-Jacar13-3
LW,Broward,Jacaranda 4,1,Bro-Jacar4-1
LW,Broward,Jacaranda 4,2,Bro-Jacar4-2
LW,Broward,Jacaranda 4,3,Bro-Jacar4-3
LW,Broward,Long,1,Bro-Long-1
LW,Broward,Long,2,Bro-Long-2
LW,Broward,Long,3,Bro-Long-3
LW,Broward,Markham,1,Bro-Markham-1
LW,Broward,Markham,2,Bro-Markham-2
LW,Broward,Markham,3,Bro-Markham-3
LW,Broward,Melva,1,Bro-Melva-1
LW,Broward,Melva,2,Bro-Melva-2
LW,Broward,Melva,3,Bro-Melva-3
LW,Broward,NCL,1,Bro-NCL-1
LW,Broward,NCL,2,Bro-NCL-2
LW,Broward,NCL,3,Bro-NCL-3
LW,Broward,North,1,Bro-North-1
LW,Broward,North,2,Bro-North-2
LW,Broward,North,3,Bro-North-3
LW,Broward,Pembroke Isles,1,Bro-Pembroke-Isles-1
LW,Broward,Pembroke Isles,2,Bro-Pembroke-Isles-2
LW,Broward,Pembroke Isles,3,Bro-Pembroke-Isles-3
LW,Broward,Quiet Waters,1,Bro-QuietWat-1
LW,Broward,Quiet Waters,2,Bro-QuietWat-2
LW,Broward,Quiet Waters,3,Bro-QuietWat-3
LW,Broward,Riley,1,Bro-Riley-1
LW,Broward,Riley,2,Bro-Riley-2
LW,Broward,Riley,3,Bro-Riley-3
LW,Broward,Rock Creek,1,Bro-Rock Cree-1
LW,Broward,Rock Creek,2,Bro-Rock Cree-2
LW,Broward,Rock Creek,3,Bro-Rock Cree-3
LW,Broward,Royal Palm,1,Bro-RoyalPalm-1
LW,Broward,Royal Palm,2,Bro-RoyalPalm-2
LW,Broward,Royal Palm,3,Bro-RoyalPalm-3
LW,Broward,Seneca,1,Bro-Seneca-1
LW,Broward,Seneca,2,Bro-Seneca-2
LW,Broward,Seneca,3,Bro-Seneca-3
LW,Broward,Silver,1,Bro-Silver-1
LW,Broward,Silver,2,Bro-Silver-2
LW,Broward,Silver,3,Bro-Silver-3
LW,Broward,Silver 3,1,Bro-Silver3-1
LW,Broward,Silver 3,2,Bro-Silver3-2
LW,Broward,Silver 3,3,Bro-Silver3-3
LW,Broward,South,1,Bro-South-1
LW,Broward,South,2,Bro-South-2
LW,Broward,Stirling,1,Bro-Stirling-1
LW,Broward,Stirling,2,Bro-Stirling-2
LW,Broward,Stirling,3,Bro-Stirling-3
LW,Broward,Tarpon,1,Bro-Tarpon-1
LW,Broward,Tarpon,2,Bro-Tarpon-2
LW,Broward,Tarpon,3,Bro-Tarpon-3
LW,Broward,Topeekeegee,1,Bro-Topeekeeg-1
LW,Broward,Topeekeegee,2,Bro-Topeekeeg-2
LW,Broward,Topeekeegee,3,Bro-Topeekeeg-3
LW,Broward,Tree Tops,1,Bro-Tree Tops-1
LW,Broward,Tree Tops,2,Bro-Tree Tops-2
LW,Broward,Tree Tops,3,Bro-Tree Tops-3
LW,Broward,Tyrano,1,Bro-Tyrano-1
LW,Broward,Tyrano,2,Bro-Tyrano-2
LW,Broward,Tyrano,3,Bro-Tyrano-3
LW,Broward,WCA-3,1,Bro-WCA-3-1
LW,Broward,WCA-3,2,Bro-WCA-3-2
LW,Broward,WCA-3,3,Bro-WCA-3-3
LW,Broward,West,1,Bro-West-1
LW,Broward,West,2,Bro-West-2
LW,Broward,West,3,Bro-West-3
LW,Broward,West AKNC,1,Bro-WestAKNC-1
LW,Broward,West AKNC,2,Bro-WestAKNC-2
LW,Broward,West AKNC,3,Bro-WestAKNC-3
LW,Broward,Westport 1,1,Bro-Westport1-1
LW,Broward,Westport 1,2,Bro-Westport1-2
LW,Broward,Westport 1,3,Bro-Westport1-3
LW,Broward,Westport 2,1,Bro-Westport2-1
LW,Broward,Westport 2,2,Bro-Westport2-2
LW,Broward,Westport 2,3,Bro-Westport2-3
LW,Broward,Windermere,1,Bro-Winderm-1
LW,Broward,Windermere,2,Bro-Winderm-2
LW,Broward,Windermere,3,Bro-Winderm-3
LW,Calhoun,Chipola River-1,1,Cal-Chipola-R-1
LW,Calhoun,Chipola River-2,1,Cal-Chipola-R-2
LW,Calhoun,Chipola River-3,1,Cal-Chipola-R-3
LW,Charlotte,Aquarius,1,Cha-Aquarius-1
LW,Charlotte,Aquarius,2,Cha-Aquarius-2
LW,Charlotte,Aquarius,3,Cha-Aquarius-3
LW,Charlotte,Bal Harbor,1,Cha-Bal-Harbr-1
LW,Charlotte,Bass,1,Cha-Bass-1
LW,Charlotte,Breakers,1,Cha-Breakers-1
LW,Charlotte,Broadmoor Creek,1,Cha-Broadm-Ck-1
LW,Charlotte,Broadmoor Creek,2,Cha-Broadm-Ck-2
LW,Charlotte,Broadmoor Creek,3,Cha-Broadm-Ck-3
LW,Charlotte,Broadmoor River,1,Cha-Broadm-Rr-1
LW,Charlotte,Broadmoor River,2,Cha-Broadm-Rr-2
LW,Charlotte,Broadmoor River,3,Cha-Broadm-Rr-3
LW,Charlotte,Buck Creek Weir,1,Cha-BuckCk-Wr-1
LW,Charlotte,Buck Creek Weir,2,Cha-BuckCk-Wr-2
LW,Charlotte,Buck Creek Weir,3,Cha-BuckCk-Wr-3
LW,Charlotte,Butterford,1,Cha-Butterfd-1
LW,Charlotte,Butterford,2,Cha-Butterfd-2
LW,Charlotte,Butterford,3,Cha-Butterfd-3
LW,Charlotte,Candia,1,Cha-Candia-1
LW,Charlotte,Casa de Meadows,1,Cha-CasadeMed-1
LW,Charlotte,Casa de Meadows,2,Cha-CasadeMed-2
LW,Charlotte,Casa de Meadows,3,Cha-CasadeMed-3
LW,Charlotte,Colony Point,1,Cha-ColonyPt-1
LW,Charlotte,Coral Creek-1,1,Cha-Co-Creek-1
LW,Charlotte,Coral Creek-2,1,Cha-Co-Creek-2
