Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total_Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation Date,Preparation Time,Preparation Time Zone,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity Time Zone,Org_Result_Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value_Qualifier,Result Comments,Result Value Type Name,Dilution
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Indian River,Blue Cypress,1,10/24/23,10:02:00 AM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.8,ft,FDEP FT1700,,,,,,,,Osceola,Center,3,11/15/23,10:30:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,7,ft,FDEP FT1700,,,,,,,,Osceola,Center,3,12/15/23,10:31:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,10,ft,FDEP FT1700,,,,,,,,Osceola,Center,2,11/15/23,10:36:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,10.3,ft,FDEP FT1700,,,,,,,,Osceola,Center,2,12/15/23,10:38:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,7.5,ft,FDEP FT1700,,,,,,,,Osceola,Center,1,11/15/23,10:45:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,7.8,ft,FDEP FT1700,,,,,,,,Osceola,Center,1,12/15/23,10:45:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Charlotte,LC-3,1,11/14/23,11:11:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,2.8,ft,FDEP FT1700,,,,,,,,Pinellas,Salt Creek-1,1,2/4/24,11:25:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Orange,O'Dell,3,10/21/23,11:33:00 AM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Putnam,Ross,2,11/29/23,12:08:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Jesup North,1,12/15/23,12:12:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Putnam,Ross,3,11/29/23,12:18:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,5.3,ft,FDEP FT1700,,,,,,,,Seminole,Jesup North,2,1/16/24,12:22:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Jesup North,2,12/15/23,12:27:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,2.3,ft,FDEP FT1700,,,,,,,,Pinellas,Salt Creek-1,1,1/7/24,12:32:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.3,ft,FDEP FT1700,,,,,,,,Seminole,Jesup North,3,1/16/24,12:35:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.3,ft,FDEP FT1700,,,,,,,,Seminole,Jesup,3,11/12/23,1:00:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Jesup North,1,10/13/23,1:05:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Jesup North,2,10/13/23,1:15:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Little Bear,2,10/17/23,1:45:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,7,ft,FDEP FT1700,,,,,,,,Hillsborough,East,3,1/24/24,2:00:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Little Bear,3,10/17/23,2:00:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,15,ft,FDEP FT1700,,,,,,,,Hillsborough,Thonotosassa,2,12/23/23,2:13:00 PM,EST,1,ft,,,,,,,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,7.5,ft,FDEP FT1700,,,,,,,,Hillsborough,East,2,1/24/24,2:15:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6,ft,FDEP FT1700,,,,,,,,Hillsborough,East,1,1/24/24,2:20:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,15,ft,FDEP FT1700,,,,,,,,Hillsborough,Thonotosassa,3,12/23/23,2:20:00 PM,EST,1,ft,,,,,,,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Alachua,Newnan,2,10/16/23,2:22:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Alachua,Newnan,1,10/16/23,2:30:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Alachua,Newnan,3,10/16/23,2:44:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6,ft,FDEP FT1700,,,,,,,,Hillsborough,East,3,11/12/23,3:15:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,7,ft,FDEP FT1700,,,,,,,,Hillsborough,East,2,11/12/23,3:20:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.5,ft,FDEP FT1700,,,,,,,,Hillsborough,East,1,11/12/23,3:30:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6,ft,FDEP FT1700,,,,,,,,Hillsborough,East,1,12/21/23,3:35:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Brevard,IRL Max Brewer Bridge-4,1,9/26/23,4:00:00 PM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,1.25,ft,FDEP FT1700,,,,,,,,Citrus,Magnolia Creek-1,1,1/18/24,12:25:00 PM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,11,ft,FDEP FT1700,,,,,,,,Lake,Louisa,2,12/1/23,7:15:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,9.5,ft,FDEP FT1700,,,,,,,,Lake,Louisa,3,12/1/23,7:25:00 AM,EST,1.3,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,11.5,ft,FDEP FT1700,,,,,,,,Lake,Louisa,2,1/3/24,7:30:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,15,ft,FDEP FT1700,,,,,,,,Lake,Louisa,1,1/3/24,7:35:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,11.5,ft,FDEP FT1700,,,,,,,,Lake,Louisa,2,2/2/24,7:35:00 AM,EST,1.3,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,15,ft,FDEP FT1700,,,,,,,,Lake,Louisa,1,2/2/24,7:45:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,9.5,ft,FDEP FT1700,,,,,,,,Lake,Louisa,3,2/2/24,7:50:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,9.5,ft,FDEP FT1700,,,,,,,,Lake,Louisa,3,1/3/24,8:00:00 AM,EST,1.3,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,1.3,ft,FDEP FT1700,,,,,,,,Gilchrist,Gilchrist Blue Spring Run-1,1,7/27/23,8:42:00 AM,EDT,1.3,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Indian River,Blue Cypress,2,11/30/23,9:40:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6,ft,FDEP FT1700,,,,,,,,Osceola,Coon,1,11/15/23,9:55:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,13.3,ft,FDEP FT1700,,,,,,,,Osceola,Coon,2,11/15/23,10:00:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,10,ft,FDEP FT1700,,,,,,,,Osceola,Coon,3,11/15/23,10:05:00 AM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Orange,East,2,10/10/23,10:19:00 AM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Charlotte,WF-6,2,10/19/23,11:17:00 AM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Jesup,2,8/19/23,11:30:00 AM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Jesup,4,8/19/23,11:53:00 AM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Charlotte,WF-1,1,11/21/23,12:00:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Charlotte,WF-2,2,11/21/23,12:08:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,5.5,ft,FDEP FT1700,,,,,,,,Seminole,Jesup North,1,1/16/24,12:10:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.3,ft,FDEP FT1700,,,,,,,,Seminole,Jesup North,2,11/18/23,12:40:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,2,ft,FDEP FT1700,,,,,,,,Pinellas,Salt Creek-2,1,1/7/24,12:48:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.8,ft,FDEP FT1700,,,,,,,,Seminole,Jesup North,3,11/18/23,12:50:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,9,ft,FDEP FT1700,,,,,,,,Levy,Cedar Key-1,1,8/27/23,12:57:00 PM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Jesup North,3,10/13/23,1:25:00 PM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.5,ft,FDEP FT1700,,,,,,,,Seminole,Jesup North,1,11/18/23,1:25:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,7,ft,FDEP FT1700,,,,,,,,Seminole,Jesup,4,11/12/23,1:29:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.5,ft,FDEP FT1700,,,,,,,,Highlands,Josephine West,2,10/30/23,2:27:00 PM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.5,ft,FDEP FT1700,,,,,,,,Highlands,Josephine West,1,10/30/23,2:32:00 PM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6,ft,FDEP FT1700,,,,,,,,Orange,East,2,12/7/23,2:58:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,6.8,ft,FDEP FT1700,,,,,,,,Orange,East,3,12/7/23,3:06:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Brevard,IRL Max Brewer Bridge-1,1,9/26/23,3:15:00 PM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Brevard,IRL Max Brewer Bridge-3,1,9/26/23,3:30:00 PM,EDT,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,8,ft,FDEP FT1700,,,,,,,,Hillsborough,Mango,1,12/30/23,3:41:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,8.5,ft,FDEP FT1700,,,,,,,,Hillsborough,Mango,2,12/30/23,3:46:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,8.3,ft,FDEP FT1700,,,,,,,,Hillsborough,Mango,3,12/30/23,3:53:00 PM,EST,1.3,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Brevard,Washington,1,10/24/23,8:38:00 AM,EDT,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Indian River,Blue Cypress,3,9/26/23,8:54:00 AM,EDT,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Indian River,Blue Cypress,3,11/30/23,9:05:00 AM,EST,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Flagler,Disston,1,10/21/23,9:15:00 AM,EDT,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,12,ft,FDEP FT1700,,,,,,,,Lake,Dora West,1,1/26/24,9:19:00 AM,EST,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Bay,Powell,1,7/18/23,9:22:00 AM,CDT,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Flagler,Disston,2,10/21/23,9:25:00 AM,EDT,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,1.5,ft,FDEP FT1700,,,,,,,,Pinellas,Salt Creek-1,1,11/4/23,9:25:00 AM,EST,1.5,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Indian River,Blue Cypress,2,9/26/23,9:26:00 AM,EDT,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,1.5,ft,FDEP FT1700,,,,,,,,Gilchrist,Gilchrist Blue Spring Run-1,1,10/26/23,9:28:00 AM,EDT,1.5,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,1.5,ft,FDEP FT1700,,,,,,,,Okaloosa,Bass,1,10/2/23,9:28:00 AM,CST,1.5,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Bay,Powell,6,7/18/23,9:33:00 AM,CDT,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Flagler,Disston,3,10/21/23,9:35:00 AM,EDT,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Lake,Eustis,2,11/6/23,9:42:00 AM,EST,1.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,5.5,ft,FDEP FT1700,,,,,,,,Hillsborough,Newlands,1,11/29/23,9:50:00 AM,EST,1.5,ft,,,,,,Actual,
