ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Analysis Method,Preparation Date,Preparation Time,Preparation Time Zone,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity Start Date,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value Qualifier,Result Value Type Name,Dilution
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Alachua,Little Santa Fe,2,12/12/2023,,38,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Little Santa Fe,1,01/31/2024,EST,57,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Lochloosa,1,10/17/2023,,71,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Melrose Bay,2,11/28/2023,,23,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Alachua,Melrose Bay,2,12/12/2023,,21,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Melrose Bay,1,01/31/2024,EST,26,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Newnan,1,10/16/2023,,77,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Santa Fe,2,11/28/2023,,36,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Alachua,Santa Fe,2,12/12/2023,,23,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Santa Fe,1,01/31/2024,EST,26,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Santa Fe-barricade,1,11/28/2023,,34,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Alachua,Santa Fe-barricade,1,12/12/2023,,34,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Santa Fe-barricade,1,01/31/2024,EST,33,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Santa Fe-canal mouth,1,11/28/2023,,26,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Alachua,Santa Fe-canal mouth,1,12/12/2023,,236,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Santa Fe-canal mouth,1,01/31/2024,EST,26,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Santa Fe-Painter Canal,1,11/28/2023,,33,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Alachua,Santa Fe-Painter Canal,1,12/12/2023,,34,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Santa Fe-Painter Canal,1,01/31/2024,EST,34,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Turkey Creek-1,1,01/26/2024,EST,155,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Turkey Creek-2,1,01/26/2024,EST,137,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Beatty Bayou-1,1,10/26/2023,,13,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Burnt Mill Lower,1,10/16/2023,,18,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Burnt Mill Upper,1,10/16/2023,,73,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Callaway Bayou-2,1,10/31/2023,,13,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Crooked Lower,1,10/16/2023,,10,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Crooked Upper,1,10/16/2023,,26,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Crooked Upper-2,1,10/16/2023,,29,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bay,Deer Point,1,07/18/2023,,63,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Deer Point,1,10/18/2023,,57,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Deer Point,2,10/18/2023,,29,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Deer Point,3,10/18/2023,,40,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,East Bay-1,1,10/31/2023,,17,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,East Bay-2,1,10/31/2023,,17,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,East Bay-3,1,10/31/2023,,16,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,East Bay-4,1,10/31/2023,,12,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,East Bay-5,1,10/31/2023,,9,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Fannin Bayou-1,1,10/26/2023,,11,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Goose Bayou-1,1,10/26/2023,,8,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Grand Lagoon-1,1,10/10/2023,,22,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Grand Lagoon-2,1,10/10/2023,,17,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Grand Lagoon-3,1,10/10/2023,,17,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Grand Lagoon-4,1,10/10/2023,,9,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Grand Lagoon-5,1,10/10/2023,,6,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Johnson Bayou-1,1,10/04/2023,,11,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Laird Bayou-1,1,10/31/2023,,10,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Laird Bayou-2,1,10/31/2023,,13,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Laird Bayou-3,1,10/31/2023,,15,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bay,Lullwater,1,07/17/2023,,64,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Lullwater,1,10/30/2023,,34,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bay,Marin,1,07/26/2023,,3,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Marin,1,10/23/2023,,4,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Marin,2,10/23/2023,,4,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Marin,3,10/23/2023,,2,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bay,Martin-1,1,07/06/2023,,2,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Martin-1,1,10/04/2023,,17,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Massalina Bayou-1,1,10/18/2023,,9,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Mill Bayou-1,1,10/26/2023,,11,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,North Bay-1,1,10/26/2023,,11,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,North Bay-2,1,10/26/2023,,11,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,North Bay-3,1,10/26/2023,,36,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,North Bay-4,1,10/26/2023,,8,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Parker Bayou-1,1,10/31/2023,,8,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Pitts Bayou-1,1,10/31/2023,,7,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Posten Bayou-1,1,10/26/2023,,10,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bay,Powell,1,07/18/2023,,209,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Powell,1,10/17/2023,,16,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bay,Powell Creek East-1,1,07/18/2023,,218,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Powell Creek East-1,1,10/17/2023,,16,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bay,Powell Creek East-2,1,07/18/2023,,235,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/05/2024,9:38:00 AM,EST,02/05/2024,11:57:00 AM,EST,Bay,Powell Creek East-2,1,10/17/2023,,19,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Pretty Bayou-1,1,10/26/2023,,11,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Robinson Bayou-1,1,10/26/2023,,13,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,St. Andrew Bay-1,1,10/18/2023,,7,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,St. Andrew Bay-2,1,10/18/2023,,30,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,St. Andrew Bay-3,1,10/18/2023,,7,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,St. Andrew Bay-6,1,10/18/2023,,4,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,St. Andrew Bay-7,1,10/18/2023,,6,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,St. Andrew Bay-12,1,10/18/2023,,7,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Upper Goose Bayou-1,1,10/26/2023,,26,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Warren Bayou-1,1,10/27/2023,,9,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,Watson Bayou-1,1,10/18/2023,,8,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,West Bay-1,1,10/27/2023,,10,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,West Bay-2,1,10/27/2023,,9,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,West Bay-3,1,10/27/2023,,30,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,West Bay-4,1,10/27/2023,,8,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,West Bay-5,1,10/27/2023,,8,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,01/09/2024,10:04:00 AM,EST,01/09/2024,12:38:00 PM,EST,Bay,West Bay-12,1,10/27/2023,,11,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bradford,Rowell,3,10/29/2023,,93,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Bradford,Sampson,1,10/29/2023,,45,PCU,1,1,PCU,Q,Actual,1
