Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Org_Result_Value,Org_Result_Unit,Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,LWID,Comments
,,,10/18/22,9:00:00 AM,EDT,Orange,Rowena,1,7/30/22,,,179,uS/cm,,,Q,,,,,,
,,,10/21/22,9:37:00 AM,EDT,Osceola,Coon,1,7/17/22,,,139,uS/cm,,,Q,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Goose,1,10/25/22,,,55,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Goose,2,10/25/22,,,54,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Goose,3,10/25/22,,,55,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Ross,1,10/25/22,,,66,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Ross,2,10/25/22,,,65,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Ross,3,10/25/22,,,65,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Rowan,1,10/25/22,,,46,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Rowan,2,10/25/22,,,45,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Rowan,3,10/25/22,,,46,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Suggs,1,10/25/22,,,56,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Suggs,2,10/25/22,,,55,uS/cm,,,,,,,,,
,,,11/14/22,8:11:00 AM,EST,Putnam,Suggs,3,10/25/22,,,55,uS/cm,,,,,,,,,
,,,11/18/22,9:00:00 AM,EST,Sarasota,HO6,1,7/29/22,,,328,uS/cm,,,Q,,,,,,
,,,10/4/22,8:11:00 AM,EDT,Seminole,Horseshoe North,1,4/18/22,,,210,uS/cm,,,Q,,,,,,
,,,10/4/22,8:11:00 AM,EDT,Seminole,Orienta 1,1,7/17/22,,,207,uS/cm,,,Q,,,,,,
,,,10/4/22,8:11:00 AM,EDT,Seminole,Orienta 2,1,7/17/22,,,203,uS/cm,,,Q,,,,,,
,,,10/4/22,8:11:00 AM,EDT,Seminole,Orienta East,1,7/17/22,,,205,uS/cm,,,Q,,,,,,
,,,10/4/22,8:11:00 AM,EDT,Seminole,Orienta North,1,7/17/22,,,171,uS/cm,,,Q,,,,,,
,,,8/22/22,8:37:00 AM,EDT,Volusia,Green Springs,1,7/8/22,,,2090,uS/cm,,,Q,,,,,,
,,,8/22/22,8:37:00 AM,EDT,Volusia,Green Springs,3,7/8/22,,,1930,uS/cm,,,Q,,,,,,
,,,9/14/22,8:49:00 AM,EDT,Walton,Deer,1,7/20/22,,,13,mS/cm,,,Q,,,,,,
,,,2/21/22,9:03:00 AM,EST,Bay,St. Andrew Bay-1,1,10/26/21,,,17,mS/cm,,,Q,,,,,,
,,,2/21/22,9:03:00 AM,EST,Bay,St. Andrew Bay-2,1,10/26/21,,,21,mS/cm,,,Q,,,,,,
,,,2/21/22,9:03:00 AM,EST,Bay,St. Andrew Bay-3,1,10/26/21,,,18,mS/cm,,,Q,,,,,,
,,,2/21/22,9:03:00 AM,EST,Bay,St. Andrew Bay-6,1,10/26/21,,,29,mS/cm,,,Q,,,,,,
,,,2/21/22,9:03:00 AM,EST,Bay,St. Andrew Bay-7,1,10/26/21,,,25,mS/cm,,,Q,,,,,,
,,,2/21/22,9:03:00 AM,EST,Bay,St. Andrew Bay-12,1,10/26/21,,,26,mS/cm,,,Q,,,,,,
,,,2/21/22,9:03:00 AM,EST,Bay,West Bay-12,1,10/8/21,,,20,mS/cm,,,Q,,,,,,
,,,2/22/22,10:17:00 AM,EST,Collier,Harveys,1,10/24/21,,,606,uS/cm,,,Q,,,,,,
,,,2/22/22,10:17:00 AM,EST,Volusia,North Talmadge,1,10/19/21,,,121,uS/cm,,,Q,,,,,,
,,,2/23/22,11:00:00 AM,EST,Monroe,Stock Island-1,1,10/13/21,,,50,mS/cm,,,Q,,,,,,
,,,2/23/22,11:00:00 AM,EST,Monroe,Stock Island-2,1,10/13/21,,,50,mS/cm,,,Q,,,,,,
,,,2/23/22,11:00:00 AM,EST,Monroe,Stock Island-3,1,10/13/21,,,41,mS/cm,,,Q,,,,,,
,,,2/23/22,11:00:00 AM,EST,Monroe,Stock Island-4,1,10/13/21,,,50,mS/cm,,,Q,,,,,,
,,,2/23/22,11:00:00 AM,EST,Osceola,Alligator,1,10/14/21,,,157,uS/cm,,,Q,,,,,,
,,,3/2/22,10:30:00 AM,EST,Hillsborough,Cypress Creek-122,1,10/28/21,,,210,uS/cm,,,Q,,,,,,
,,,3/2/22,10:30:00 AM,EST,Hillsborough,Cypress Creek-122,2,10/28/21,,,215,uS/cm,,,Q,,,,,,
,,,3/2/22,10:30:00 AM,EST,Lake,Fish,1,10/8/21,,,77,uS/cm,,,Q,,,,,,
,,,3/21/22,9:49:00 AM,EDT,Okaloosa,CBA Ft. Walton Beach-4,1,10/21/21,,,22,mS/cm,,,Q,,,,,,
,,,3/21/22,9:49:00 AM,EDT,Okaloosa,CBA Ft. Walton Beach-5,1,10/21/21,,,16,mS/cm,,,Q,,,,,,
,,,3/21/22,9:49:00 AM,EDT,Okaloosa,CBA Ft. Walton Beach-6,1,10/21/21,,,22,mS/cm,,,Q,,,,,,
,,,3/22/22,9:55:00 AM,EDT,Bradford,Rowell,3,1/15/22,,,148,uS/cm,,,Q,,,,,,
,,,4/12/22,7:57:00 AM,EDT,Orange,Hickorynut,1,1/25/22,,,156,uS/cm,,,Q,,,,,,
,,,4/12/22,7:57:00 AM,EDT,Orange,Hickorynut South,1,1/25/22,,,97,uS/cm,,,Q,,,,,,
,,,4/12/22,7:57:00 AM,EDT,Orange,Little Hickorynut,1,1/25/22,,,149,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Alachua,Blues Creek-1,1,4/14/22,,,217,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Alachua,Blues Creek-2,1,4/14/22,,,100,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Alachua,Blues Creek-3,1,4/14/22,,,97,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Alachua,Cellon Creek-1,1,4/13/22,,,196,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Alachua,Cellon Creek-2,1,4/13/22,,,238,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Alachua,Cellon Creek-3,1,4/13/22,,,321,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Alachua,Cellon Creek-4,1,4/13/22,,,417,uS/cm,,,Q,,,,,,
,,,8/1/22,9:56:00 AM,EDT,Alachua,Watermelon Pond,1,4/22/22,,,329,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Alachua,Wauberg,1,4/2/22,,,78,uS/cm,,,Q,,,,,,
,,,7/1/22,10:30:00 AM,EDT,Bay,Burnt Mill Upper-2,1,4/22/22,,,9,mS/cm,,,Q,,,,,,
,,,5/23/22,9:30:00 AM,EDT,Charlotte,L-4,2,2/17/22,,,330,uS/cm,,,Q,,,,,,
,,,7/26/22,12:51:00 PM,EDT,Charlotte,White Marsh Inflow,1,4/24/22,,,916,uS/cm,,,Q,,,,,,
,,,6/3/22,8:54:00 AM,EDT,Columbia,Rum Island Spring-1,1,10/21/21,,,269,uS/cm,,,Q,,,,,,
,,,6/3/22,8:54:00 AM,EDT,Gilchrist,Ginnie Spring Run-1,1,10/21/21,,,219,uS/cm,,,Q,,,,,,
,,,7/28/22,7:58:00 AM,EDT,Gulf,Cattledip,1,1/10/22,,,1066,uS/cm,,,Q,,,,,,
,,,7/28/22,7:58:00 AM,EDT,Gulf,Pond Road,1,1/10/22,,,448,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Highlands,Annie,1,4/13/22,,,29,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Highlands,Apthorpe,1,4/15/22,,,191,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Highlands,Arbuckle Creek-1,1,4/15/22,,,180,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Highlands,Arbuckle Creek-2,1,4/15/22,,,182,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Highlands,Arbuckle Creek-3,1,4/15/22,,,168,uS/cm,,,Q,,,,,,
,,,5/23/22,9:30:00 AM,EDT,Hillsborough,Cypress Creek-122,1,1/26/22,,,212,uS/cm,,,Q,,,,,,
,,,5/23/22,9:30:00 AM,EDT,Hillsborough,Cypress Creek-122,2,1/26/22,,,205,uS/cm,,,Q,,,,,,
,,,7/8/22,9:40:00 AM,EDT,Hillsborough,Cypress Creek-122,1,4/19/22,,,208,uS/cm,,,Q,,,,,,
,,,7/8/22,9:40:00 AM,EDT,Hillsborough,Cypress Creek-122,2,4/19/22,,,214,uS/cm,,,Q,,,,,,
,,,7/28/22,7:58:00 AM,EDT,Hillsborough,Hog Island,1,4/23/22,,,172,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Hillsborough,Michaela,1,4/14/22,,,448,uS/cm,,,Q,,,,,,
,,,5/23/22,9:30:00 AM,EDT,Hillsborough,Rainbow,1,10/21/21,,,72,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Hillsborough,Stearns,1,4/14/02,,,279,uS/cm,,,Q,,,,,,
,,,7/6/22,7:39:00 AM,EDT,Lake,Woodward,1,4/15/22,,,158,uS/cm,,,Q,,,,,,
,,,7/1/22,10:30:00 AM,EDT,Okaloosa,CBA Santa Rosa Sound-1,1,4/24/22,,,28,mS/cm,,,Q,,,,,,
,,,7/1/22,10:30:00 AM,EDT,Okaloosa,CBA Santa Rosa Sound-2,1,4/24/22,,,15,mS/cm,,,Q,,,,,,
,,,7/1/22,10:30:00 AM,EDT,Okaloosa,CBA Santa Rosa Sound-3,1,4/24/22,,,18,mS/cm,,,Q,,,,,,
,,,7/12/22,10:30:00 AM,EDT,Orange,Hickorynut,1,4/26/22,,,160,uS/cm,,,Q,,,,,,
,,,7/12/22,10:30:00 AM,EDT,Orange,Hickorynut South,1,4/26/22,,,152,uS/cm,,,Q,,,,,,
,,,7/12/22,10:30:00 AM,EDT,Orange,Little Hickorynut,1,4/26/22,,,156,uS/cm,,,Q,,,,,,
,,,6/6/22,9:16:00 AM,EDT,Orange,Lockhart,1,1/31/22,,,135,uS/cm,,,Q,,,,,,
,,,7/7/22,7:37:00 AM,EDT,Polk,Fauna,1,4/13/22,,,156,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Putnam,Rowan,1,5/26/22,,,50,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Putnam,Rowan,2,5/26/22,,,49,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Putnam,Rowan,3,5/26/22,,,52,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Putnam,Suggs,1,5/26/22,,,53,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Putnam,Suggs,2,5/26/22,,,53,uS/cm,,,Q,,,,,,
,,,7/5/22,7:50:00 AM,EDT,Putnam,Suggs,3,5/26/22,,,54,uS/cm,,,Q,,,,,,
,,,7/26/22,12:51:00 PM,EDT,Putnam,Suggs,3,6/29/22,,,58,uS/cm,,,,,,,,,
,,,5/9/22,9:00:00 AM,EDT,Seminole,Pearl 2,1,1/28/22,,,137,uS/cm,,,Q,,,,,,
,,,5/9/22,9:00:00 AM,EDT,Seminole,Rock,1,1/3/22,,,151,uS/cm,,,Q,,,,,,
,,,5/25/22,7:47:00 AM,EDT,Walton,Allen,1,1/17/22,,,65,uS/cm,,,Q,,,,,,
,,,5/25/22,7:47:00 AM,EDT,Walton,Big Red Fish,1,1/24/22,,,33,mS/cm,,,Q,,,,,,
,,,8/16/23,9:49:00 AM,EDT,Charlotte,White Marsh Inflow,1,4/21/23,,,635,uS/cm,,,Q,,,,,,
,,,8/16/23,9:49:00 AM,EDT,Collier,Islandwalk,1,4/7/23,,.,432,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-1,1,10/19/22,,,242,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-1,1,4/12/23,,,202,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-1,1,7/6/23,,,249,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-2,1,10/19/22,,,241,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-2,1,4/12/23,,,214,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-2,1,7/6/23,,,250,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-3,1,10/19/22,,,234,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-3,1,4/12/23,,,190,uS/cm,,,Q,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Columbia,Lower Ichetucknee River-3,1,7/6/23,,,188,uS/cm,,,Q,,,,,,
,,,9/20/23,8:44:00 AM,EDT,Hillsborough,Cypress Creek-122,1,7/24/23,,,361,uS/cm,,,Q,,,,,,
,,,9/20/23,8:44:00 AM,EDT,Hillsborough,Cypress Creek-122,2,7/24/23,,,356,uS/cm,,,Q,,,,,,
,,,8/28/23,1:30:00 PM,EDT,Pinellas,Crescent,1,7/29/23,,,189,uS/cm,,,,,,,,,
,,,10/25/23,9:05:00 AM,EDT,Putnam,Annie,1,7/16/23,,,51,uS/cm,,,Q,,,,,,
,,,10/24/23,8:11:00 AM,EDT,Sarasota,Uplands,1,7/30/23,,,304,uS/cm,,,Q,,,,,,
,,,8/1/23,10:23:00 AM,EDT,Seminole,Horseshoe North,1,4/5/23,,,194,uS/cm,,,Q,,,,,,
,,,10/31/23,8:00:00 AM,EDT,Seminole,Mary,1,7/15/23,,,178,uS/cm,,,Q,,,,,,
,,,6/12/24,7:12:00 AM,EDT,Alachua,Blues Creek-1,1,4/15/24,,,258.2,uS/cm,,,Q,,,,,,
,,,6/12/24,7:12:00 AM,EDT,Alachua,Blues Creek-2,1,4/15/24,,,96.1,uS/cm,,,Q,,,,,,
,,,6/12/24,7:12:00 AM,EDT,Alachua,Blues Creek-3,1,4/15/24,,,95.1,uS/cm,,,Q,,,,,,
,,,6/12/24,7:12:00 AM,EDT,Alachua,Cellon Creek-1,1,4/15/24,,,241,uS/cm,,,Q,,,,,,
,,,6/12/24,7:12:00 AM,EDT,Alachua,Cellon Creek-2,1,4/15/24,,,270.2,uS/cm,,,Q,,,,,,
,,,6/12/24,7:12:00 AM,EDT,Alachua,Cellon Creek-3,1,4/15/24,,,341.7,uS/cm,,,Q,,,,,,
,,,6/12/24,7:12:00 AM,EDT,Alachua,Cellon Creek-4,1,4/15/24,,,382.9,uS/cm,,,Q,,,,,,
,,,4/4/24,8:08:00 AM,EDT,Alachua,Elizabeth,1,1/28/24,,,49.1,uS/cm,,,Q,,,,,,
,,,7/19/24,7:24:00 AM,EDT,Alachua,Elizabeth,1,4/30/24,,,57.8,uS/cm,,,Q,,,,,,
,,,7/12/24,7:51:00 AM,EDT,Alachua,Hogtown Creek-1,1,4/1/24,,,246.9,uS/cm,,,Q,,,,,,
,,,7/12/24,7:51:00 AM,EDT,Alachua,Hogtown Creek-2,1,4/1/24,,,243.3,uS/cm,,,Q,,,,,,
,,,7/19/24,7:24:00 AM,EDT,Alachua,Jeffords,1,4/20/24,,,91.2,uS/cm,,,Q,,,,,,
,,,3/5/24,8:18:00 AM,EST,Alachua,Kingswood,1,1/25/24,,,97,uS/cm,,,Q,,,,,,
,,,6/12/24,7:12:00 AM,EDT,Alachua,Kingswood,1,4/26/24,,,94.8,uS/cm,,,Q,,,,,,
,,,7/10/24,8:41:00 AM,EDT,Bay,East Bay-4,1,4/25/24,,,21,mS/cm,,,Q,,,,,,
,,,7/10/24,8:41:00 AM,EDT,Bay,East Bay-5,1,4/25/24,,,226.65,mS/cm,,,Q,,,,,,
,,,7/12/24,7:51:00 AM,EDT,Brevard,Washington,1,4/24/24,,,511,uS/cm,,,Q,,,,,,
,,,2/5/24,7:55:00 AM,EST,Charlotte,White Marsh Inflow,1,10/30/23,,,939,uS/cm,,,Q,,,,,,
,,,4/19/24,8:00:00 AM,EDT,Charlotte,White Marsh Inflow,1,1/30/24,,,968,uS/cm,,,Q,,,,,,
,,,7/11/24,8:16:00 AM,EDT,Citrus,Crystal River-1,1,4/30/24,,,12,mS/cm,,,Q,,,,,,
,,,7/11/24,8:16:00 AM,EDT,Citrus,Crystal River-3,1,4/24/24,,,3967,uS/cm,,,Q,,,,,,
,,,7/11/24,8:16:00 AM,EDT,Citrus,Crystal River-6,1,4/23/24,,,3813,uS/cm,,,Q,,,,,,
,,,7/11/24,8:16:00 AM,EDT,Citrus,Crystal River-7,1,4/30/24,,,9,mS/cm,,,Q,,,,,,
,,,3/5/24,8:18:00 AM,EST,Citrus,Magnolia Creek-1,1,1/18/24,,,335.1,uS/cm,,,Q,,,,,,
,,,3/5/24,8:18:00 AM,EST,Clay,Asbury South,1,4/22/23,,,127.5,uS/cm,,,Q,,,,,,
,,,4/5/24,10:30:00 AM,EDT,Clay,Johnson,1,1/19/24,,,23.29,uS/cm,,,Q,,,,,,
,,,3/5/24,8:18:00 AM,EST,Collier,IFAS Collier Pond,1,10/13/23,,,252.8,uS/cm,,,Q,,,,,,
,,,4/19/24,8:00:00 AM,EDT,Collier,Seacrest 1,1,1/15/24,,,596,uS/cm,,,Q,,,,,,
,,,3/19/24,8:14:00 AM,EDT,Columbia,Jeffery,1,10/27/23,,,86.6,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Cattledip,1,7/7/22,,,656,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Cattledip,1,1/11/23,,,661,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Cattledip,1,4/12/23,,,708,uS/cm,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Cattledip,1,10/16/23,,,330,uS,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Cattledip,1,1/15/24,,,211,uS,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Depot Creek-1,1,7/7/22,,,61.1,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Depot Creek-1,1,10/11/22,,,65.7,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Depot Creek-1,1,1/11/23,,,69.6,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Depot Creek-1,1,4/12/23,,,70.7,uS/cm,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Depot Creek-1,1,10/16/23,,,59,uS,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Depot Creek-1,1,1/15/24,,,52,uS,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Dove Field-1,1,7/7/22,,,58.4,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Dove Field-1,1,10/11/22,,,38.22,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Dove Field-1,1,1/11/23,,,64.3,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Dove Field-1,1,4/12/23,,,67.5,uS/cm,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Dove Field-1,1,10/16/23,,,37,uS,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Dove Field-1,1,1/15/24,,,42,uS,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Money Bayou-1,1,7/7/22,,,650,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Money Bayou-1,1,10/11/22,,,31.89,mS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Money Bayou-1,1,1/11/23,,,783,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Money Bayou-1,1,4/12/23,,,4124,uS/cm,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Money Bayou-1,1,10/16/23,,,575,uS,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Money Bayou-1,1,1/15/24,,,231,uS,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Pond Road,1,7/7/22,,,171.3,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Pond Road,1,10/11/22,,,210.7,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Pond Road,1,1/11/23,,,302.7,uS/cm,,,Q,,,,,,
,,,5/22/24,7:58:00 AM,EDT,Gulf,Pond Road,1,4/12/23,,,216.6,uS/cm,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Pond Road,1,10/16/23,,,110,uS,,,Q,,,,,,
,,,6/27/24,9:30:00 AM,EDT,Gulf,Pond Road,1,1/15/24,,,63,uS,,,Q,,,,,,
