Org_Analyte_Name,Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Comments
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Blues Creek-3,1,05/14/2028,7,5,0.0854,427,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Blues Creek-3,1,08/15/2028,490,5,0.3268,1634,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Blues Creek-3,1,09/10/2028,822,5,0.2449,1224,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Cellon Creek-1,1,08/15/2028,491,5,0.2755,1377,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Cellon Creek-1,1,09/10/2028,823,5,0.3131,1565,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Cellon Creek-2,1,07/16/2028,407,5,0.177,885,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Cellon Creek-2,1,08/15/2028,492,5,0.2491,1245,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Cellon Creek-2,1,09/10/2028,824,5,0.1872,936,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Cellon Creek-3,1,05/14/2028,8,5,0.1425,712,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Cellon Creek-3,1,06/12/2028,797,5,0.1239,619,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Cellon Creek-3,1,07/16/2028,408,5,0.1188,594,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Cellon Creek-3,1,09/10/2028,825,5,0.3569,1784,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Cellon Creek-4,1,05/14/2028,9,5,0.2297,1148,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Cellon Creek-4,1,06/12/2028,798,5,0.2167,1083,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Cellon Creek-4,1,07/16/2028,409,5,0.1967,983,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Cellon Creek-4,1,08/15/2028,493,5,0.643,3215,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Cellon Creek-4,1,09/10/2028,826,5,0.2173,1086,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Deer Run-1,1,05/14/2028,10,1,0.1058,106,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Deer Run-1,1,06/12/2028,799,1,0.1059,106,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Deer Run-1,1,08/15/2028,494,1,0.3669,367,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Deer Run-2,1,08/15/2028,495,1,0.4464,446,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,08/08/2028,9:00:00 AM,EDT,08/16/2028,,EDT,Alachua,Elizabeth,1,06/01/2028,1001,1,0.9186,919,,,,,,Sample,TN08072024B08152024,
Total Nitrogen,08/08/2028,9:00:00 AM,EDT,08/16/2028,,EDT,Alachua,Elizabeth,2,06/01/2028,1002,1,0.7847,785,,,,,,Sample,TN08072024B08152024,
Total Nitrogen,08/08/2028,9:00:00 AM,EDT,08/16/2028,,EDT,Alachua,Elizabeth,3,06/01/2028,1003,1,0.8207,821,,,,,,Sample,TN08072024B08152024,
Total Nitrogen,08/10/2028,9:00:00 AM,EDT,08/17/2028,,EDT,Alachua,Elizabeth,1,06/30/2028,562,1,0.7662,766,,,,,,Sample,TN08092024A08162024,
Total Nitrogen,08/10/2028,9:00:00 AM,EDT,08/17/2028,,EDT,Alachua,Elizabeth,2,06/30/2028,563,1,0.7971,797,,,,,,Sample,TN08092024A08162024,
Total Nitrogen,08/10/2028,9:00:00 AM,EDT,08/17/2028,,EDT,Alachua,Elizabeth,3,06/30/2028,564,1,0.8047,805,,,,,,Sample,TN08092024A08162024,
Total Nitrogen,09/26/2028,9:00:00 AM,EDT,10/09/2028,,EDT,Alachua,Elizabeth,1,07/29/2028,362,1,0.6927,693,,,,,,Sample,TN09252024A10082024,
Total Nitrogen,09/26/2028,9:00:00 AM,EDT,10/09/2028,,EDT,Alachua,Elizabeth,2,07/29/2028,363,1,0.6779,678,,,,,,Sample,TN09252024A10082024,
Total Nitrogen,09/26/2028,9:00:00 AM,EDT,10/09/2028,,EDT,Alachua,Elizabeth,3,07/29/2028,364,1,0.455,455,,,,,,Sample,TN09252024A10082024,
Total Nitrogen,10/03/2028,9:00:00 AM,EDT,10/16/2028,,EDT,Alachua,Elizabeth,3,07/29/2028,,1,0.5057,506,,J,,,,Sample,TN10022024A10152024,
Total Nitrogen,10/05/2028,9:00:00 AM,EDT,10/16/2028,,EDT,Alachua,Elizabeth,3,07/29/2028,,1,0.5092,509,,J,,,,Sample,TN1003202410152024,
Total Nitrogen,11/09/2028,9:00:00 AM,EST,11/15/2028,,EST,Alachua,Elizabeth,1,09/01/2028,1202,1,0.6537,654,,,,,,Sample,TN1108202411142024,
Total Nitrogen,11/09/2028,9:00:00 AM,EST,11/15/2028,,EST,Alachua,Elizabeth,2,09/01/2028,1203,1,0.6236,624,,,,,,Sample,TN1108202411142024,
Total Nitrogen,11/09/2028,9:00:00 AM,EST,11/15/2028,,EST,Alachua,Elizabeth,3,09/01/2028,1204,1,0.6383,638,,,,,,Sample,TN1108202411142024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Hogtown Creek-1,1,05/09/2028,11,1,0.6165,616,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Hogtown Creek-1,1,06/06/2028,800,1,0.7465,746,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Hogtown Creek-2,1,05/09/2028,12,1,0.6,600,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Hogtown Creek-2,1,06/06/2028,801,1,0.6412,641,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,09/26/2028,9:00:00 AM,EDT,10/09/2028,,EDT,Alachua,Jeffords,1,06/23/2028,365,1,0.4832,483,,,,,,Sample,TN09252024A10082024,
Total Nitrogen,09/26/2028,9:00:00 AM,EDT,10/09/2028,,EDT,Alachua,Jeffords,2,06/23/2028,366,1,0.4807,481,,,,,,Sample,TN09252024A10082024,
Total Nitrogen,09/26/2028,9:00:00 AM,EDT,10/09/2028,,EDT,Alachua,Jeffords,3,06/23/2028,367,1,0.4843,484,,,,,,Sample,TN09252024A10082024,
Total Nitrogen,11/09/2028,9:00:00 AM,EST,11/15/2028,,EST,Alachua,Jeffords,1,08/22/2028,1205,1,0.5091,509,,,,,,Sample,TN1108202411142024,
Total Nitrogen,11/09/2028,9:00:00 AM,EST,11/15/2028,,EST,Alachua,Jeffords,2,08/22/2028,1206,1,0.4849,485,,,,,,Sample,TN1108202411142024,
Total Nitrogen,11/09/2028,9:00:00 AM,EST,11/15/2028,,EST,Alachua,Jeffords,3,08/22/2028,1207,1,0.4731,473,,,,,,Sample,TN1108202411142024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Kingswood,1,06/01/2028,13,1,0.8754,875,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Kingswood,2,06/01/2028,14,1,0.8415,841,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Kingswood,3,06/01/2028,15,1,0.8512,851,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/19/2028,,EDT,Alachua,Kingswood,1,07/01/2028,878,1,0.8843,884,,,,,,Sample,TN07092024B07182024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/19/2028,,EDT,Alachua,Kingswood,2,07/01/2028,879,1,0.9023,902,,,,,,Sample,TN07092024B07182024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/19/2028,,EDT,Alachua,Kingswood,3,07/01/2028,880,1,0.8956,896,,,,,,Sample,TN07092024B07182024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Kingswood,1,08/01/2028,410,1,0.6828,683,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Kingswood,2,08/01/2028,411,1,0.725,725,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Kingswood,3,08/01/2028,412,1,0.7264,726,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Kingswood,1,08/30/2028,499,1,0.8508,851,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Kingswood,2,08/30/2028,500,1,0.8034,803,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Kingswood,3,08/30/2028,501,1,0.7834,783,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Little Santa Fe,1,05/29/2028,802,1,0.5135,513,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Little Santa Fe,2,05/29/2028,803,1,0.5059,506,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Little Santa Fe,3,05/29/2028,804,1,0.5064,506,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Little Santa Fe,1,06/26/2028,805,1,0.5159,516,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Little Santa Fe,2,06/26/2028,806,1,0.5295,529,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/18/2028,,EDT,Alachua,Little Santa Fe,3,06/26/2028,812,1,0.5147,515,,,,,,Sample,TN07092024A07172024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Little Santa Fe,1,07/30/2028,413,1,0.465,465,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Little Santa Fe,2,07/30/2028,414,1,0.4672,467,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Little Santa Fe,3,07/30/2028,415,1,0.4603,460,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Little Santa Fe,1,08/20/2028,496,1,0.5371,537,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Little Santa Fe,2,08/20/2028,497,1,0.5471,547,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Little Santa Fe,3,08/20/2028,498,1,0.5804,580,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,11/02/2028,9:00:00 AM,EDT,11/14/2028,,EST,Alachua,Little Santa Fe,1,10/01/2028,,1,0.5054,505,,J,,,,Sample,TN11012024A11132024,
Total Nitrogen,11/02/2028,9:00:00 AM,EDT,11/14/2028,,EST,Alachua,Little Santa Fe,1,10/01/2028,,1,0.5014,501,,J,,,,Sample,TN11012024B11132024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Little Santa Fe,2,10/01/2028,1363,1,0.4962,496,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Little Santa Fe,3,10/01/2028,1364,1,0.4996,500,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Little Santa Fe,1,10/29/2028,1365,1,0.5045,505,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Little Santa Fe,2,10/29/2028,1366,1,0.5044,504,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Little Santa Fe,3,10/29/2028,1367,1,0.5093,509,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/20/2028,,EDT,Alachua,Lochloosa,1,07/11/2028,722,5,0.3279,1639,,,,,,Sample,TN08132024A08192024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/20/2028,,EDT,Alachua,Lochloosa,2,07/11/2028,723,5,0.3244,1622,,,,,,Sample,TN08132024A08192024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/20/2028,,EDT,Alachua,Lochloosa,3,07/11/2028,724,5,0.3072,1536,,,,,,Sample,TN08132024A08192024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/20/2028,,EDT,Alachua,Lochloosa,4,07/11/2028,725,5,0.3149,1574,,,,,,Sample,TN08132024A08192024,
Total Nitrogen,11/07/2028,9:00:00 AM,EST,11/09/2028,,EST,Alachua,Lochloosa_Lynch_Student Project,L1,10/25/2028,285,5,0.2951,1476,,,,,,Sample,TN11062024A11082024,
Total Nitrogen,11/07/2028,9:00:00 AM,EST,11/09/2028,,EST,Alachua,Lochloosa_Lynch_Student Project,L3,10/25/2028,284,5,0.3055,1528,,,,,,Sample,TN11062024A11082024,
Total Nitrogen,11/07/2028,9:00:00 AM,EST,11/09/2028,,EST,Alachua,Lochloosa_Lynch_Student Project,OD,10/25/2028,283,5,0.3102,1551,,,,,,Sample,TN11062024A11082024,
Total Nitrogen,11/07/2028,9:00:00 AM,EST,11/09/2028,,EST,Alachua,Lochloosa_Lynch_Student Project,OS,10/25/2028,282,5,0.307,1535,,,,,,Sample,TN11062024A11082024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Melrose Bay,1,05/29/2028,16,1,0.482,482,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Melrose Bay,2,05/29/2028,17,1,0.4748,475,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Melrose Bay,3,05/29/2028,18,1,0.4722,472,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/18/2028,,EDT,Alachua,Melrose Bay,1,06/26/2028,813,1,0.4953,495,,,,,,Sample,TN07092024A07172024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/18/2028,,EDT,Alachua,Melrose Bay,2,06/26/2028,814,1,0.4913,491,,,,,,Sample,TN07092024A07172024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/18/2028,,EDT,Alachua,Melrose Bay,3,06/26/2028,815,1,0.4765,477,,,,,,Sample,TN07092024A07172024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Melrose Bay,1,07/30/2028,416,1,0.4545,454,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Melrose Bay,2,07/30/2028,417,1,0.4708,471,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Melrose Bay,3,07/30/2028,418,1,0.4463,446,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Melrose Bay,1,08/20/2028,507,1,0.4455,445,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Melrose Bay,2,08/20/2028,508,1,0.4452,445,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Melrose Bay,3,08/20/2028,509,1,0.4513,451,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Melrose Bay,1,10/01/2028,1368,1,0.4491,449,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Melrose Bay,2,10/01/2028,1369,1,0.4513,451,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Melrose Bay,3,10/01/2028,1370,1,0.4446,445,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Melrose Bay,1,10/29/2028,1371,1,0.4481,448,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Melrose Bay,2,10/29/2028,1372,1,0.4524,452,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,11/01/2028,9:00:00 AM,EDT,11/13/2028,,EST,Alachua,Melrose Bay,3,10/29/2028,1373,1,0.4533,453,,,,,,Sample,TN10312024A11122024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/21/2028,,EDT,Alachua,Newnan,1,07/19/2028,866,5,0.4903,2452,,,,,,Sample,TN08132024B08202024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/21/2028,,EDT,Alachua,Newnan,2,07/19/2028,867,5,0.4302,2151,,,,,,Sample,TN08132024B08202024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/21/2028,,EDT,Alachua,Newnan,3,07/19/2028,868,5,0.42,2100,,,,,,Sample,TN08132024B08202024,
Total Nitrogen,07/04/2028,12:00:00 PM,EDT,07/13/2028,,EDT,Alachua,Orange,2,05/21/2028,483,1,1.3073,1307,,,Q,Q,,Sample,TN07032024,
Total Nitrogen,07/04/2028,12:00:00 PM,EDT,07/13/2028,,EDT,Alachua,Orange,3,05/21/2028,484,1,1.2896,1290,,,,,,Sample,TN07032024,
Total Nitrogen,07/04/2028,12:00:00 PM,EDT,07/13/2028,,EDT,Alachua,Orange,4,05/21/2028,485,1,0.9172,917,,,,,,Sample,TN07032024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/20/2028,,EDT,Alachua,Orange,1,07/11/2028,726,1,1.5242,1524,,,,,,Sample,TN08132024A08192024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/20/2028,,EDT,Alachua,Orange,2,07/11/2028,727,1,1.712,1712,,,,,,Sample,TN08132024A08192024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/20/2028,,EDT,Alachua,Orange,3,07/11/2028,728,1,1.2523,1252,,,,,,Sample,TN08132024A08192024,
Total Nitrogen,08/14/2028,9:00:00 AM,EDT,08/20/2028,,EDT,Alachua,Orange,4,07/11/2028,729,1,0.9503,950,,,,,,Sample,TN08132024A08192024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Santa Fe,1,05/29/2028,19,1,0.4856,486,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Santa Fe,2,05/29/2028,20,1,0.4719,472,,,,,,Sample,TN06272024A07022024,
